the,4640;
and,2050;
of,1995;
to,1457;
a,1113;
in,964;
he,781;
was,776;
his,710;
that,611;
i,513;
with,513;
you,498;
for,471;
it,465;
had,426;
as,407;
at,401;
were,399;
on,388;
their,388;
they,373;
by,341;
be,318;
is,283;
from,258;
this,258;
him,258;
but,254;
said,252;
will,245;
all,244;
not,237;
them,233;
s,226;
sir,213;
which,209;
her,200;
my,195;
your,194;
men,189;
have,185;
we,184;
then,173;
me,160;
are,160;
or,159;
would,156;
john,152;
no,146;
so,136;
ralph,136;
there,135;
geoffrey,134;
d,133;
she,132;
into,131;
william,128;
great,127;
young,126;
if,122;
now,116;
susan,113;
one,113;
an,107;
been,107;
lord,104;
king,103;
our,103;
man,100;
yet,100;
may,99;
upon,97;
who,96;
day,95;
do,91;
when,91;
,90;
philip,90;
project,87;
us,86;
queen,84;
night,84;
these,84;
cried,83;
many,80;
two,80;
three,79;
replied,78;
hand,78;
up,76;
see,76;
jefferay,76;
come,71;
cardinal,70;
what,70;
must,69;
its,69;
through,68;
boards,68;
court,68;
before,68;
moment,67;
god,65;
st,63;
cloth,63;
came,62;
net,62;
under,61;
know,61;
vicar,60;
english,60;
time,60;
town,60;
any,60;
other,59;
where,59;
de,58;
chiddingly,58;
side,58;
tell,57;
took,57;
can,57;
out,57;
could,56;
gutenberg tm,56;
has,56;
work,56;
hour,56;
made,55;
shall,55;
here,55;
some,55;
horses,54;
london,54;
soon,54;
once,53;
should,53;
oh,52;
few,52;
inn,52;
well,52;
face,52;
how,51;
life,51;
pursuivant,51;
don,50;
calais,50;
boys,49;
strong,49;
place,49;
very,48;
good,48;
did,48;
hands,47;
let,47;
long,47;
light,46;
forth,46;
service,46;
quentin,45;
brought,45;
ere,45;
noble,44;
more,44;
each,44;
ambassador,44;
city,44;
make,43;
mary,43;
matter,43;
himself,43;
left,43;
sat,43;
way,43;
full,42;
take,42;
over,42;
passed,42;
heart,42;
much,41;
brothers,41;
again,40;
grays,40;
little,39;
whom,39;
days,39;
am,38;
captain,38;
stood,38;
queens,37;
mr,37;
about,37;
father,37;
both,37;
thought,37;
letter,37;
eyes,37;
army,37;
chamber,37;
entered,36;
works,36;
prisoner,36;
spanish,36;
clinton,36;
news,36;
last,36;
small,36;
between,36;
first,36;
go,35;
said—,35;
lay,35;
old,35;
rose,34;
being,34;
found,34;
late,34;
low,34;
royal,34;
saw,34;
voice,34;
dear,34;
party,33;
library,33;
than,33;
morning,33;
room,33;
present,33;
e,32;
part,32;
sent,32;
england,32;
renard,32;
vo,31;
among,31;
uncle,31;
to night,31;
leave,31;
give,31;
every,31;
friends,31;
words,30;
down,30;
though,30;
gutenberg,30;
camp,30;
poor,30;
              ,30;
brother,30;
fell,30;
soldiers,30;
story,30;
kings,29;
sheriff,29;
guests,29;
illustrated,29;
right,29;
yes,29;
french,29;
people,29;
star,28;
such,28;
only,28;
tale,28;
gentlemen,28;
nor,28;
held,28;
help,28;
minutes,27;
might,27;
honour,27;
garrison,27;
air,27;
thousand,27;
church,27;
own,27;
like,27;
blood,27;
house,27;
head,27;
fear,27;
electronic,27;
deep,27;
reached,26;
body,26;
towards,26;
knew,26;
thus,26;
count,26;
told,26;
bring,26;
together,26;
themselves,26;
even,26;
evening,26;
hall,26;
state,26;
given,26;
