de,7010;
la,5262;
et,2957;
les,2689;
le,2483;
à,2390;
que,2122;
qui,1652;
des,1550;
dans,1444;
du,1133;
,1093;
elle,1089;
pour,1009;
en,976;
une,923;
ne,894;
son,866;
plus,844;
ce,809;
a,753;
femme,748;
un,734;
pas,706;
sa,693;
se,681;
par,678;
au,659;
est,640;
cette,615;
il,600;
mais,564;
retour,550;
note,549;
ses,544;
mme,535;
avec,513;
femmes,495;
lui,491;
nous,491;
ces,438;
cest,422;
sur,406;
quelle,403;
leur,402;
si,398;
bien,390;
aux,390;
comme,357;
je,323;
même,314;
leurs,302;
ou,281;
avait,278;
aussi,275;
mère,271;
vie,270;
fait,266;
sont,260;
vous,253;
tout,248;
quil,246;
on,241;
france,235;
fille,230;
dune,227;
siècle,223;
dieu,220;
où,217;
elles,205;
m,198;
y,198;
encore,197;
faire,188;
dont,188;
filles,185;
sans,181;
reine,181;
the,179;
dun,175;
jeune,165;
mari,158;
roi,154;
était,152;
dit,147;
deux,143;
enfants,138;
nest,137;
ont,137;
marguerite,134;
toutes,130;
alors,129;
duchesse,129;
tous,128;
lettres,126;
famille,126;
être,124;
peut,124;
of,120;
me,115;
fils,115;
été,114;
moins,113;
quand,113;
sous,113;
ainsi,112;
coeur,111;
mlle,111;
fut,111;
après,110;
non,110;
grand,109;
voir,107;
maison,104;
française,104;
quelles,103;
temps,103;
mort,102;
lon,101;
toujours,100;
cour,100;
toute,100;
hommes,98;
monde,97;
souvent,97;
léducation,96;
mémoires,94;
soit,94;
peu,93;
lamour,92;
cet,92;
point,91;
faut,91;
mon,89;
lhomme,89;
jamais,88;
chez,88;
nos,88;
project,87;
autre,87;
xvie,86;
mariage,86;
fois,85;
dire,85;
ils,85;
or,83;
là,83;
notre,82;
françois,82;
na,81;
paris,81;
devant,81;
to,80;
charité,80;
lesprit,80;
ma,79;
contre,79;
xviiie,79;
avoir,78;
ici,78;
saint,77;
grande,77;
doit,75;
ans,75;
maintenon,74;
tant,74;
xviie,74;
trop,74;
cependant,73;
jeunes,73;
politique,72;
louis,72;
déjà,72;
donne,71;
and,71;
foyer,71;
droit,70;
quune,69;
père,69;
pays,69;
duc,69;
you,69;
dames,69;
surtout,68;
jour,68;
quelque,67;
elle même,67;
iii,67;
influence,66;
livre,66;
celle,65;
sévigné,65;
ni,64;
pouvoir,63;
rien,63;
jai,63;
parmi,62;
vers,62;
ceux,62;
avant,61;
in,61;
ny,61;
dautres,61;
moyen,61;
nom,61;
pendant,61;
frère,60;
grâce,60;
lorsque,59;
foi,59;
homme,59;
linstruction,59;
oeuvres,59;
quon,58;
princesse,58;
cité,58;
celui,58;
noble,57;
