the,4659;
and,2061;
of,1996;
to,1545;
a,1149;
in,973;
he,787;
was,777;
his,710;
s,669;
that,614;
i,518;
with,516;
you,505;
it,479;
for,478;
had,426;
as,410;
at,407;
were,399;
on,389;
their,389;
they,378;
by,346;
be,318;
said,287;
is,285;
him,261;
this,260;
from,258;
but,257;
will,247;
all,246;
not,239;
them,237;
sir,213;
which,209;
her,201;
men,198;
my,195;
your,194;
we,188;
have,185;
then,173;
john,171;
are,162;
or,161;
me,158;
would,157;
d,153;
ralph,149;
no,148;
so,141;
geoffrey,141;
william,141;
there,138;
she,133;
king,131;
into,131;
susan,131;
day,127;
great,127;
young,126;
if,122;
queen,120;
night,119;
an,118;
now,117;
one,117;
man,112;
lord,108;
been,107;
yet,104;
our,103;
may,101;
upon,98;
who,97;
philip,96;
do,94;
gutenberg,93;
when,93;
cried,92;
hand,88;
project,87;
replied,86;
us,85;
these,84;
many,82;
two,82;
three,79;
jefferay,79;
up,77;
cardinal,77;
god,77;
see,76;
well,72;
come,72;
what,71;
its,70;
must,69;
hour,69;
de,68;
through,68;
boards,68;
court,68;
before,68;
moment,67;
vicar,65;
net,64;
st,63;
town,63;
came,63;
cloth,63;
know,62;
under,61;
out,61;
side,61;
english,60;
time,60;
other,60;
any,60;
chiddingly,60;
where,59;
tell,58;
tm,57;
could,57;
took,57;
can,57;
good,57;
work,57;
here,57;
shall,56;
has,56;
made,55;
horses,55;
place,55;
some,55;
london,54;
life,54;
pursuivant,54;
soon,54;
once,53;
should,53;
oh,52;
don,52;
few,52;
how,52;
inn,52;
face,52;
gray,50;
calais,50;
strong,49;
mary,48;
very,48;
light,48;
did,48;
let,48;
long,48;
quentin,47;
boys,47;
hands,47;
service,47;
ambassador,46;
forth,46;
brought,45;
clinton,45;
ere,45;
city,45;
left,45;
heart,45;
noble,44;
more,44;
each,44;
himself,44;
make,43;
matter,43;
full,43;
take,43;
over,43;
much,43;
sat,43;
way,43;
brothers,43;
again,42;
passed,42;
room,42;
f,40;
little,40;
eyes,40;
e,39;
uncle,39;
captain,39;
whom,39;
chamber,39;
mr,38;
about,38;
prisoner,38;
father,38;
camp,38;
news,38;
last,38;
army,38;
days,38;
stood,38;
both,37;
thought,37;
small,37;
letter,37;
old,37;
am,36;
go,36;
entered,36;
works,36;
spanish,36;
between,36;
first,36;
voice,36;
renard,36;
down,35;
lay,35;
brother,35;
sent,35;
england,35;
library,34;
rose,34;
being,34;
found,34;
late,34;
present,34;
low,34;
royal,34;
saw,34;
dear,34;
party,33;
than,33;
morning,33;
words,32;
among,32;
part,32;
hall,32;
vo,31;
though,31;
sheriff,31;
morrow,31;
leave,31;
give,31;
every,31;
egmont,31;
friends,31;
master,30;
poor,30;
nor,30;
right,30;
fell,30;
people,30;
soldiers,30;
story,30;
m,29;
fynes,29;
star,29;
such,29;
only,29;
guests,29;
majesty,29;
blood,29;
illustrated,29;
house,29;
help,29;
treasurer,29;
governor,29;
yes,29;
french,29;
deep,29;
tale,28;
gentlemen,28;
heaven,28;
church,28;
held,28;
minutes,27;
might,27;
perhaps,27;
thus,27;
count,27;
honour,27;
garrison,27;
air,27;
thousand,27;
own,27;
like,27;
even,27;
six,27;
friend,27;
state,27;
head,27;
arms,27;
fear,27;
electronic,27;
reached,26;
body,26;
towards,26;
knew,26;
told,26;
bring,26;
together,26;
case,26;
known,26;
themselves,26;
foundation,26;
crown,26;
evening,26;
also,26;
given,26;
fine,26;
after,25;
till,25;
taken,25;
began,25;
diego,25;
rode,25;
joy,25;
walls,25;
answered,25;
set,25;
pardon,25;
another,25;
war,25;
while,25;
home,25;
c,24;
looked,24;
boat,24;
quickly,24;
ask,24;
think,24;
too,24;
hope,24;
fire,24;
woods,23;
suddenly,23;
scene,23;
against,23;
terms,23;
point,23;
coloured,23;
within,23;
charge,23;
continued,23;
lewes,23;
seen,23;
sussex,23;
command,23;
paper,22;
spoke,22;
fierce,22;
france,22;
children,22;
thank,22;
presently,22;
pole,22;
alas,22;
say,22;
behind,22;
horse,22;
save,22;
later,22;
called,22;
find,22;
visitors,21;
hundred,21;
done,21;
presence,21;
moved,21;
read,21;
somewhat,21;
around,21;
