de,7029;
la,5315;
et,2971;
les,2745;
le,2547;
à,2411;
que,2136;
qui,1655;
des,1556;
dans,1446;
elle,1282;
du,1139;
pour,1014;
en,983;
une,937;
ne,898;
son,870;
ce,856;
plus,853;
femme,759;
un,747;
il,725;
pas,709;
sa,698;
au,687;
par,685;
se,681;
est,669;
cette,622;
mais,573;
retour,550;
mme,549;
note,549;
ses,544;
lui,520;
avec,516;
nous,512;
femmes,506;
c'est,438;
ces,438;
même,415;
si,410;
sur,409;
leur,406;
bien,401;
aux,391;
je,370;
comme,357;
qu'elle,355;
leurs,303;
vous,293;
avait,283;
ou,282;
mère,281;
vie,278;
aussi,277;
fait,266;
sont,265;
tout,254;
fille,250;
qu'il,248;
elles,246;
france,236;
siècle,233;
dieu,228;
d'une,227;
où,217;
saint,214;
m,204;
y,202;
encore,200;
faire,191;
sans,190;
filles,189;
dont,188;
reine,183;
dit,180;
d'un,175;
jeune,166;
peut,163;
mari,158;
roi,157;
était,156;
être,155;
n'est,152;
enfants,144;
marguerite,142;
ont,141;
deux,141;
alors,131;
tous,130;
toutes,130;
duchesse,130;
famille,129;
lettres,126;
marie,119;
fils,117;
quand,116;
me,115;
sous,115;
coeur,114;
été,114;
fut,114;
non,114;
moins,113;
mlle,113;
ainsi,112;
grand,111;
après,110;
voir,108;
là,107;
temps,107;
faut,106;
maison,105;
monde,105;
mort,105;
française,104;
ils,104;
cour,102;
l'on,102;
toute,102;
toujours,100;
hommes,100;
l'éducation,99;
souvent,97;
soit,96;
l'amour,95;
mémoires,95;
t,94;
point,94;
xvie,94;
peu,94;
dire,93;
cet,93;
mon,93;
notre,92;
celle,91;
jamais,90;
l'homme,90;
nos,89;
mariage,89;
chez,88;
celui,88;
autre,88;
gutenberg,87;
project,87;
xviiie,86;
l'esprit,85;
fois,85;
ici,85;
n'a,83;
françois,83;
contre,82;
qu'elles,82;
devant,82;
paris,81;
louis,81;
charité,79;
avoir,78;
grande,78;
ans,77;
ma,76;
maintenon,76;
doit,75;
xviie,75;
tant,74;
trop,74;
ceux,74;
politique,73;
cependant,73;
jeunes,73;
foyer,73;
déjà,73;
donne,72;
droit,71;
j'ai,71;
qu'une,70;
père,70;
you,70;
quelque,69;
pays,69;
duc,69;
quelques,69;
dames,69;
surtout,68;
influence,68;
iii,68;
sévigné,67;
anne,67;
jour,67;
livre,66;
rien,65;
avant,64;
mêmes,64;
ni,64;
l'instruction,63;
ci,63;
pouvoir,62;
parmi,62;
vers,62;
moyen,62;
lorsque,62;
homme,62;
d'autres,61;
frère,61;
grâce,61;
nom,61;
pendant,61;
qu'on,59;
foi,59;
princesse,58;
cité,58;
donner,58;
oeuvres,58;
noble,57;
quelle,57;
seule,57;
ouvrage,57;
tendresse,57;
seulement,57;
ch,56;
tm,56;
donc,56;
c'était,56;
bon,56;
jusqu'à,56;
mission,56;
mieux,55;
d'autriche,55;
âge,55;
soeur,55;
belle,55;
familles,55;
dame,54;
esprit,53;
société,53;
force,53;
lieu,53;
chrétienne,53;
fénelon,53;
ii,52;
entre,52;
raison,52;
antoinette,52;
sainte,52;
morale,52;
n'en,52;
étaient,52;
laquelle,52;
1,51;
milieu,51;
français,51;
fit,51;
ier,51;
n'y,51;
sentiments,51;
siècles,51;
trois,50;
premier,50;
devoirs,50;
montaigne,50;
mal,50;
devait,50;
d'ailleurs,50;
pensée,49;
première,49;
caractère,49;
voit,49;
vertu,49;
avaient,49;
n'était,48;
bonne,48;
l'a,48;
l'âme,47;
