az,3102;
hogy,2084;
nem,1902;
s,1445;
egy,1265;
és,945;
azt,944;
volt,781;
én,685;
ki,627;
meg,585;
ez,583;
ha,581;
még,580;
már,536;
van,536;
mint,530;
e,526;
de,523;
csak,511;
ön,498;
sem,449;
most,423;
el,410;
úr,384;
mit,344;
mi,338;
úgy,329;
minden,311;
mikor,294;
volna,290;
ő,284;
ne,279;
neki,275;
mert,273;
hát,266;
harter,254;
pedig,251;
aztán,240;
hanem,238;
ezt,238;
jó,234;
itt,234;
akkor,232;
ember,232;
nagy,227;
egész,223;
ott,223;
olyan,215;
kell,214;
fel,210;
lemming,207;
ilonka,206;
igen,188;
kis,188;
hol,184;
nekem,183;
vagy,182;
két,181;
maga,179;
szép,170;
magát,167;
mind,163;
valami,163;
azzal,153;
azután,153;
elemér,151;
vele,149;
lesz,149;
rá,145;
míg,144;
nagyon,141;
azért,138;
mely,135;
majd,134;
szólt,132;
te,131;
annak,131;
jól,131;
vagyok,129;
őt,128;
angyaldy,128;
alatt,127;
önnek,123;
malvina,122;
semmi,120;
előtt,119;
le,118;
épen,114;
oly,114;
után,114;
nincs,110;
azon,109;
lehet,108;
hozzá,108;
nándor,106;
fog,106;
tehát,105;
soha,105;
egyszer,102;
kellett,101;
így,99;
leány,98;
vissza,98;
ilyen,98;
kik,98;
oda,96;
senki,95;
tudom,95;
uram,93;
ma,92;
azok,91;
project,90;
mindig,90;
fogja,89;
föhnwald,89;
arra,89;
gutenberg,88;
más,88;
másik,86;
mintha,83;
rajta,82;
se,81;
tudja,79;
ugyan,79;
voltak,78;
egészen,78;
tőle,77;
semmit,76;
midőn,76;
nélkül,75;
engem,75;
óh,74;
kezét,74;
ismét,74;
nap,74;
you,74;
gierig,74;
bizony,73;
saját,73;
hiszen,73;
mégis,73;
hölgy,72;
át,72;
erre,72;
vannak,72;
önt,72;
kit,71;
egyik,71;
kinek,70;
milyen,70;
szabad,70;
talán,69;
lett,67;
kisasszony,66;
szegény,66;
elég,65;
való,64;
emberek,64;
magam,64;
addig,64;
miért,63;
között,63;
keresztül,63;
fiatal,62;
sok,61;
legyen,61;
végig,60;
benne,60;
megint,59;
miket,59;
valaki,59;
lehetett,59;
azonban,59;
jött,59;
mondta,58;
ide,58;
valamit,57;
asszony,57;
kedves,57;
tud,57;
számára,57;
tm,56;
ifjú,56;
bohócz,56;
haza,56;
kegyed,56;
utána,56;
abban,56;
mellett,54;
lenni,53;
konyecz,53;
többé,53;
ah,52;
alá,52;
érte,52;
egyedül,52;
bélteky,52;
új,51;
nő,50;
többet,50;
idő,50;
ily,50;
akar,50;
felé,50;
fejét,50;
együtt,49;
róla,49;
rosz,49;
három,49;
1,48;
férfi,48;
adott,48;
tudta,48;
elé,48;
magával,48;
mindent,47;
mondá,47;
voltam,47;
annyi,47;
ezzel,47;
össze,47;
előtte,47;
világ,46;
igaz,46;
isten,46;
egyszerre,45;
velem,45;
első,45;
work,45;
őket,45;
nézve,45;
ellen,44;
minek,44;
hogyan,44;
úrnak,44;
mondani,44;
mik,44;
maradt,44;
több,43;
kérem,43;
sietett,43;
böske,43;
magamat,43;
ezek,43;
világosi,43;
szépen,43;
állt,43;
ennek,43;
ment,42;
jobban,42;
magának,42;
közül,42;
elő,42;
jár,42;
azokat,42;
oh,41;
utolsó,41;
melyben,41;
arcza,41;
holnap,41;
előre,41;
menni,41;
csakugyan,41;
tudott,41;
melyet,41;
mire,40;
hiszem,40;
mondja,39;
tessék,39;
fogom,39;
édes,39;
rám,39;
pénzt,39;
szót,38;
miatt,38;
mondom,38;
tovább,38;
magában,38;
belőle,38;
akarja,37;
bele,37;
tenni,37;
any,37;
mindennap,37;
este,37;
kapott,37;
szó,37;
ezen,37;
szemei,37;
fehér,37;
látta,37;
szerint,36;
otthon,36;
láttam,36;
tette,36;
asszonyom,36;
fekete,36;
mivel,36;
felelt,36;
hisz,36;
éjjel,35;
bolond,35;
áll,35;
úrfi,35;
fogok,35;
magyar,35;
arról,35;
adni,35;
elől,35;
hadd,35;
tetszik,35;
tett,34;
közé,34;
nekünk,34;
biz,34;
tőlem,34;
vagyunk,34;
mindjárt,34;
menjen,34;
barátom,34;
eléje,34;
onnan,34;
látni,34;
mondtam,33;
rögtön,33;
körül,33;
mindenki,33;
