de,6959;
la,4826;
et,2727;
les,2465;
à,2387;
le,2300;
que,1990;
des,1528;
qui,1416;
dans,1329;
du,1117;
pour,934;
ne,868;
une,867;
en,860;
son,845;
elle,791;
plus,786;
ce,698;
un,697;
se,680;
sa,678;
a,651;
par,642;
pas,639;
est,626;
au,591;
femme,563;
cette,546;
Note,538;
ses,538;
(retour),538;
Mme,534;
avec,479;
lui,451;
il,408;
ces,406;
leur,395;
nous,393;
sur,388;
femmes,378;
aux,378;
La,356;
qu'elle,347;
bien,329;
si,322;
comme,305;
mais,295;
leurs,295;
même,276;
avait,270;
ou,269;
c'est,265;
fait,256;
sont,255;
je,247;
Elle,245;
qu'il,242;
vous,228;
qui,,226;
Mais,224;
d'une,223;
aussi,217;
Les,210;
y,198;
M.,197;
où,196;
tout,195;
Il,191;
dont,185;
mère,183;
Le,183;
vie,182;
d'un,174;
faire,171;
the,162;
on,160;
encore,157;
sans,157;
jeune,156;
fille,154;
C'est,149;
elles,148;
était,148;
reine,143;
n'est,137;
ont,135;
Dieu,134;
Et,130;
dit,130;
filles,123;
être,122;
deux,121;
duchesse,118;
En,116;
tous,116;
peut,115;
toutes,114;
me,111;
été,111;
Mlle,110;
Ce,109;
of,109;
fut,108;
Dans,105;
France,102;
Marguerite,101;
l'on,101;
moins,100;
roi,96;
grand,96;
sous,96;
toute,95;
mari,93;
A,90;
que,,90;
femme,,89;
non,89;
peu,88;
faut,87;
cet,86;
alors,86;
toujours,85;
soit,85;
mon,84;
nos,84;
siècle,83;
qu'elles,82;
temps,81;
point,81;
autre,81;
souvent,81;
On,80;
ainsi,80;
notre,80;
et,,80;
Nous,79;
XVIe,79;
n'a,79;
quand,78;
François,78;
Project,78;
coeur,77;
contre,77;
chez,77;
siècle,,77;
.,76;
l'éducation,76;
Je,75;
enfants,75;
avoir,75;
France,,74;
après,74;
grande,74;
fils,74;
Pour,73;
doit,73;
jeunes,72;
XVIIIe,71;
or,70;
to,70;
trop,69;
and,69;
Cette,69;
ma,68;
qu'une,68;
devant,68;
XVIIe,67;
l'amour,67;
hommes,67;
jamais,66;
tant,66;
Au,65;
Louis,65;
ici,65;
celle,65;
famille,65;
l'esprit,64;
quelque,64;
cour,64;
ni,63;
mort,63;
donne,63;
voir,63;
saint,62;
ils,62;
droit,62;
déjà,62;
surtout,61;
duc,60;
ceux,60;
fois,59;
moyen,59;
lettres,59;
in,58;
là,58;
celui,58;
l'homme,56;
Anne,56;
jusqu'à,56;
dire,55;
parmi,55;
livre,55;
d'autres,55;
fille,,54;
maison,54;
qu'on,54;
quelques,54;
Une,53;
seulement,53;
Gutenberg-tm,53;
Si,52;
n'en,52;
donner,52;
avant,51;
noble,51;
donc,51;
Dieu,,51;
fit,51;
mieux,50;
Comme,50;
n'y,50;
grâce,50;
you,50;
vers,49;
milieu,49;
seule,49;
influence,49;
nom,49;
étaient,49;
cependant,48;
bon,48;
l'a,48;
avaient,48;
laquelle,48;
l'instruction,47;
entre,47;
ch.,47;
force,47;
devait,47;
oeuvres,47;
politique,46;
monde,46;
Henri,46;
qu'un,46;
with,46;
j'ai,46;
pouvoir,45;
De,45;
elle-même,45;
bonne,45;
donné,45;
jour,45;
siècle.,45;
femmes,,45;
n'était,44;
font,44;
princesse,44;
rien,44;
lieu,44;
dame,44;
Elles,43;
première,43;
trois,43;
mère,,43;
ait,43;
qu'à,42;
parce,42;
marquise,42;
devoirs,42;
Catherine,42;
voit,42;
française,42;
foi,42;
tendresse,42;
mes,42;
pendant,42;
mariage,42;
d'être,42;
Sévigné,41;
Que,41;
qu'ils,41;
ouvrage,41;
n'avait,41;
sentiments,41;
grands,41;
Marie,41;
l'âme,40;
France.,40;
vie,,40;
part,40;
très,40;
aurait,40;
femmes.,40;
eu,39;
avons,39;
pas,,39;
femme.,39;
homme,39;
suis,38;
Jeanne,38;
c'était,38;
père,38;
pays,38;
aussi,,38;
«Je,38;
mission,38;
mari,,38;
pu,37;
Vincent,37;
quelle,37;
this,37;
Maintenon,37;
vertu,37;
sait,37;
serait,36;
morale,36;
loi,36;
grandes,36;
familles,36;
s'il,36;
époque,35;
veut,35;
d'Autriche,35;
Par,35;
sainte,35;
Paris,,35;
belle,35;
frère,35;
mal,35;
famille,,35;
Voir,35;
sentiment,35;
elle,,35;
Un,34;
pensée,34;
guerre,34;
enfants,,34;
d'après,34;
Avec,34;
roi,,34;
soeur,34;
peuvent,34;
s'est,34;
courage,34;
dames,34;
cause,34;
dernier,34;
chose,33;
trouve,33;
moment,33;
l'une,33;
digne,33;
l'influence,33;
vos,33;
filles,,33;
française.,33;
sera,33;
livres,33;
place,33;
assez,33;
Ces,32;
telle,32;
prince,32;
ans,32;
gloire,32;
l'un,32;
ans,,32;
work,32;
s'en,32;
l'honneur,32;
votre,31;
écrit,31;
encore,,31;
raison,31;
qu'au,31;
caractère,31;
III,,31;
pouvait,31;
âmes,31;
celles,31;
any,31;
droits,31;
faisait,31;
passion,31;
Fénelon,30;
t.,30;
auprès,30;
vrai,30;
Mémoires,30;
l'évêque,30;
yeux,30;
nombre,30;
cité.,30;
Après,30;
peine,30;
Maintenon,,30;
Mémoires.,29;
va,29;
vu,29;
guère,29;
Paris,29;
mères,29;
Lettres,29;
car,29;
besoin,29;
goût,29;
travail,29;
fût,29;
vraiment,29;
chrétienne,29;
lui,,29;
principes,29;
demande,28;
LA,28;
fort,28;
esprit,28;
qu'en,28;
peuple,28;
comte,28;
semble,28;
langue,28;
loin,28;
furent,28;
époux,28;
instruction,28;
mêmes,27;
Plus,27;
premier,27;
monde,,27;
rendre,27;
«La,27;
fin,27;
foyer,27;
etc.,27;
près,27;
fils,,27;
prendre,27;
maison,,27;
Marie-Antoinette,27;
devient,27;
pages,27;
electronic,27;
voulu,26;
Ne,26;
is,26;
l.,26;
charité,26;
Ier,26;
Mgr,26;
tendre,26;
société,26;
Histoire,26;
mariage,,26;
rôle,26;
lorsque,26;
forte,26;
type,26;
lettre,26;
petite,26;
propre,26;
éducation,26;
traditions,26;
comment,26;
aura,26;
servir,26;
reine,,26;
Brantôme,,25;
d'elle,25;
reste,25;
depuis,25;
    ,25;
salons,25;
savoir,25;
comtesse,25;
fidèle,25;
piété,25;
n'ont,25;
cela,25;
eut,25;
d'avoir,25;
service,25;
s'y,25;
pauvres,25;
seul,25;
parler,25;
effet,,24;
Mémoires,,24;
quel,24;
remplir,24;
garde,24;
bien,,24;
Charles,24;
mille,24;
gens,24;
âge,24;
malgré,24;
charge,24;
aujourd'hui,24;
luy,24;
disait,24;
nobles,24;
chercher,24;
Louise,24;
Mais,,24;
enfant,24;
l'épouse,24;
jusqu'au,24;
tout,,24;
petit,24;
by,23;
religion,23;
Ils,23;
Sans,23;
mort,,23;
puisse,23;
nouvelle,23;
tels,23;
voix,23;
nécessaire,23;
beaucoup,23;
paix,23;
lequel,23;
Montaigne,,23;
