Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Guido R.C.","A tutorial review on entropy-based handcrafted feature extraction for information fusion",2018,"Information Fusion",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029359276&doi=10.1016%2fj.inffus.2017.09.006&partnerID=40&md5=28f24a1a0908162013b72bee742c7173","Entropy (H) is the main subject of this article, concisely written to serve as a tutorial introducing two feature extraction (FE) methods for usage in digital signal processing (DSP) and pattern recognition (PR). The theory, carefully exposed, is supplemented with numerical cases, augmented with C/C++ source-codes and enriched with example applications on restricted-vocabulary speech recognition and image synthesis. Complementarily and as innovatively shown, the ordinary calculation of H corresponds to the outcome of a partially pre-tuned deep neural network architecture which fuses important information, bringing a cutting-edge point-of-view for both DSP and PR communities. © 2017 Elsevier B.V.","Deep networks; Entropy; Handcrafted feature extraction; Image synthesis; Information fusion; Restricted-vocabulary speech recognition","C (programming language); Deep neural networks; Digital signal processing; Entropy; Extraction; Feature extraction; Image processing; Information fusion; Network architecture; Pattern recognition; Signal processing; Cutting edges; Digital signal processing (DSP); Entropy-based; Image synthesis; Source codes; Speech recognition",2-s2.0-85029359276
"Bulinski Z., Szczygiel I., Kabaj A., Krysinski T., Gladysz P., Czarnowska L., Stanek W.","Performance Analysis of the Small-Scale α-Type Stirling Engine Using Computational Fluid Dynamics Tools",2018,"Journal of Energy Resources Technology, Transactions of the ASME",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030330957&doi=10.1115%2f1.4037810&partnerID=40&md5=c3f40ebbc8336a776c2f9b97a0a00e4d","This paper presents the computational fluid dynamics (CFD) model of small-scale α-type Stirling engine. The developed mathematical model comprises of unsteady Reynolds averaged Navier-Stokes set of equations, i.e., continuity, momentum, and energy equations; turbulence was modeled using standard κ-ω model. Moreover, presented numerical model covers all modes of heat transfer inside the engine: conduction, convection, and radiation. The model was built in the framework of the commercial CFD software ANSYS fluent. Piston movements were modeled using dynamic mesh capability in ANSYS fluent; their movement kinematics was described based on the crankshaft geometry and it was implemented in the model using user-defined functions written in C programming language and compiled with a core of the ANSYS fluent software. The developed numerical model was used to assess the performance of the analyzed Stirling engine. For this purpose, different performance measures were defined, including coefficient of performance (COP), exergy efficiency, and irreversibility factor. The proposed measures were applied to evaluate the influence of different heating strategies of the small-scale α-type Stirling engine. © 2018 by ASME.",,"C (programming language); Computational fluid dynamics; Crankshafts; Engines; Fluid dynamics; Heat transfer; Numerical models; Stirling engines; Coefficient of Performance; Computational fluid dynamics modeling; Exergy efficiencies; Movement kinematics; Performance analysis; Performance measure; Unsteady reynolds-averaged navier-stokes; User Defined Functions; Navier Stokes equations",2-s2.0-85030330957
"Vatankhah H., Taherian A.R., Ramaswamy H.S.","High-pressure induced thermo-viscoelasticity and dynamic rheology of gum Arabic and chitosan aqueous dispersions",2018,"LWT - Food Science and Technology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032721054&doi=10.1016%2fj.lwt.2017.10.059&partnerID=40&md5=588913d7089423c563829c70eac18947","Effect of high pressure treatment (200 MPa, 400 MPa, 600 MPa) on rheological properties of aqueous dispersions of gum Arabic (6 g/100 g, 15 g/100 g, and 20 g/100 g) and chitosan (2 g/100 g, 4 g/100 g) was studied. Dynamic properties were assessed using an angular frequency range of 1–25 rad s−1. Flow properties were measured by applying a programmed shear rate of 0.1–100 s−1 for 10 min (upward) and 100–0.1 s−1 for the next 10 min (downward). A power law shift function was used to describe the deviations from the Cox-Merz theory in all samples. Thermo-viscoelasticity was evaluated using a programmed heat/hold/cool cycle (22 °C/70 °C/20 °C). Two term-exponential and a Gaussian model well fitted the thermo-viscoelastic behavior of both gums. The thermal compatibility, regarding a logarithmic phase shift of loss tangent ratios, was also studied. Results showed higher incompatibilities at lower temperatures, while the shift phases tended to zero at higher temperatures. Overall, HP treatment intensified the existence of a stronger and temperature sensitive hydrocolloid network for 4 g/100 g chitosan and 20 g/100 g GA. The highest incompatibility was seen in 20 g/100 g gum Arabic which was a 1–1.5 order of magnitude. © 2017 Elsevier Ltd","Consistency; Hydrocolloids; Modeling; Power-law; Viscosity","Adhesives; Chitin; Chitosan; Colloids; Dispersions; High pressure effects; Models; Shear flow; Viscoelasticity; Viscosity; Consistency; Effect of high pressure; Hydrocolloids; Power-law; Rheological property; Temperature sensitive; Thermal compatibility; Thermoviscoelasticity; C (programming language)",2-s2.0-85032721054
"Benáček P., Puš V., Kubátová H., Čejka T.","P4-To-VHDL: Automatic generation of high-speed input and output network blocks",2018,"Microprocessors and Microsystems",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032722803&doi=10.1016%2fj.micpro.2017.10.012&partnerID=40&md5=6e9f6dec0a2327de25ce736c3877aba4","High-performance embedded architectures typically contain many stand-alone blocks which communicate and exchange data; additionally a high-speed network interface is usually needed at the boundary of the system. The software-based data processing is typically slow which leads to a need for hardware accelerated approaches. The problem is getting harder if the supported protocol stack is rapidly changing. Such problem can be effectively solved by the Field Programmable Gate Arrays and high-level synthesis which together provide a high degree of generality. This approach has several advantages like fast development or possibility to enable the area of packet-oriented communication to domain oriented experts. However, the typical disadvantage of this approach is the insufficient performance of generated system from a high-level description. This can be a serious problem in the case of a system which is required to process data at high packet rates. This work presents a generator of high-speed input (Parser) and output (Deparser) network blocks from the P4 language which is designed for the description of modern packet processing devices. The tool converts a P4 description to a synthesizable VHDL code suitable for the FPGA implementation. We present design, analysis and experimental results of our generator. Our results show that the generated circuits are able to process 100 Gbps traffic with fairly complex protocol structure at line rate on Xilinx Virtex-7 XCVH580T FPGA. The approach can be used not only in networking devices but also in other applications like packet processing engines in embedded cores because the P4 language is device and protocol independent. © 2017 Elsevier B.V.","100 Gbps; Deparser; FPGA; High-level language; P4; Parser","Computational linguistics; Computer programming languages; Data handling; Field programmable gate arrays (FPGA); High level languages; High level synthesis; HIgh speed networks; Interfaces (computer); Logic Synthesis; 100 Gbps; Automatic Generation; Deparser; Embedded architecture; Hardware-accelerated; High level description; Packet processing engines; Parser; Computer hardware description languages",2-s2.0-85032722803
"Xu Y., Shan S., Qiu Z., Jia Z., Shen Z., Wang Y., Shi M., Chang E.I.-C.","End-to-end subtitle detection and recognition for videos in East Asian languages via CNN ensemble",2018,"Signal Processing: Image Communication",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032028544&doi=10.1016%2fj.image.2017.09.013&partnerID=40&md5=798dd9d57cddd283cd33cac91ce2dda0","In this paper, we propose an innovative end-to-end subtitle detection and recognition system for videos in East Asian languages. Our end-to-end system consists of multiple stages. Subtitles are firstly detected by a novel image operator based on the sequence information of consecutive video frames. Then, an ensemble of Convolutional Neural Networks (CNNs) trained on synthetic data is adopted for detecting and recognizing East Asian characters. Finally, a dynamic programming approach leveraging language models is applied to constitute results of the entire body of text lines. The proposed system achieves average end-to-end accuracies of 98.2% and 98.3% on 40 videos in Simplified Chinese and 40 videos in Traditional Chinese respectively, which is a significant outperformance of other existing methods. The near-perfect accuracy of our system dramatically narrows the gap between human cognitive ability and state-of-the-art algorithms used for such a task. © 2017 Elsevier B.V.","Convolutional neural networks; East Asian language; Subtitle text detection; Subtitle text recognition; Synthetic training data; Video sequence information","Convolution; Dynamic programming; Neural networks; Asian languages; Convolutional neural network; Synthetic training data; Text detection; Text recognition; Video sequences; Character recognition",2-s2.0-85032028544
"An C.-C., Hsu H.-Y., Sun Y.-T., Ke L.-D., Hsu T.-G., Ting C.-C.","Developing an audio analyzer for instantaneous stroke position identification on table tennis racket to assist technical training",2018,"Measurement: Journal of the International Measurement Confederation",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031742335&doi=10.1016%2fj.measurement.2017.10.028&partnerID=40&md5=d7c3aa6c990c92ba6911efb9ff8be191","This study has successfully developed an audio analyzer system to identify the stroke position on table tennis racket instantaneously, which can effectively help the technical training. It's well known, a good stroke is often determined by the exact stroke position on table tennis racket during the play. Therefore, instantaneous identification of the stroke position on table tennis racket during play can provide good adjusting reference of action and effectively help the technical training. In this research, this developed audio analyzer consists of a microphone and the analysing program with fast Fourier transform (FFT) using LabVIEW software. The face of table tennis racket is divided into four blocks which are the center, the left-of-center, the right-of-center, and the trail. The stroke sound generated between table tennis racket and ball during play is captured by the microphone and synchronously analyzed through FFT to determine the principal frequency, where the different stroke position on the table tennis racket yields different principal frequency. The results of calibration show that every table tennis racket has three characteristic principal frequencies on the four blocks, which can distinguish center, right/left, and trail respectively. The positional verification rate of the center position identification is all higher than 90% even up to 100% which can assist technical training. © 2017 Elsevier Ltd","Audio analyzer; Fast Fourier transform; Principal frequency; Stroke position; Table tennis","Computer programming languages; Fast Fourier transforms; Microphones; Sporting goods; Technical presentations; Audio analyzers; Lab-view softwares; Position identification; Principal frequency; Stroke position; Table tennis racket; Table-tennis; Technical training; Sports",2-s2.0-85031742335
"Herajy M., Liu F., Heiner M.","Efficient modelling of yeast cell cycles based on multisite phosphorylation using coloured hybrid Petri nets with marking-dependent arc weights",2018,"Nonlinear Analysis: Hybrid Systems",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030871546&doi=10.1016%2fj.nahs.2017.09.002&partnerID=40&md5=9661a2f3ff6adaf70eb1d9242971f599","With the increasing interest in systems biology to investigate the dynamics and behaviour of biological reaction networks, the scales as well as the complexities of the models under study grew rapidly and continue to grow at even faster pace. Traditional single-scale simulation methods become more and more impractical and inefficient to study these complex reaction networks. A daunting example of biological systems that falls into this category is the cell cycle regulation. In order to accurately model repeated cell growth and division, the corresponding reaction network should exhibit some sort of nonlinearity. One of the techniques able to reproduce this nonlinear behaviour is to include a series of phosphorylation and dephosphorylation reactions of the regulating proteins. However, this modelling approach results in two main challenges: the existence of components with different abundance of molecules and substantially larger biochemical networks in terms of number of reactions and species, with many of them exposing equivalent structure and behaviour. In this paper, we address these two issues by exploiting the modelling power of coloured hybrid Petri nets (HPNC). HPNC are a hybrid Petri net class that combines stochastic and deterministic events over a continuous time scale at the coloured level. Moreover, motivated by this case study we extend HPNC to include marking-dependent arc weights instead of just having constant values to define such weights. © 2017 Elsevier Ltd","Cell cycle regulation; Coloured hybrid Petri nets; Hybrid simulation; Marking-dependent arc weights; Multisite phosphorylation","Cells; Continuous time systems; Cytology; Petri nets; Phosphorylation; Stochastic systems; Cell cycle regulation; Dependent arc; Hybrid Petri net; Hybrid simulation; Multi-site; C (programming language)",2-s2.0-85030871546
"Huang H., Yao W., Li R., Ali A., Du J., Guo D., Xiao R., Guo Z., Zhang Z., Awasthi M.K.","Effect of pyrolysis temperature on chemical form, behavior and environmental risk of Zn, Pb and Cd in biochar produced from phytoremediation residue",2018,"Bioresource Technology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031905036&doi=10.1016%2fj.biortech.2017.10.020&partnerID=40&md5=176ffeafee9c560b9bb10a4991aedc80","This study aimed to evaluate the chemical forms, behavior and environmental risk of heavy metal (HMs) Zn, Pb and Cd in phytoremediation residue (PMR) pyrolyzed at 350 °C, 550 °C and 750 °C, respectively. The behavior of HMs variation during the PMR pyrolysis process was analyzed and the potential HMs environmental risk of phytoremediation residue biochars (PMB) was assessed which was seldom investigated before. The results showed that the pyrolysis temperature increase decreased the soluble/exchangeable HMs fraction and alleviated the HMs bioavailability. When the temperature was over 550 °C, the adsorbed Zn(II), Pb(II) and Cd(II) were turned into oxides forms and concentrated in PMB with more stable forms exhibiting lower risk assessment code and potential ecological risk index. The ecotoxicity test showed higher pyrolysis temperature favored the reduction of PMB ecotoxicity. It is suggested that pyrolysis temperature above 550 °C may be suitable for thermal treatment of PMR with acceptable environmental risk. © 2017 Elsevier Ltd","Biochar; Ecotoxicity; Heavy metals; Phytoremediation residue; Risk evaluation","Biochemistry; Bioremediation; Cadmium; Cadmium compounds; Cracking (chemical); Heavy metals; Lead; Lead compounds; Pyrolysis; Risk assessment; Zinc; Zinc compounds; Bio chars; Ecotoxicity; Environmental risks; Phytoremediation; Potential ecological risk; Pyrolysis temperature; Risk assessment code; Risk evaluation; C (programming language); cadmium; lead; zinc; biogenic material; cadmium; ecotoxicology; environmental risk; heavy metal; lead; phytoremediation; pyrolysis; risk assessment; temperature; zinc; Article; Brassica juncea; Chinese cabbage; controlled study; ecotoxicity; electric conductivity; environmental impact; environmental temperature; germination; infrared spectrometry; leaching; nonhuman; pH; physical chemistry; phytoremediation; phytoremediation residue; priority journal; pyrolysis; risk assessment; scanning electron microscopy; surface property; X ray diffraction",2-s2.0-85031905036
"Kermani N.A., Petrushina I., Nikiforov A., Rokni M.","Metal alloys for the new generation of compressors at hydrogen stations: Parametric study of corrosion behavior",2018,"Renewable Energy",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031715629&doi=10.1016%2fj.renene.2017.08.066&partnerID=40&md5=62dae5a651fd338d82105fd3b053218d","Compressors are one of the most costly components at hydrogen stations, which leads to the high price of hydrogen production. The substitution of a solid piston with ionic liquid is a promising option that may solve some of the challenges related to conventional reciprocating compressors and, consequently, significantly reduce the final cost of hydrogen production. The correct choice of ionic liquid and construction materials is critical for avoiding significant corrosion problems. Hence, the objective of this study is to evaluate the compatibility of various austenitic stainless steels and nickel-based alloys as construction materials in contact with 80 °C ionic liquids in an ionic liquid hydrogen compressor, considering the role of parameters such as the temperature, viscosity, ionic liquid cation and anion, and water absorption. The results show that temperature contributes to increasing the corrosion rate. However, even at 80 °C, the very low corrosion current densities proved that all of the tested alloys are safe to use as construction materials. AISI 347 showed very high corrosion resistance in all of the ionic liquids. The highest corrosion resistance among all of the tested alloys was observed in trihexyltetradecylphosphonium bis (trifluoromethylsulfonyl) imide, which had a relatively high viscosity and the lowest water content. © 2017 Elsevier Ltd","Corrosion resistance; Gravimetric method; Hydraulic and pneumatic industry; Hydrogen; Ionic liquids; Tafel plots","Alloy steel; Austenitic stainless steel; C (programming language); Compressibility of liquids; Compressors; Corrosion; Corrosion rate; Corrosion resistance; Corrosion resistant alloys; Hydrogen; Hydrogen production; Liquefied gases; Liquids; Nickel alloys; Reciprocating compressors; Viscosity; Water absorption; Water content; Corrosion behavior; Corrosion current densities; Corrosion problems; Gravimetric methods; Nickel based alloy; Parametric study; Tafel plots; Trihexyltetradecylphosphonium; Ionic liquids; alloy; analytical method; anion; cation; construction material; corrosion; gravimetry; hydraulics; hydrogen; ionic liquid; parameterization; temperature; viscosity",2-s2.0-85031715629
"Pirouzi S., Aghaei J., Vahidinasab V., Niknam T., Khodaei A.","Robust linear architecture for active/reactive power scheduling of EV integrated smart distribution networks",2018,"Electric Power Systems Research",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030084552&doi=10.1016%2fj.epsr.2017.09.021&partnerID=40&md5=c61de4af03e6ee53b10a569e61623d6c","This paper develops a robust bundled active and reactive power management of EV integrated smart distribution networks. To model the problem, at first, the deterministic formulation of the problem is expressed as a non-linear programing (NLP), which minimizes the difference between the energy cost and the revenue of EVs’ (parking lot's) reactive power exchange with the network as the objective function, subject to the AC power flow equations, system operation limits and EVs’ characteristics as the problem constraints. Then, while the NLP optimization reveals local optima, the NLP model is converted into a linear programming (LP) model using linearized AC power flow equations. The system uncertainties including active and reactive loads, electrical energy and reactive power prices as well as EVs’ charging/discharging schedules are modeled in the proposed linear model. Accordingly, the robust model is implemented and it considers one scenario, namely the most-conservative scenario of the objective function in the main problem. To decrease the calculation time, Benders decomposition (BD) approach is used to speed up the total processing time. The proposed robust linear architecture is tested on three distribution test networks to demonstrate its efficiency and performance. The results show that the NLP model can be substituted with the high-speed LP model. Moreover, the computation speed is improved by using the BD method. In addition, the capacity of the injected power of EVs is reduced in the most-conservative scenario in comparison with the deterministic model's scenario, while the consumed power of loads and EVs have been increased in this scenario. The proposed robust architecture against uncertainties is shown to yield a more robust solutions at the expense of higher operation cost. © 2017 Elsevier B.V.","Active and reactive power management; Benders decomposition; Electric vehicles (EVs); Linear programming; Robust optimization","Costs; Electric load flow; Electric power measurement; Energy management; Linear programming; Natural language processing systems; Nonlinear programming; Optimization; Power management; Reactive power; Stochastic programming; Active and Reactive Power; Benders decomposition; Deterministic modeling; Electric Vehicles (EVs); Linear programming models; Robust optimization; Smart distribution networks; Total processing time; Network architecture",2-s2.0-85030084552
