Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Teo G., Reinerman-Jones L., Matthews G., Szalma J., Jentsch F., Hancock P.","Enhancing the effectiveness of human-robot teaming with a closed-loop system",2018,"Applied Ergonomics",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030314509&doi=10.1016%2fj.apergo.2017.07.007&partnerID=40&md5=469fa7b8613bcbf88fa1a045eeda4ae6","With technological developments in robotics and their increasing deployment, human-robot teams are set to be a mainstay in the future. To develop robots that possess teaming capabilities, such as being able to communicate implicitly, the present study implemented a closed-loop system. This system enabled the robot to provide adaptive aid without the need for explicit commands from the human teammate, through the use of multiple physiological workload measures. Such measures of workload vary in sensitivity and there is large inter-individual variability in physiological responses to imposed taskload. Workload models enacted via closed-loop system should accommodate such individual variability. The present research investigated the effects of the adaptive robot aid vs. imposed aid on performance and workload. Results showed that adaptive robot aid driven by an individualized workload model for physiological response resulted in greater improvements in performance compared to aid that was simply imposed by the system. © 2017 Elsevier Ltd","Adaptive systems; Inter-individual variability; Workload model","Adaptive systems; Closed loop systems; Physiological models; Physiology; Human robots; Human-robot-team; Individual variability; Physiological response; Taskload; Technological development; Work-load models; Robots; human; robotics; workload",2-s2.0-85030314509
"Rodríguez J., Gutiérrez T., Portillo O., Sánchez E.J.","Learning force patterns with a multimodal system using contextual cues",2018,"International Journal of Human Computer Studies",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032707375&doi=10.1016%2fj.ijhcs.2017.10.007&partnerID=40&md5=b5c2786438a7069f0fe9fc2187af37b4","Previous studies on learning force patterns (fine motor skills) have focused on providing “punctual information”, which means users only receive information about their performance at the current time step. This work proposes a new approach based on “contextual information”, in which users receive information not only about the current time step, but also about the past (how the target force has changed over time) and the future (how the target force will change). A test was run to compare the performance of the contextual approach in relation to the punctual information, in which each participant had to memorize and then reproduce a pattern of force after training with a multimodal system. The findings suggest that the contextual approach is a useful strategy for force pattern learning. The advantage of the contextual information approach over the punctual information approach is that users receive information about the evolution of their performance (helping to correct the errors), and they also receive information about the next forces to be exerted (providing them with a better understanding of the target force profile). Finally, the contextual approach could be implemented in medical training platforms or surgical robots to extend the capabilities of these systems. © 2017 Elsevier Ltd","Force skill training; Motor skill training; Multimodal training; Virtual training","Engineering; Hardware; Contextual information; Medical training; Motor skills; Multi-modal; Multimodal system; Pattern Learning; Skill training; Virtual training; Personnel training",2-s2.0-85032707375
"Liu Z.-T., Wu M., Cao W.-H., Mao J.-W., Xu J.-P., Tan G.-Z.","Speech emotion recognition based on feature selection and extreme learning machine decision tree",2018,"Neurocomputing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028353735&doi=10.1016%2fj.neucom.2017.07.050&partnerID=40&md5=a4fd14f1eb2427170b3fa377058f548d","Feature selection is a crucial step in the development of a system for identifying emotions in speech. Recently, the interaction between features generated from the same audio source was rarely considered, which may produce redundant features and increase the computational costs. To solve this problem, feature selection method based on correlation analysis and Fisher is proposed, which can remove the redundant features that have close correlations with each other. To improve the recognition performance of the feature subset after proposal feature selection further, an emotion recognition method based on extreme learning machine (ELM) decision tree is proposed according to the confusion degree among different basic emotions. A framework of speech emotion recognition is proposed and the classification experiments based on proposed classification method by using Chinese speech database from institute of automation of Chinese academy of sciences (CASIA) are performed. And the experimental results show that the proposal achieved 89.6% recognition rate on average. By proposal, it would be fast and efficient to discriminate emotional states of different speakers from speech, and it would make it possible to realize the interaction between speaker-independent and computer/robot in the future. © 2017 Elsevier B.V.","Correlation analysis; Decision tree; Extreme learning machine; Feature selection; Speech emotion recognition","Classification (of information); Correlation methods; Decision trees; Feature extraction; Knowledge acquisition; Learning systems; Speech; Chinese Academy of Sciences; Classification methods; Computational costs; Correlation analysis; Extreme learning machine; Feature selection methods; Speaker independents; Speech emotion recognition; Speech recognition",2-s2.0-85028353735
"Daushan M., Thenius R., Crailsheim K., Schmickl T.","Organising bodyformation of modular autonomous robots using virtual embryogenesis",2018,"Mechanisms and Machine Science",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028064470&doi=10.1007%2f978-3-319-59972-4_6&partnerID=40&md5=73690c06b8f9d3347676c58450893699","In this paper the ability of Virtual Embryogenesis system (VE) to initiate and facilitate the build process of a multi-robot organism is presented. According to a single genome, which is spread in the whole organism, substances (morpho-genes) are diffused to all neighbouring robots within the organism and new modules are recruited to advance the building process. Different shapes can be built by this system using different, pre-evolved genomes. This ability to build a robotic modular organism is very stable and is not influenced by the environment the controlling genome has evolved in. The presented method is suggested to control modular robots in future applications in dynamic environments, e.g., in interaction with humans. © Springer International Publishing AG 2018.","Autonomous robots; Mechatronic design; Selfassembling robots; Virtual Embryogenesis","Animal cell culture; Biology; Genes; Human robot interaction; Machine design; Mobile robots; Building process; Different shapes; Dynamic environments; Future applications; Mechatronic design; Modular organisms; Self-assembling robots; Virtual Embryogenesis; Robots",2-s2.0-85028064470
"Dafarra S., Romano F., Nori F.","A receding horizon push recovery strategy for balancing the iCub humanoid robot",2018,"Mechanisms and Machine Science",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028336327&doi=10.1007%2f978-3-319-61276-8_33&partnerID=40&md5=5b06b4e8b8b1043f87e32e7bb966d59a","Balancing and reacting to strong and unexpected pushes is a critical requirement for humanoid robots. We recently designed a capture point based approach which interfaces with a momentum-based torque controller and we implemented and validated it on the iCub humanoid robot. In this work we implement a Receding Horizon control, also known as Model Predictive Control, to add the possibility to predict the future evolution of the robot, especially the constraints switching given by the hybrid nature of the system. We prove that the proposed MPC extension makes the step-recovery controller more robust and reliable when executing the recovery strategy. Experiments in simulation show the results of the proposed approach. © 2018, Springer International Publishing AG.","iCub humanoid robot; Push recovery; Receding horizon","Anthropomorphic robots; Controllers; Model predictive control; Predictive control systems; Recovery; Robotics; Humanoid robot; Point based approaches; Push recoveries; Receding horizon; Receding horizon control; Recovery strategies; Torque controllers; Robots",2-s2.0-85028336327
"Graur F., Radu E., Al Hajjar N., Vaida C., Pisla D.","Surgical robotics—Past, present and future",2018,"Mechanisms and Machine Science",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028038950&doi=10.1007%2f978-3-319-59972-4_12&partnerID=40&md5=414f92c4af5bb2ad9568ba0c1d13e01a","Robotic surgery is in continuous development proving to be not only a better therapeutic option in certain procedures but also a pioneer field in which research occupies a very important role. The history of robotic begins with science-fiction literature, but it profiles the industrial and also health robots that are nowadays used. Robotic surgery begins later on with modified industrial robots, but from that point it has its own development. This article is a short history of surgical robotics, continued with the presentation of some surgical robots currently used. At the end, the characteristics of the future surgical robot are discussed, as well a proposal for a minimally invasive SILS robot. © Springer International Publishing AG 2018.","Minimally invasive; Robotic surgery; SILS robot; Surgical robot","Industrial robots; Machine design; Mobile robots; Robotics; Robots; Surgery; Surgical equipment; Transplantation (surgical); Continuous development; Minimally invasive; Science fictions; Short history; Surgical robotics; Robotic surgery",2-s2.0-85028038950
"Nash K., Lea J.M., Davies T., Yogeeswaran K.","The bionic blues: Robot rejection lowers self-esteem",2018,"Computers in Human Behavior",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029829203&doi=10.1016%2fj.chb.2017.09.018&partnerID=40&md5=a0a94f4d10379d80f19e303a6bbc6dc7","Humans can fulfill their social needs with fictional and non-living entities that act as social surrogates. Though recent research demonstrates that social surrogates have beneficial effects on the individual similar to human relations, it is unclear whether surrogates can also cause similar harm to humans through social rejection. After playing a game of connect-4 with a human-sized robot, participants were informed by the robot that it would like to see them again (acceptance), would not like to see them again (rejection), or told nothing regarding a future interaction (control). Data revealed that social rejection from a robot significantly reduced self-esteem relative to receiving no-feedback and social acceptance (the latter two did not differ from each other). However, robot rejection had no impact on negative attitudes and opposition to the use of robots in everyday life. These findings demonstrate that social surrogates have the potential to cause psychological harm. © 2017 Elsevier Ltd","Robots; Self-esteem; Social acceptance; Social rejection; Social surrogacy","Robots; Social aspects; Beneficial effects; Human relations; Recent researches; Self esteem; Social acceptance; Social needs; Social rejection; Social surrogacy; Human robot interaction",2-s2.0-85029829203
"Galipó A., Infantino I., Maniscalco U., Gaglio S.","Artificial pleasure and pain antagonism mechanism in a social robot",2018,"Smart Innovation, Systems and Technologies",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020468816&doi=10.1007%2f978-3-319-59480-4_19&partnerID=40&md5=df826728827a280887838997f4102890","The goal of the work is to build some Python modules that allow the Nao robot to emulate a somatosensorial system similar to the human one. Assuming it can perceive some feelings similar to the ones recognized by the human system, it will be possible to make it react appropriately to the external stimuli. The idea is to have a group of software sensors working simultaneously, providing some feedback to show how the robot is feeling at a particular time. It will be able to feel articular pain and stress, to perceive people in his surroundings (and in a future work to react according to the knowledge of them with face recognition), feel pleasure by recognizing caresses on his head and respond to the surrounding noise level. © Springer International Publishing AG 2018.","Artificial somatosensorial systems; Cognitive robotics; Soft sensors","Cognitive systems; Interactive computer systems; Multimedia services; Multimedia systems; Robots; Cognitive robotics; External stimulus; Human system; Noise levels; Social robots; Soft sensors; Software sensor; Face recognition",2-s2.0-85020468816
"Hernández A., Urízar M., Macho E., Petuya V.","Parallel manipulators: Practical applications and kinematic design criteria. Towards the modular reconfigurable robots",2018,"Mechanisms and Machine Science",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025828986&doi=10.1007%2f978-3-319-60702-3_14&partnerID=40&md5=ad687d9428b43b5e5ec8a995ef152092","Modern robotic manipulators play an essential role in industry, developing several tasks in an easy way, enhancing the accuracy of the final product and reducing the executing time. Also they can be found in other fields as aerospace industry, several medical applications, gaming industry, and so on. In particular, the parallel manipulators have acquired a great relevance in the last years. Indeed, many research activities and projects deal with the study and development of this type of robots. Nevertheless, usually, a bilateral communication between industry and research does not exist, even among the different existing research areas. This causes a lack of knowledge regarding works that have been carried out, the ones that are under development and the possible future investigations. Hence, once a specific field of knowledge has acquired a certain level of maturity, it is convenient to reflect its current state of the art. In this sense, the authors of this paper present a review of the different fields in which parallel manipulators have a significant participation, and also the most active research topics in the analysis and design of these robots. Besides, several contributions of the authors to this field are cited. © Springer International Publishing AG 2018.","Design criteria; Parallel manipulators; Practical applications; Reconfigurable mechanism; Robots; State of the art","Aerospace industry; Machine design; Medical applications; Robots; Design criteria; Kinematic designs; Parallel manipulators; Reconfigurable; Reconfigurable robot; Research activities; Robotic manipulators; State of the art; Manipulators",2-s2.0-85025828986
"Ani O.A., Uzoejinwa B.B., Ezeama A.O., Onwualu A.P., Ugwu S.N., Ohagwu C.J.","Overview of soil-machine interaction studies in soil bins",2018,"Soil and Tillage Research",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028712255&doi=10.1016%2fj.still.2017.08.002&partnerID=40&md5=b17d449b89c67966ac8f31d43c872b48","This paper presents a review of soil-machine interaction studies in soil bin test facilities; it provides an insight on the historical background, concepts, past and present studies and future research direction. Soil-machine interaction studies seek to provide scientific knowledge on how tillage tools and traction devices interact with the terrain over which they work or move. Variables usually investigated include; force required to pull or push the tillage tool, vertical and lateral forces on tools, soil failure patterns, soil particles displacement, force generated at the interface of the wheel and the soil, wheel sinkage, rolling resistance, wheel contact area estimation, and soil stress at different depths. Soil bin facility is a model laboratory for tillage and traction experiments. The main components include the soil bin that models the ground; mobile tool carrier that models tool/implement frame; soil engaging tool/device for modeling tillage tools or traction elements; power source and the drive system that model the prime mover; soil conditioning equipment for preparation of the soil before experiments; motion control system for controlling the moving components along the rails of the soil bin; measurement/data acquisition and analysis system for real time measurement, analysis and display of variables during experiments; a lifting system for hoisting of heavy components. Simulations with Finite Element and Discrete Element Methods together with experimental analyses in the field or the soil bin are applied by many researchers in studying soil-machine interaction. Results of this kind of study are useful for design, modeling, prediction, performance evaluation and optimization of different kinds of off-road vehicles, earth moving machines, tractors, tillage tools/implements, traction elements, wheeled mobile robots and autonomous traction vehicles. © 2017 Elsevier B.V.","Off-road vehicles; Soil bin; Soil-machine interaction; Terramechanics; Tillage; Traction","Agricultural machinery; Agriculture; Compaction; Electric traction; Finite element method; Machine design; Mobile robots; Motion control; Off road vehicles; Roads and streets; Traction control; Vehicles; Wheels; Earth moving machines; Experimental analysis; Future research directions; Historical background; Real time measurements; Terramechanics; Tillage; Wheeled mobile robot; Soils; control system; equipment; experimental study; machinery; measurement method; optimization; real time; soil property; soil test; terrain; tillage; vehicle component",2-s2.0-85028712255
