Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Kurtz B., Mejia F., Kleissl J.","A virtual sky imager testbed for solar energy forecasting",2018,"Solar Energy",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031806827&doi=10.1016%2fj.solener.2017.10.036&partnerID=40&md5=d9695dcbf04d73fc1e248263cb4b53c5","Whole sky imagers are commonly used for forecasting irradiance available for solar energy production, but validation of the forecast models used is difficult due to sparse reference data. We document the use of Large Eddy Simulations (LES) and a 3D Radiative Transfer Model to produce virtual clouds, sky images, and radiation measurements, which permit comprehensive validation of the sky imager forecast. We then use this virtual testbed to investigate the primary sources of sky imager forecast error on a cumulus cloud scene. The largest source of nowcast (0-min-ahead forecast) errors is the converging-ray geometry implied by use of a camera, while longer-term forecasts suffer from overly-simplistic assumptions about cloud evolution. We expect to use these findings to focus future algorithm development, and the virtual testbed to evaluate our progress. © 2017 Elsevier Ltd","Forecast; Large Eddy Simulations; Whole sky imager","Forecasting; Radiative transfer; Solar energy; Testbeds; Algorithm development; Energy forecasting; Energy productions; Forecast errors; Primary sources; Radiation measurements; Radiative transfer model; Virtual test beds; Large eddy simulation; algorithm; cloud; forecasting method; irradiance; large eddy simulation; model validation; nowcasting; optical instrument; radiative transfer; solar power",2-s2.0-85031806827
"Zhao T., Song G., He X.","Inferring diffusion networks with life stage heterogeneity",2018,"Science China Information Sciences",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032840274&doi=10.1007%2fs11432-016-9122-x&partnerID=40&md5=afcf1d9cbb7f4f8149eaaa425e80859e","A network inference problem focuses on discovering the structure of a diffusion network from observed cascades. This problem is significantly more challenging in several settings in which this type of an inference is desirable or necessary because of heterogeneity in the diffusion process. The heterogeneity of the diffusion process in different life stages results in the inaccuracy of a common assumption of constant influence strength. In this study, a Life Stage Heuristic (LSH) method is proposed to model life stage heterogeneity by decoupling the popularity level of an item under propagation from a true strength of social ties to improve inference accuracy. The proposed LSH is incorporated into almost all existing state-of-the-art network inference algorithms to improve estimation accuracy with only minimal changes in the implementation and maintaining the same running time. Additionally, NetRate, NetInf, and ConNIe are used as three examples to demonstrate the power of the proposed method. Furthermore, clustering of cascades prior to the LSH is proposed to eliminate noise, and the optimized method is termed as Clustered Life Stage Heuristic (CLSH). Extensive experiments on synthetic and real world datasets indicate that both LSH and CLSH methods significantly improve the accuracy of network inference. © 2017, Science China Press and Springer-Verlag GmbH Germany, part of Springer Nature.","clustering cascade; information diffusion; life stage heterogeneity; network inference; social influence","Inference engines; Diffusion networks; Diffusion process; Information diffusion; Life stages; Network inference; Real-world datasets; Social influence; State of the art; Heuristic methods",2-s2.0-85032840274
"Zhu Q., Liu Y., Lu J., Cao J.","Observability of Boolean control networks",2018,"Science China Information Sciences",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032664900&doi=10.1007%2fs11432-017-9135-4&partnerID=40&md5=7979e790e50fd759d41e6fec101677d4","We show some new results on the observability of Boolean control networks (BCNs). First, to study the observability, we combine two BCNs with the same transition matrix into a new BCN. Then, we propose the concept of a reachable set that results in a given set of initial states, and we derive four additional necessary and sufficient conditions for the observability of BCNs. In addition, we present an algorithm and construct an observability graph to determine the observability of BCNs. Finally, we illustrate the obtained results using three numerical examples. © 2017, Science China Press and Springer-Verlag GmbH Germany, part of Springer Nature.","Boolean control network; observability; semi-tensor product","Tensors; Boolean control networks; Initial state; New results; Reachable set; Semi-tensor product; Transition matrices; Observability",2-s2.0-85032664900
"Ramírez-Gallego S., Fernández A., García S., Chen M., Herrera F.","Big Data: Tutorial and guidelines on information and process fusion for analytics algorithms with MapReduce",2018,"Information Fusion",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031496391&doi=10.1016%2fj.inffus.2017.10.001&partnerID=40&md5=6a693a569a782eb3fac76e4ac7be22f1","We live in a world were data are generated from a myriad of sources, and it is really cheap to collect and storage such data. However, the real benefit is not related to the data itself, but with the algorithms that are capable of processing such data in a tolerable elapse time, and to extract valuable knowledge from it. Therefore, the use of Big Data Analytics tools provide very significant advantages to both industry and academia. The MapReduce programming framework can be stressed as the main paradigm related with such tools. It is mainly identified by carrying out a distributed execution for the sake of providing a high degree of scalability, together with a fault-tolerant scheme. In every MapReduce algorithm, first local models are learned with a subset of the original data within the so-called Map tasks. Then, the Reduce task is devoted to fuse the partial outputs generated by each Map. The ways of designing such fusion of information/models may have a strong impact in the quality of the final system. In this work, we will enumerate and analyze two alternative methodologies that may be found both in the specialized literature and in standard Machine Learning libraries for Big Data. Our main objective is to provide an introduction of the characteristics of these methodologies, as well as giving some guidelines for the design of novel algorithms in this field of research. Finally, a short experimental study will allow us to contrast the scalability issues for each type of process fusion in MapReduce for Big Data Analytics. © 2017 Elsevier B.V.","Big Data Analytics; Information fusion; Machine learning; MapReduce; Spark","Artificial intelligence; Data handling; Digital storage; Electric sparks; Information fusion; Learning systems; Scalability; Data analytics; Degree of scalability; Fault tolerant schemes; Map-reduce; Map-reduce programming; Novel algorithm; Scalability issue; Standard machines; Big data",2-s2.0-85031496391
"Kumar T.J., Purusotham S.","The degree constrained k-cardinality minimum spanning tree problem: A lexi-search algorithm",2018,"Decision Science Letters",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032507885&doi=10.5267%2fj.dsl.2017.7.002&partnerID=40&md5=2b4bf23f3641637484a0d74594975e02","This paper deals with the degree constrained k-cardinality minimum spanning tree (k-MSTPD) problem defined on a connected, edge weighted and undirected graph. The aim of this problem is to determine the least weighted spanning tree with exactly k vertices such that except the root vertex, no other vertex in the resultant spanning tree exceeds the specified degree limit. The k-MSTPD problem has many practical applications for the design of electric, communication, and transportation networks. The problem is then formulated as a zero-one programming. In this paper, an exact algorithm known as Lexi-search algorithm (LSA) is developed to tackle the k-MSTPD problem. Furthermore, the developed LSA is programmed in Matlab and tested on some benchmark instances as well as on random instances and the respective results are reported. The obtained experimental results showed that the developed LSA takes significantly less time to find the optimal solutions. © 2018 Growing Science Ltd. All rights reserved.","Degree constraint; K-cardinality minimum spanning; Lexi-search algorithm; Tree",,2-s2.0-85032507885
"Dabrowski J.J., de Villiers J.P., Beyers C.","Naïve Bayes switching linear dynamical system: A model for dynamic system modelling, classification, and information fusion",2018,"Information Fusion",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032181819&doi=10.1016%2fj.inffus.2017.10.002&partnerID=40&md5=bec9b8d5bc7ccab1fdd8c9e3369f17c5","The Naïve Bayes Switching Linear Dynamical System (NB-SLDS) is proposed as a novel variant of the switching linear dynamical system (SLDS). The variant models multi-variable systems that undergo regime changes in their dynamics. The model may be applied to identify regime changes or classify systems according to their dynamics. The NB-SLDS provides the means to fuse multiple sequential data sources into a single model. A key feature of the model is that it is able to handle missing and unsynchronised data. Filtering and smoothing algorithms for inference and an expectation maximisation algorithm for parameter learning in the NB-SLDS are presented. The model is demonstrated and compared to the SLDS and hidden Markov model (HMM) in a human action recognition problem. © 2017","Classification; Dynamic Bayesian network; Missing data; Regime model; Time series","Bayesian networks; Classification (of information); Hidden Markov models; Inference engines; Linear control systems; Markov processes; Sodium; Time series; Dynamic Bayesian networks; Expectation-maximisation; Human-action recognition; Missing data; Parameter learning; Smoothing algorithms; Switching linear dynamical systems; System modelling; Dynamical systems",2-s2.0-85032181819
"Xie Y., Zhang J., Xia Y., Fulham M., Zhang Y.","Fusing texture, shape and deep model-learned information at decision level for automated classification of lung nodules on chest CT",2018,"Information Fusion",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032367648&doi=10.1016%2fj.inffus.2017.10.005&partnerID=40&md5=ba1b9dbb6b5dff54e9335ae8e4f0c90e","The separation of malignant from benign lung nodules on chest computed tomography (CT) is important for the early detection of lung cancer, since early detection and management offer the best chance for cure. Although deep learning methods have recently produced a marked improvement in image classification there are still challenges as these methods contain myriad parameters and require large-scale training sets that are not usually available for most routine medical imaging studies. In this paper, we propose an algorithm for lung nodule classification that fuses the texture, shape and deep model-learned information (Fuse-TSD) at the decision level. This algorithm employs a gray level co-occurrence matrix (GLCM)-based texture descriptor, a Fourier shape descriptor to characterize the heterogeneity of nodules and a deep convolutional neural network (DCNN) to automatically learn the feature representation of nodules on a slice-by-slice basis. It trains an AdaBoosted back propagation neural network (BPNN) using each feature type and fuses the decisions made by three classifiers to differentiate nodules. We evaluated this algorithm against three approaches on the LIDC-IDRI dataset. When the nodules with a composite malignancy rate 3 were discarded, regarded as benign or regarded as malignant, our Fuse-TSD algorithm achieved an AUC of 96.65%, 94.45% and 81.24%, respectively, which was substantially higher than the AUC obtained by other approaches. © 2017 Elsevier B.V.","AdaBoost, information fusion; Back propagation neural network (BPNN); Chest CT; Deep convolutional neural network (DCNN); Lung nodule classification","Adaptive boosting; Backpropagation; Biological organs; Classification (of information); Computerized tomography; Convolution; Image enhancement; Learning systems; Medical imaging; Neural networks; Torsional stress; Automated classification; Back-propagation neural networks; Chest CT; Convolutional neural network; Feature representation; Gray level co occurrence matrix(GLCM); Large-scale training sets; Lung nodule; Deep neural networks",2-s2.0-85032367648
"Pour A.N., Ghobadi S.N.","Optimal selling price, replenishment lot size and number of shipments for two-echelon supply chain model with deteriorating items",2018,"Decision Science Letters",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032475559&doi=10.5267%2fj.dsl.2017.7.001&partnerID=40&md5=3eabaa17891668ec9546c9528fb29fc5","This paper deals with a pricing and production-distribution model for a deteriorating item in a two-echelon supply chain. The profit function for the manufacturer and retailer in the integrated supply chain is derived. The manufacturer's production batch size is regulated to an integer multiple of the discrete delivery lot quantity to the retailer. The objective is to maximize the total profit per unit time by finding the optimal selling price, production lot size, total cycle time, number of deliveries, and delivery lot size, simultaneously. Based on the notion of optimal interval, we outline an effective algorithm for finding the optimal solution. Finally, the authors present a numerical example to illustrate the theoretical results of the model. Sensitivity analysis for the optimal solution with respect to major parameters is also carried out. The results show that, when the deterioration rate increases, both the optimal production lot size and cycle time decrease. It is interesting to note that an increase in the deterioration rate also tends to reduce the delivery lot size without affecting the number of deliveries per production batch. Also, the optimal interval for N does not change when deterioration rate changes. Reductions in the inventory cycle times for both parties demonstrate the negative effects of deterioration on the supply chain. © 2018 Growing Science Ltd. All rights reserved.","Deteriorating item; Lot-sizing; Multiple shipments; Pricing",,2-s2.0-85032475559
"Baldwin P.R., Tan Y.Z., Eng E.T., Rice W.J., Noble A.J., Negro C.J., Cianfrocco M.A., Potter C.S., Carragher B.","Big data in cryoEM: automated collection, processing and accessibility of EM data",2018,"Current Opinion in Microbiology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032485775&doi=10.1016%2fj.mib.2017.10.005&partnerID=40&md5=ec1da9ab4fb2d3faa57e17eeb8986a29","The scope and complexity of cryogenic electron microscopy (cryoEM) data has greatly increased, and will continue to do so, due to recent and ongoing technical breakthroughs that have led to much improved resolutions for macromolecular structures solved using this method. This big data explosion includes single particle data as well as tomographic tilt series, both generally acquired as direct detector movies of ∼10–100 frames per image or per tilt-series. We provide a brief survey of the developments leading to the current status, and describe existing cryoEM pipelines, with an emphasis on the scope of data acquisition, methods for automation, and use of cloud storage and computing. © 2017 Elsevier Ltd",,"algorithm; automation; classification; cloud computing; computer graphics; cryoelectron microscopy; data analysis software; information processing; metadata; Review",2-s2.0-85032485775
"Tsirigos K.D., Govindarajan S., Bassot C., Västermark Å., Lamb J., Shu N., Elofsson A.","Topology of membrane proteins — predictions, limitations and variations",2018,"Current Opinion in Structural Biology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032212566&doi=10.1016%2fj.sbi.2017.10.003&partnerID=40&md5=a51dadcffd346e1a9c2c75d7f9566464","Transmembrane proteins perform a variety of important biological functions necessary for the survival and growth of the cells. Membrane proteins are built up by transmembrane segments that span the lipid bilayer. The segments can either be in the form of hydrophobic alpha-helices or beta-sheets which create a barrel. A fundamental aspect of the structure of transmembrane proteins is the membrane topology, that is, the number of transmembrane segments, their position in the protein sequence and their orientation in the membrane. Along these lines, many predictive algorithms for the prediction of the topology of alpha-helical and beta-barrel transmembrane proteins exist. The newest algorithms obtain an accuracy close to 80% both for alpha-helical and beta-barrel transmembrane proteins. However, lately it has been shown that the simplified picture presented when describing a protein family by its topology is limited. To demonstrate this, we highlight examples where the topology is either not conserved in a protein superfamily or where the structure cannot be described solely by the topology of a protein. The prediction of these non-standard features from sequence alone was not successful until the recent revolutionary progress in 3D-structure prediction of proteins. © 2017 Elsevier Ltd",,"alpha hemolysin; membrane protein; TolC protein; voltage dependent anion channel; alpha helix; artificial neural network; bacterial membrane; beta sheet; conformational transition; hidden Markov model; mitochondrial membrane; nonhuman; oligomerization; prediction; priority journal; protein domain; protein structure; Review; sequence alignment",2-s2.0-85032212566
