Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Yao Z., Wang Z., Li J., Bedoussac L., Zhang S., Li Y., Cao W., Zhai B., Wang Z., Gao Y.","Screen for sustainable cropping systems in the rain-fed area on the Loess Plateau of China",2018,"Soil and Tillage Research",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032815599&doi=10.1016%2fj.still.2017.07.014&partnerID=40&md5=8d0eccec049eeebe954be68fb4616cc9","A challenge for dryland crop production in China is closing the yield gap while propelling the sustainable development of agriculture when the natural resources are limited. A 4-year fixed field experiment was conducted to analyse the effect of introducing leguminous green manure (LGM) to different cropping systems on soil water, residual nitrate, soil quality and economic benefits to compare their sustainability using a comprehensive scoring system. The main treatments of the experiment were different cropping systems, leguminous green manure-winter wheat (LGM-WW) and leguminous green manure-spring maize-winter wheat (LGM-SM-WW) with summer fallow-winter wheat (SF-WW) as control. LGM late incorporation, early mulch and early incorporation were sub-treatments for LGM-WW while stalk mulch, incorporation and move-away were the sub-treatments for LGM-SM-WW to study the effects of different LGM managements. Compared with SF-WW, LGM-WW decreased average soil water storage before wheat seeding by 11% and increased residual nitrate storage after wheat harvest by 77% while they were not significantly changed for LGM-SM-WW. The soil organic carbon (SOC) content of LGM-WW and LGM-SM-WW in the 0–20-cm layer significantly increased when using legume as mulch. The economic benefits of LGM-SM-WW were 2 times greater than those of the other 2 cropping systems. The scoring system indicates that the total score of LGM-WW ranged from 11.85 to 12.78, which was even lower than that of SF-WW (13.07). On the contrary, the total score of LGM-SM-WW ranged from 16.46 to 18.49. In conclusion, the scoring system determined that the optimum cropping system for sustainable dryland agriculture is leguminous green manure-spring maize-winter wheat with legume stalk mulch. © 2017 Elsevier B.V.","Economic benefits; Leguminous green manure; Residual nitrate; Scoring system; Soil organic carbon; Spring maize; Winter wheat","Agriculture; Crops; Cultivation; Economic and social effects; Fertilizers; Nitrates; Organic carbon; Soil moisture; Soils; Sustainable development; Economic benefits; Green manures; Scoring systems; Soil organic carbon; Spring maize; Winter wheat; Manures; Triticum aestivum; Zea mays",2-s2.0-85032815599
"Daniels B., Zaunbrecher B.S., Paas B., Ottermanns R., Ziefle M., Roß-Nickoll M.","Assessment of urban green space structures and their quality from a multidimensional perspective",2018,"Science of the Total Environment",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031818285&doi=10.1016%2fj.scitotenv.2017.09.167&partnerID=40&md5=92d1a5d5a3e8d7a0b80620c8e149b049","Facing the growing amount of people living in cities and, at the same time, the need for a compact and sustainable urban development to mitigate urban sprawl, it becomes increasingly important that green spaces in compact cities are designed to meet the various needs within an urban environment. Urban green spaces have a multitude of functions: Maintaining ecological processes and resulting services, e.g. providing habitat for animals and plants, providing a beneficial city microclimate as well as recreational space for citizens. Regarding these requirements, currently existing assessment procedures for green spaces have some major shortcomings, which are discussed in this paper. It is argued why a more detailed spatial level as well as a distinction between natural and artificial varieties of structural elements is justified and needed and how the assessment of urban green spaces benefits from the multidimensional perspective that is applied. By analyzing a selection of structural elements from an ecological, microclimatic and social perspective, indicator values are derived and a new, holistic metrics1 © 2017 Elsevier B.V.","Ecosystem functions and services; Habitat structure; Multidimensional assessment; Public perception; Urban green spaces","Ecology; Ecosystems; Urban growth; Ecosystem functions; Habitat structures; Multidimensional assessment; Public perception; Urban green spaces; Urban planning; assessment method; ecosystem function; ecosystem service; greenspace; habitat structure; perception; urban area; urban development; air quality; Article; cultural factor; decision making; environmental factor; environmental monitoring; environmental planning; habitat quality; habitat structure; human; microclimate; national park; priority journal; social aspect; urban area; Animalia",2-s2.0-85031818285
"Hahladakis J.N., Velis C.A., Weber R., Iacovidou E., Purnell P.","An overview of chemical additives present in plastics: Migration, release, fate and environmental impact during their use, disposal and recycling",2018,"Journal of Hazardous Materials",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031759735&doi=10.1016%2fj.jhazmat.2017.10.014&partnerID=40&md5=14fe62a982865c76527b53dd850a8ad5","Over the last 60 years plastics production has increased manifold, owing to their inexpensive, multipurpose, durable and lightweight nature. These characteristics have raised the demand for plastic materials that will continue to grow over the coming years. However, with increased plastic materials production, comes increased plastic material wastage creating a number of challenges, as well as opportunities to the waste management industry. The present overview highlights the waste management and pollution challenges, emphasising on the various chemical substances (known as “additives”) contained in all plastic products for enhancing polymer properties and prolonging their life. Despite how useful these additives are in the functionality of polymer products, their potential to contaminate soil, air, water and food is widely documented in literature and described herein. These additives can potentially migrate and undesirably lead to human exposure via e.g. food contact materials, such as packaging. They can, also, be released from plastics during the various recycling and recovery processes and from the products produced from recyclates. Thus, sound recycling has to be performed in such a way as to ensure that emission of substances of high concern and contamination of recycled products is avoided, ensuring environmental and human health protection, at all times. © 2017","Additives; Environmental fate; Migration; Plastics; Recycling; Toxicity","Additives; Chemical contamination; Elastomers; Environmental impact; Food additives; Packaging materials; Plastic products; Plastics; Recycling; Toxicity; Waste management; Chemical substance; Environmental fate; Food contact material; Migration; Plastic materials; Plastics production; Polymer properties; Recycled products; Plastic recycling; antioxidant; chemical compound; monomer; oligomer; plastic; plasticizer; polymer; stabilizing agent; additive; chemical compound; environmental fate; environmental impact assessment; plastic; polymer; recovery; recycling; toxicity; waste disposal; waste management; air pollution; degradation; environmental impact; food contamination; human; marine environment; miscibility; pollution; prophylaxis; recycling; Review; soil pollution; waste disposal; waste management; water contamination",2-s2.0-85031759735
"Vaz A.S., Castro-Díez P., Godoy O., Alonso Á., Vilà M., Saldaña A., Marchante H., Bayón Á., Silva J.S., Vicente J.R., Honrado J.P.","An indicator-based approach to analyse the effects of non-native tree species on multiple cultural ecosystem services",2018,"Ecological Indicators",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031496156&doi=10.1016%2fj.ecolind.2017.10.009&partnerID=40&md5=c3ad6c6ae8e122c0bc409d0fe7fc06b8","Limitations in the assessment of cultural ecosystem services through quantifiable approaches have constrained our knowledge of how these services can be altered by drivers of global change, such as non-native tree species. Here, we address this caveat by evaluating the effects of non-native tree species, in comparison to native ones, on several categories of cultural services, i.e., recreation and ecotourism, aesthetics, inspiration, and cultural heritage. We propose an indicator-based approach that includes the use of a meta-analysis statistics, the odds ratio, to evaluate photographic, internet and catalogue data, and to infer on the effects of non-native trees on cultural services. We apply our approach to the Iberian Peninsula, exploring potential environmental and socio-economic predictors of non-native tree effects across NUTS-2 administrative regions. Overall, non-native tree effects differed among categories of cultural services and varied with the data type. Non-native trees increased recreation and ecotourism services, when considering data from official tourism entities, but not from nature route users. Data from inventories of urban parks and catalogues of ornamental plant dealers suggested that non-native trees decreased aesthetics services, particularly in Spain, but not in Portugal. Non-native trees also increased cultural heritage services, but no significant effects were observed on inspiration services. Overall, non-native trees showed higher increases in cultural services across regions with lower levels of development (in terms of income, employment and education) and life satisfaction. We suggest that management should emphasise awareness on non-native trees, including the risks involved in promoting the expansion of potentially invasive species. Efforts to raise awareness should prioritise official tourism entities and ornamental plant dealers, with a special focus on less developed regions. Our proposed approach represents a pioneer assessment of the relations between non-native trees and cultural ecosystem services, supporting strategic management in Iberia. The focus on widely available data sources enables reproducibility and application in assessments worldwide. © 2017 Elsevier Ltd","Aesthetics; Alien plants; Cultural heritage; Inspiration; Meta-analysis; Recreation and ecotourism","Ecology; Ecosystems; Trees (mathematics); Aesthetics; Alien plants; Cultural heritages; Eco-tourisms; Inspiration; Meta analysis; Forestry; cultural heritage; ecosystem service; ecotourism; environmental assessment; environmental indicator; esthetics; global change; introduced species; invasive species; life satisfaction; meta-analysis; prioritization; recreational facility; Iberian Peninsula; Spain",2-s2.0-85031496156
"Homer B.D., Plass J.L., Raffaele C., Ober T.M., Ali A.","Improving high school students' executive functions through digital game play",2018,"Computers and Education",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031305889&doi=10.1016%2fj.compedu.2017.09.011&partnerID=40&md5=31756649e7ae1fe0a5bd88cfaf0e56c4","Executive functions (EF), the skills required to plan, monitor and control cognitive processes, are linked to many important educational and developmental outcomes. The Alien Game is a digital game developed to train the EF subskill of shifting. High school students (N = 82; age range 14–18 years; average = 15.5 years) were asked to play the Alien Game for 20 min per week for 6 consecutive weeks. Two EF measures were administered before and after this intervention: the Dimensional Change Card Sort (DCCS) task (a measure of shifting) and the Flanker task (a measure of inhibition). Students had a significant pre- to posttest increase in DCCS, t (81) = 4.29, p < 0.001, d = 0.54, and Flanker, t (77) = 2.93, p = 0.004, d = 0.22. Controlling for pretest score, gains in shifting were significantly predicted by a measure of game performance in the Alien Game. These findings provide evidence that the Alien Game is having the intended effect of improving EF, and argue that video games can be effective tools for training cognitive skills when they are explicitly designed for this purpose and when a rigorous design approach is used. © 2017 Elsevier Ltd","Cognitive ability; Cognitive training; Digital games; Executive functions; Video games","Computer games; Interactive computer graphics; Students; Cognitive ability; Cognitive training; Digital games; Executive function; Video game; Human computer interaction",2-s2.0-85031305889
"Tatewaki T., Koike F.","Synoptic scale mammal density index map based on roadkill records",2018,"Ecological Indicators",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032836947&doi=10.1016%2fj.ecolind.2017.10.056&partnerID=40&md5=856270fb86159ad02d0ed3b65080ce9f","Globally there are few synoptic-scale (over 1000 km) animal density index maps available, except for special cases such as important game species or alien species subject to control programs. Here, we propose a method of estimating synoptic-scale density index distribution of mammals, including non-game and non-pest species, by using roadkill records collected by municipalities. In order to correct biases caused by location, environment and traffic density to roadkill data, we constructed an animal density index model by using environmental factors as land use and climates, and fitted to roadkill records taking into account road types as delegate of traffic density. Since alien species are expanding geographic ranges and some native species were historically extinct regionally, we considered a regional factor not predictable by environment. We then estimated density indices over the research area for nine animals. Geographical distribution of density indices in nine mammal species were obtained. Density index maps of three of four animals agreed (AUC > 0.7) with the data on previous presence/absence maps. The exception was that the red fox was distributed over almost of all the research area on previously published maps, but we found that its density was low in southern Pacific areas. The species was considered as endangered in some prefectures there, and it clearly showed the importance of our density index estimation. Significant differences in the regional factor explained ongoing range expansion of alien species (masked palm civet and raccoon) and the historical regional extinction of sika deer. Roadkill data were useful data source for deriving huge-scale density index maps of wildlife. Animal density index monitoring should now become feasible even at a synoptic spatial scale. © 2017 Elsevier Ltd","Density index map; Government data; Nationwide monitoring; Wildlife management; Wildlife-vehicle collision","Animals; Climate models; Geographical distribution; Land use; Mammals; Maps; Density index; Environmental factors; Geographic ranges; Government data; Presence/absence; Traffic densities; Vehicle collisions; Wildlife management; Population distribution; Animalia; Cervus nippon; Mammalia; Paguma larvata; Procyon; Vulpes",2-s2.0-85032836947
"Uddin M.N., Robinson R.W.","Can nutrient enrichment influence the invasion of Phragmites australis?",2018,"Science of the Total Environment",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021247184&doi=10.1016%2fj.scitotenv.2017.06.131&partnerID=40&md5=c0f9fa683c4bb95f65299bcc62a6eda3","Plant invasion and nutrient enrichment because of anthropogenic landscape modifications seriously threaten native plant community diversity in aquatic and wetland ecosystems. It is poorly understood, however, whether these two disturbances interact with the functional identity of recipient native plants to drive community change. We performed combined studies in the fields and greenhouse to examine whether nutrient enrichment may trigger the invasion of Phragmites australis in wetlands through competitive advantage over native Melaleuca ericifolia. Chemical characterizations of rhizosphere water were distinguished in two different nutrient enriched wetlands associated with and without Phragmites over the seasons. Significant changes in rhizosphere water were observed in invaded area compared to uninvaded area at both sites. High nitrogen (NO3 −), phosphorous (PO4 3 −), dissolved organic carbon, phenolics contents, with low pH were found in invaded areas compared to uninvaded areas. Total biomass of Phragmites was positively regressed with rhizosphere water nitrogen (NO3 −) and phosphorous (PO4 3 −) content. Nutrient addition significantly enhanced the growth and competitive ability of Phragmites over Melaleuca. In contrast, Melaleuca was significantly less competitive than Phragmites. There was a significantly positive correlation between the growth of Phragmites grown alone and its competitive ability. The findings in greenhouse studies coupled with characteristics of Phragmites and its' rhizosphere chemistry in the nutrient enriched fields suggest that nutrient enrichment may enhance Phragmites invasion through correspondingly increasing growth and maintaining inherent competitive advantages of Phragmites. Nutrient management could limit the vigorous growth of Phragmites in wetlands and thereby reduce invasion through competitive advantages over natives, which might have important management implications for wetland managers. © 2017","Biodiversity; Ecosystems; Nutrient enrichment; Phragmites australis; Plant invasion; Wetland","Aquatic ecosystems; Aquatic organisms; Biodiversity; Carbon; Competition; Ecology; Ecosystems; Greenhouses; Nitrogen; Organic carbon; Phosphorus; Plants (botany); Soils; Wetlands; Chemical characterization; Dissolved organic carbon; Functional identities; Management implications; Nutrient enrichments; Phragmites australis; Plant invasion; Positive correlations; Nutrients; dissolved organic matter; nitrogen; organic carbon; phenol derivative; phosphorus; anthropogenic effect; aquatic ecosystem; biodiversity; biological invasion; ecosystem management; grass; growth; nutrient enrichment; perennial plant; plant community; wetland; aerial plant part; Article; biomass; chemical analysis; competitive ability; controlled study; environmental enrichment; field experiment; greenhouse; Melaleuca; native species; nonhuman; nutrient management; Phragmites australis; plant community; plant growth; priority journal; rhizosphere; seasonal variation; species invasion; wetland; Melaleuca; Melaleuca ericifolia; Phragmites; Phragmites australis",2-s2.0-85021247184
"Wilhelm C.","Gender role orientation and gaming behavior revisited: examining mediated and moderated effects",2018,"Information Communication and Society",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007403965&doi=10.1080%2f1369118X.2016.1271902&partnerID=40&md5=954d5079087c73355ee0ee588074b103","The article presents results of a study that examined the influence of gender role orientations on gaming motivations, game genre preferences, and different play styles. Applying social role theory, it was hypothesized that femininity and masculinity influence gender-typed motivations (social interaction, competition, and challenge) and preferences (role-playing and action games) as well as gender-typed behavior (cooperative play and competitive play). After collecting empirical data through an online survey, hypotheses were tested by structural equation modeling. Moreover, moderating effects of sociodemographic characteristics (biological gender, age, and educational level) were examined. Findings provide evidence for the existence of gender-typed motives of play, genre preferences, and–mediated by motivations and preferences–gaming behavior. Group analyses support a biosocial model of gender-typed gaming behavior because gender-typing of motives, preferences, and play styles varies in strength and direction by biological gender, age, and educational level. © 2016 Informa UK Limited, trading as Taylor & Francis Group.","competitive; cooperative; digital games; Gender roles; social role theory",,2-s2.0-85007403965
"Morais P., Reichard M.","Cryptic invasions: A review",2018,"Science of the Total Environment",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021158595&doi=10.1016%2fj.scitotenv.2017.06.133&partnerID=40&md5=cd22e4f414d4d1d2692f85728b62f1bb","Cryptic invasions are defined as the introduction and spread of non-native lineages within the species' native range (intra-specific cryptic invasion) or the invasion of non-native species that goes unnoticed due to misidentification as a native or another invasive species (inter-specific cryptic invasion). While population-specific attributes are acknowledged to play a critical role in the success and impact of biological invasions in general, our knowledge of the causes and consequences of cryptic invasions is largely neglected. Cryptic invasions are inherently difficult to recognize and, despite being likely widespread, often go undetected. In this review, we analyse the sources, mechanisms, and consequences of cryptic invasions. Using a bibliometric survey, we first quantify the relative proportion of study questions, taxa, and geographic regions. We then highlight the value of comparative information from archived specimens in uncovering the occurrence and timing of cryptic invasions. We examine the mechanisms of cryptic invasions and emphasise the role of anthropogenic environmental changes on the arrival of cryptic invaders. We then discuss the role of interspecific biological interactions in the success of cryptic invasions and the role of hybridization between native and non-native lineages in cryptic invasions. We examine the competitive advantage of some invasive lineages in key physiological, ecological or sexually-selected traits. We argue that cryptic invasions, often undetected, may trigger subsequent rapid range expansions. We suggest that cryptic invasions are much more common than currently acknowledged. We highlight the role of coevolved associations (host-parasite, mutualism, herbivory), inherently population-specific, in the impacts of cryptic invasions on local communities. Finally, we outline a framework to manage intraspecific cryptic invasions. © 2017 Elsevier B.V.","Bibliometric; Biological invasions; Conspecific invader; Invasiveness","Environmental engineering; Pollution; Bibliometric; Biological interactions; Biological invasion; Competitive advantage; Conspecific invader; Environmental change; Invasiveness; Non-native species; Competition; biological invasion; competition (ecology); environmental change; human activity; invasive species; invasiveness; population dynamics; survey; bibliometrics; biogeographic region; biogeography; environmental change; herbivory; intraspecific hybridization; introduced species; native species; nonhuman; population abundance; priority journal; Review; species invasion; symbiosis; taxon",2-s2.0-85021158595
"Li L., Pohl C., Ren J.-L., Schulz-Bull D., Cao X.-H., Nausch G., Zhang J.","Revisiting the biogeochemistry of arsenic in the Baltic Sea: Impact of anthropogenic activity",2018,"Science of the Total Environment",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029539218&doi=10.1016%2fj.scitotenv.2017.09.029&partnerID=40&md5=a81d95854bd5e6831866e85736e89164","With the increase in anthropogenic environmental disruption, the behavior of arsenic in the Baltic Sea has received more scientific attention because of its complex forms and toxicity, and was re-visited to determine if there have been measurable changes recently. A cruise was conducted in 10–19 May 2011 to investigate the species and distribution of total dissolved inorganic arsenic (TDIAs: [TDIAs] = [As(V)] + [As(III)]) revealing links between the hydrographic dynamics and biological/chemical reactions in the Baltic Sea. In addition, long-term (2002 − 2010) time-series investigations of particulate arsenic in the Gotland Basin were also conducted in February every year for monitoring purposes. The behavior of TDIAs was non-conservative due to the removal and regeneration processes occurring in the Baltic Sea. Biological scavenging plays a dominant role as sink for TDIAs, with removal amount of 3.1 ± 1.6 nmol/L above the pycnocline of the Baltic Sea. Significant regeneration of TDIAs was observed below the pycnocline of the Baltic Sea, which was closely related to hypoxia. The decomposition of organic arsenic and release from the sediment by desorption of As-bearing Fe and Mn oxides were thought to be two major sources for TDIAs regeneration. The median concentration of TDIAs (8.4 nmol/L) was much lower than in most marginal seas and oceans, including the near-bottom water around a chemical weapon dumpsite (13.9 nmol/L). The hypoxia in the deep water contributed to the increase in As(III) concentrations based on the relationship between As(III)/TDIAs ratio and apparent oxygen utilization. If the difference of As(III) profiles (1981 and 2011) actually represents a long-term increase in As(III) concentrations and a shoaling of the As(III) chemocline, these factors could enhance the toxic effects and extend the residence time of arsenic and, hence, potentially have negative impacts on fisheries and ecosystem health in the Baltic Sea. © 2017 Elsevier B.V.","Arsenic; Baltic Sea; Chemical weapon dump; Hypoxia; Inorganic species","Chemical warfare; Ecology; Ecosystems; Manganese; Oceanography; Residence time distribution; Anthropogenic activity; Apparent oxygen utilizations; Baltic sea; Chemical weapons; Environmental disruption; Hypoxia; Inorganic species; Regeneration process; Arsenic; arsenic; iron; manganese oxide; water; arsenic; biogeochemistry; chemical weapon; concentration (composition); decomposition; human activity; marine pollution; pollution effect; toxicity; Article; Baltic Sea; biogeochemistry; concentration (parameters); dumping; ecosystem health; ecosystem regeneration; environmental impact; environmental monitoring; fishery; hazardous waste site; oxygen consumption; priority journal; scavenging system; sediment; Atlantic Ocean; Baltic Sea; Gotland Basin",2-s2.0-85029539218
