Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Prljić S., Nikitović Z., Stojanović A.G., Cogoljević D., Pešić G., Alizamir M.","Management of business economic growth as function of resource rents",2018,"Physica A: Statistical Mechanics and its Applications",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030785797&doi=10.1016%2fj.physa.2017.09.087&partnerID=40&md5=1624ae691fd0fae5fcbb14c9173f6f15","Economic profit could be influenced by economic rents. However natural resource rents provided different impact on the economic growth or economic profit. The main focus of the study was to evaluate the economic growth as function of natural resource rents. For such a purpose machine learning approach, artificial neural network, was used. The used natural resource rents were coal rents, forest rents, mineral rents, natural gas rents and oil rents. Based on the results it is concluded that the machine learning approach could be used as the tool for the economic growth evaluation as function of natural resource rents. Moreover the more advanced approaches should be incorporated to improve more the forecasting accuracy. © 2017 Elsevier B.V.","Economic growth; Evaluation; Natural resources rents","Artificial intelligence; Coal deposits; Economic and social effects; Function evaluation; Learning systems; Natural gas deposits; Natural resources; Neural networks; Profitability; Business economics; Economic growths; Economic profit; Economic rent; Evaluation; Forecasting accuracy; Machine learning approaches; Resource rents; Economics",2-s2.0-85030785797
"Camargo L.F.R., Rodrigues L.H., Lacerda D.P., Piran F.S.","A method for integrated process simulation in the mining industry",2018,"European Journal of Operational Research",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025611491&doi=10.1016%2fj.ejor.2017.07.013&partnerID=40&md5=84fcf73c191fa92cec337c6181b5f53b","This paper proposes a method of Integrated Process Simulation (MIPS), which considers the dynamic, stochastic and systemic characteristics of mining operations to support investment decisions in this industry. This MIPS supports development of a Decision Support System (DSS) that considers product quality, process productivity and production costs. A case study is described that used the MIPS to make better investment decisions. The MIPS has proven, in practice, to be effective in several applications; for example, in defining the maintenance policy for critical equipment in an iron ore concentration plant; the process for removing impurities and simulating the company's budget to evaluate the viability of different business plans. © 2017 Elsevier B.V.","O.R. in natural resources; Production; Simulation; Systems thinking","Artificial intelligence; Budget control; Decision support systems; Maintenance; Production; Stochastic systems; Decision support system (dss); Investment decisions; Iron ore concentration; Maintenance policy; Process productivity; Process simulations; Simulation; Systems thinking; Investments",2-s2.0-85025611491
"Khuen C.W., Rehman M.","A maturity model for implementation of enterprise business intelligence systems",2018,"Lecture Notes in Electrical Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022226122&doi=10.1007%2f978-981-10-5281-1_49&partnerID=40&md5=67874178ae09db664f59968666640b6e","In the era of data explosion, organizations highly focus on the systematic management of business information. Various BI models exist for this purpose but the reliability of those models is questionable due to less focus on technical aspects. The purpose of this research is to build comprehensive and reliable Enterprise Business Intelligence Maturity (EBIM) model by using systematic and methodical design. This research investigated and explained problems of existing BI models and solved them by using systematic process through Delphi technique. Three dimensions namely process, technology and organization were considered to develop a mature model. This research concluded that comprehensiveness and reliability of EBIM model enable BI organizations to better plan, assess, and manage their BI initiatives. © Springer Science+Business Media Singapore 2018.","Business intelligence model; Organization; Process; Technology","Competitive intelligence; Information analysis; Processing; Societies and institutions; Technology; Wireless telecommunication systems; Business information; Business intelligence systems; Delphi technique; Methodical designs; Systematic management; Systematic process; Technical aspects; Three dimensions; Information management",2-s2.0-85022226122
"Wani M.A., Jabin S.","Big data: Issues, challenges, and techniques in business intelligence",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031400676&doi=10.1007%2f978-981-10-6620-7_59&partnerID=40&md5=96bfe3efb905fe4ca4bf79b1efc27f0d","During the last decade, the most challenging problem the world envisaged was big data problem. The big data problem means that data is growing at a much faster rate than computational speeds. And it is the result of the fact that storage cost is getting cheaper day by day, so people as well as almost all business or scientific organizations are storing more and more data. Social activities, scientific experiments, biological explorations along with the sensor devices are great big data contributors. Big data is beneficial to the society and business but at the same time, it brings challenges to the scientific communities. The existing traditional tools, machine learning algorithms, and techniques are not capable of handling, managing, and analyzing big data, although various scalable machine learning algorithms, techniques, and tools (e.g., Hadoop and Apache Spark open source platforms) are prevalent. In this paper, we have identified the most pertinent issues and challenges related to big data and point out a comprehensive comparison of various techniques for handling big data problem. © 2018, Springer Nature Singapore Pte Ltd.","Apache Spark; Big data; Big data analytics; Business intelligence; Hadoop MapReduce; Online social networks","Artificial intelligence; Competitive intelligence; Data handling; Digital storage; Information analysis; Learning algorithms; Learning systems; Social networking (online); Comprehensive comparisons; Data analytics; Hadoop MapReduce; Issues and challenges; On-line social networks; Open source platforms; Scalable machine learning; Scientific experiments; Big data",2-s2.0-85031400676
"Ramos-Soto A., Janeiro J., Alonso J.M., Bugarin A., Berea-Cabaleiro D.","Using fuzzy sets in a data-to-text system for business service intelligence",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029432916&doi=10.1007%2f978-3-319-66827-7_20&partnerID=40&md5=f8dde22f7943fbd273fe0834fc71ccb4","We describe the use of fuzzy sets within MonitorSI-Text. It is a real and operative data-to-text system that generates textual information about the operational state of Information Technology services, monitored by the commercial software platform Obsidian. Until now, Obsidian provided several dashboards that allowed to monitor in real time the state of the service infrastructure of the clients. MonitorSI-Text extends the capabilities of Obsidian with the automatic generation of textual reports, live descriptions and notifications that complement the visualization dashboards with enhanced textual information. Moreover, our system performs an analysis of time series data based on a fuzzy filtering approach as part of its content determination process. MonitorSI-Text has been tested, commercialized and deployed as part of the Obsidian Business Service Intelligence platform, which is currently in use by several customer companies, such as Camper and PwC. © 2018, Springer International Publishing AG.","Business service intelligence; Data-to-Text; Fuzzy sets; Real application; Time series data","Fuzzy sets; Pattern matching; Time series; Time series analysis; Automatic Generation; Business service; Content determination; Data-to-Text; Information technology services; Real applications; Service infrastructure; Time-series data; Fuzzy logic",2-s2.0-85029432916
"Singh V., Verma N.K.","Deep learning architecture for high-level feature generation using stacked auto encoder for business intelligence",2018,"Studies in Systems, Decision and Control",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032694589&doi=10.1007%2f978-3-319-69989-9_16&partnerID=40&md5=dbff08c5ca493fc0ec87d2208c5f69f2","In the era of modern world, faster development and wider use of digital technology generates large amount of data in digital space. Handling such large amount of data by conventional machine learning algorithms is difficult because of heterogeneous nature and large size of data. Deep learning strategy, is an advancement in machine learning research to deal with such heterogeneous nature and large size of data and extract high-level representations of data through a hierarchical learning process. This paper proposes novel multi-layer feature selection with conjunction of Stacked Auto-Encoder (SAE) to extract high level features or representations and eliminate the lower level features or representations from data. The proposed approach is validated on the Farm Ads dataset and the result is compared with various conventional machine learning algorithms. The proposed approach has outperformed as compared to conventional machine learning algorithms for the given dataset. © 2018, Springer International Publishing AG.","Business data; Deep learning; Feature selection; Stacked auto-encoder",,2-s2.0-85032694589
"Guarda T., León M., Augusto M.F., Pinto F.M., Barrionuevo O., Villao D.","Pervasive business intelligence: A key success factor for business",2018,"Studies in Computational Intelligence",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026312087&doi=10.1007%2f978-3-319-58965-7_6&partnerID=40&md5=83d9c3cc6305b1fd6d4e642103be4b6c","Today the strategic significance of information is fundamental to any organization. With the intensification of competition between companies in open markets and often saturated, companies must learn to know themselves and to the market through the collection and analysis of quality information. The strategic information is seen as a key resource for success in the business, which is provided by Business Intelligence systems. A successful business strategy requires an awareness of the surrounding (internal and external) environment of organizations, including customers, competitors, industry structure and competitive forces. Managing the future means not only is able to anticipate what will happen outside the organization, but also be able to represent the events through their own actions timely. To make it possible, Pervasive Business Intelligence arises as a natural evolution of business intelligence applications in organizations, allowing to companies achieve and maintain a sustainable competitive advantage, helping managers react proactively in a timely manner to threats and opportunities. © Springer International Publishing AG 2018.",,,2-s2.0-85026312087
"Zarour K., Benmerzoug D.","Multicriteria-Based Analysis and Evaluation of Business Processes Executed in Multi-Cloud Environment",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029599457&doi=10.1007%2f978-3-319-67618-0_29&partnerID=40&md5=a0edc055076616ecffcd28fc59bb28d0","The business process outsourcing has been accentuated with the arrival of Cloud and its advantages. Nevertheless, the fear for losing process compliance and exposing sensitive data to security risks are ones of the biggest obstacles. The organizations should therefore examine different factors to choose which processes to outsource as well as the most suitable and beneficial Cloud offers. This paper proposes a Business intelligence-based approach to help organizations with a decision-making support in assigning processes (or just parts of them) to Cloud offers. The proposed approach complements existing methods by exploiting the history of business process executions and takes into account several criteria such as cost, performance, risks and compliance. © 2018, Springer International Publishing AG.","Business intelligence; Business process outsourcing; Cloud computing; Compliance; Risks","Cloud computing; Competitive intelligence; Computational methods; Decision making; Information analysis; Intelligent systems; Outsourcing; Risks; Analysis and evaluation; Business Process; Business process execution; Business process outsourcing; Compliance; Decision making support; Multi-criteria; Sensitive datas; Management science",2-s2.0-85029599457
"Dell’Aversana R.","A decision framework for understanding data-aware business process models",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021753169&doi=10.1007%2f978-3-319-60882-2_5&partnerID=40&md5=4f3c9c7721dfff6c2a9101f12dfc69b7","Business Process Management is a discipline that enables organizations to analyze, design and deploy business processes, providing tools to investigate the processes from an organizational point of view and transforming the design into a working software implementation. The Business Process Modeling and Notation (BPMN [1]) is the most widely adopted modeling language for designing and re-engineering business processes. One of best feature is that it provides a graphical representation that is not only easy to understand by business people without technical expertise but also machine processable, with tasks assigned to software or human agents based on the workflow and rules defined within the process. This paper extends the framework presented by the author in [2] adding the possibility of verifying more properties of data-aware business processes using a novel approach. This approach enables the verification of the conformance to the business rules combining logic and mathematical expressions. Moreover, the new framework gives the possibility of separating the business requirements from the implementation, giving hints to the process designer and to the programmer. Finally, it gives directions for open research challenges. © Springer International Publishing AG 2018.","Business processes; Decision framework; Model checking","Administrative data processing; Artificial intelligence; Computation theory; Distributed computer systems; Enterprise resource management; Management science; Modeling languages; Software agents; Systems engineering; Business Process; Business process management; Business process model; Business requirement; Decision framework; Graphical representations; Mathematical expressions; Software implementation; Model checking",2-s2.0-85021753169
"Chen D.","Application of artificial intelligence technology in the visual communication design of shopping platform",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028435846&doi=10.1007%2f978-3-319-60744-3_13&partnerID=40&md5=c1f52e7568a322f5c52c7aba594e1c06","With the improvement of people’s living standard, users of commodity experience requirements are getting more and more attention and shopping business to consumers to provide products at the same time also need the service should be paid more attention, so that consumers in the shopping process to obtain the best shopping experience. Computer vision is the study of how to make the machine to “see” science, further, is refers to with camera and computer to replace human eyes on target recognition, tracking and measuring, such as machine vision, and further to do image processing, computer processing becomes more suitable for the human eye observation or send it to the instrument to detect the image. As a scientific subject, theory and technology of computer vision research related, trying to build can be obtained from images or the multidimensional data information system of artificial intelligence. Here refers to the information refers to the Shannon definition, can help to make a “decision” information. Because perception can be thought of to get information from sensory signals, so the computer vision also can be regarded as a research how to make artificial systems from the images or multidimensional data “perception” of science. In this paper, the main purpose of the introduction of artificial intelligence technology in transmission shopping platform website visual design usability analysis, through the relevant theoretical knowledge and visual elements of the shopping website of usability evaluation and improvement, using questionnaire method to analyze the improved website and traditional website. To sum up some of the design methods and principles of shopping website interface. © 2018, Springer International Publishing AG.","Artificial intelligence; Digital technique; Shopping site; Visual design","Artificial intelligence; Design; Electronic commerce; Image processing; Intelligent systems; Real time systems; Sensory perception; Visual communication; Web Design; Websites; Artificial intelligence technologies; Business to Consumer; Digital techniques; Multidimensional data; Shopping sites; Usability evaluation; Visual communication designs; Visual design; Computer vision",2-s2.0-85028435846
"Guofang H., Jing Z.","Design and practice of the competition schedule arrangement system of swimming sports based on artificial intelligence",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028385652&doi=10.1007%2f978-3-319-60744-3_48&partnerID=40&md5=95ac9c91f6056f3e872c12c10b69a442","The wide application of computer technology in the field of sports has solved the problems in sports event management such as large amount of workload and complicated data. However, the study on the race scheduling system for the characteristics of the swimming sports is not mature enough. Based on this, this paper designs a swimming, sports competition schedule system based on artificial intelligence. On the basis of a brief analysis on the problems existing in the current swimming competition schedule arrangement, the system is designed on the windows 7 operating system and uses SQL Server 2008. Its communication interface adopts the TCP/IP protocol, and then the paper demonstrates the system architecture, and presents a detailed description of the presentation layer, business logic layer and data access layer in the system. In addition, the system database is designed with Designer Power to avoid the redundancy of database information, and 8 data tables are set up to store all the data in the system. The experiment results show that this system can reduce the input of manpower, material resources and financial resources, improve the competition management level and work efficiency, and to a certain extent, it achieves informatization and automation of management. © 2018, Springer International Publishing AG.","Computational intelligence; Databases; Schedule arrangement; Swimming competition","Artificial intelligence; Computation theory; Database systems; Intelligent systems; Network architecture; Real time systems; Sports; Business logic layers; Communication interface; Computer technology; Database information; Design and practices; Schedule arrangement systems; Sports competitions; System architectures; Windows operating system",2-s2.0-85028385652
