Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Goodman J., Spector D.","Some remarks on boundary operators of bessel extensions",2018,"Discrete and Continuous Dynamical Systems - Series S",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032445179&doi=10.3934%2fdcdss.2018027&partnerID=40&md5=43d2790d68088ee7527a7b12a63c8e14","In this paper we study some boundary operators of a class of Bessel-type Littlewood-Paley extensions whose prototype is ?xu(x, y) + 1 - 2s?u ?y (x, y) + ? ?y 2u 2 (x, y) = 0 for x ? Rd, y &gt; 0, y u(x, 0) = f(x) for x ? Rd. In particular, we show that with a logarithmic scaling one can capture the failure of analyticity of these extensions in the limiting cases s = k ? N.","Bessel functions; Boundary operator; Functional calculus; Laplacian; Littlewood-Paley extension",,2-s2.0-85032445179
"Brasco L., Squassina M., Yang Y.","Global compactness results for nonlocal problems",2018,"Discrete and Continuous Dynamical Systems - Series S",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032434644&doi=10.3934%2fdcdss.2018022&partnerID=40&md5=508fb50730bbec25b37613181015c7d2","We obtain a Struwe type global compactness result for a class of nonlinear nonlocal problems involving the fractional p-Laplacian operator and nonlinearities at critical growth.","Fractional p-Laplacian; Global compactness; Variational methods",,2-s2.0-85032434644
"Ferrari F., Miranda M., Pallara D., Pinamonti A., Sire Y.","Fractional laplacians, perimeters and heat semigroups in carnot groups",2018,"Discrete and Continuous Dynamical Systems - Series S",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032448048&doi=10.3934%2fdcdss.2018026&partnerID=40&md5=421ece93484a129bb030c365e596c78f","We define and study the fractional Laplacian and the fractional perimeter of a set in Carnot groups and we compare the perimeter with the asymptotic behaviour of the fractional heat semigroup.","Fractional Laplacians; Fractional perimeter; Heat semi-group",,2-s2.0-85032448048
"Cesaroni A., Novaga M.","The isoperimetric problem for nonlocal perimeters",2018,"Discrete and Continuous Dynamical Systems - Series S",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032455424&doi=10.3934%2fdcdss.2018023&partnerID=40&md5=841588cb8585c3677decc1340a012525","We consider a class of nonlocal generalized perimeters which includes fractional perimeters and Riesz type potentials. We prove a general isoperimetric inequality for such functionals, and we discuss some applications. In particular we prove existence of an isoperimetric profile, under suitable assumptions on the interaction kernel.","Fractional perimeter; Nonlocal isoperimetric inequality; Poincaré inequality",,2-s2.0-85032455424
"Iannizzotto A., Papageorgiou N.S.","Existence and multiplicity results for resonant fractional boundary value problems",2018,"Discrete and Continuous Dynamical Systems - Series S",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032441295&doi=10.3934%2fdcdss.2018028&partnerID=40&md5=3076988eb863a730c3930c1d6bdb88fa","We study a Dirichlet-type boundary value problem for a pseudo-differential equation driven by the fractional Laplacian, with a non-linear reaction term which is resonant at infinity between two non-principal eigenvalues: for such equation we prove existence of a non-trivial solution. Under further assumptions on the behavior of the reaction at zero, we detect at least three non-trivial solutions (one positive, one negative, and one of undetermined sign). All results are based on the properties of weighted fractional eigenvalues, and on Morse theory.","Eigenvalue problems; Fractional Laplacian; Morse theory",,2-s2.0-85032441295
"Perera K., Squassina M.","Bifurcation results for problems with fractional trudinger-moser nonlinearity",2018,"Discrete and Continuous Dynamical Systems - Series S",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032435550&doi=10.3934%2fdcdss.2018031&partnerID=40&md5=c20486c205752694de22b915dbcc642e","By using a suitable topological argument based on cohomological linking and by exploiting a Trudinger–Moser inequality in fractional spaces recently obtained, we prove existence of multiple solutions for a problem involving the nonlinear fractional laplacian and a related critical exponential nonlinearity. This extends the literature for the N-Laplacian operator.","Existence of solutions; Exponential nonlinearity; Fractional trudinger-moser embedding",,2-s2.0-85032435550
"Bahrouni A., Vicentiu D.R.","On a new fractional sobolev space and applications to nonlocal variational problems with variable exponent",2018,"Discrete and Continuous Dynamical Systems - Series S",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032434052&doi=10.3934%2fdcdss.2018021&partnerID=40&md5=983411db13f2876a72e07ef46b55fdba","The content of this paper is at the interplay between function spaces Lp(x) and Wk,p(x) with variable exponents and fractional Sobolev spaces Ws,p. We are concerned with some qualitative properties of the fractional Sobolev space Ws,q(x),p(x,y), where q and p are variable exponents and s ? (0, 1). We also study a related nonlocal operator, which is a fractional version of the nonhomogeneous p(x)-Laplace operator. The abstract results established in this paper are applied in the variational analysis of a class of nonlocal fractional problems with several variable exponents.","Density; Fractional p(x)-Laplace operator; Gagliardo seminorm; Integral functional; Variational method",,2-s2.0-85032434052
"Dipierro S., Valdinoci E.","(Non)local and (non)linear free boundary problems",2018,"Discrete and Continuous Dynamical Systems - Series S",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032455470&doi=10.3934%2fdcdss.2018025&partnerID=40&md5=3fba10104df6f7fd97fc93b1074b6cdd","We discuss some recent developments in the theory of free boundary problems, as obtained in a series of papers in collaboration with L. Caffarelli, A. Karakhanyan and O. Savin. The main feature of these new free boundary problems is that they deeply take into account nonlinear energy superpositions and possibly nonlocal functionals. The nonlocal parameter interpolates between volume and perimeter functionals, and so it can be seen as a fractional counterpart of classical free boundary problems, in which the bulk energy presents nonlocal aspects. The nonlinear term in the energy superposition takes into account the possibility of modeling different regimes in terms of different energy levels and provides a lack of scale invariance, which in turn may cause a structural instability of minimizers that may vary from one scale to another.","Bernoulli’s law; Fractional perimeter; Free boundary problems; Gagliardo norm; Nonlocal minimal surfaces",,2-s2.0-85032455470
"Cinti E.","Saddle-shaped solutions for the fractional allen-cahn equation",2018,"Discrete and Continuous Dynamical Systems - Series S",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032453425&doi=10.3934%2fdcdss.2018024&partnerID=40&md5=91b7592a8235498a8eca2ff33ea67fbe","We establish existence and qualitative properties of solutions to the fractional Allen-Cahn equation, which vanish on the Simons cone and are even with respect to the coordinate axes. These solutions are called saddle-shaped solutions. More precisely, we prove monotonicity properties, asymptotic behaviour, and instability in dimensions 2m = 4, 6. We extend to any fractional power s of the Laplacian, some results obtained for the case s = 1/2 in [19]. The interest in the study of saddle-shaped solutions comes in connection with a celebrated De Giorgi conjecture on the one-dimensional symmetry of monotone solutions and of minimizers for the Allen-Cahn equation. Saddle-shaped solutions are candidates to be (not one-dimensional) minimizers in high dimension, a property which is not known to hold yet.","Fractional Laplacian; Saddle solutions; Stability properties",,2-s2.0-85032453425
"Mosconi S.J.N.","Optimal elliptic regularity: A comparison between local and nonlocal equations",2018,"Discrete and Continuous Dynamical Systems - Series S",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032435564&doi=10.3934%2fdcdss.2018030&partnerID=40&md5=453e8a1f6f2fe2c9b7fcad272ef10251","Given L = 1, we discuss the problem of determining the highest a = a(L) such that any solution to a homogeneous elliptic equation in divergence form with ellipticity ratio bounded by L is in Cloc a . This problem can be formulated both in the classical and non-local framework. In the classical case it is known that a(L) exp(-CLß), for some C, ß = 1 depending on the dimension N = 3. We show that in the non-local case, a(L) L-1-d for all d &gt; 0.","Best Hölder exponent; Dirichlet form; Elliptic regularity; Harnack inequality; Non-local equations",,2-s2.0-85032435564
