Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Hung I.-C., Kinshuk, Chen N.-S.","Embodied interactive video lectures for improving learning comprehension and retention",2018,"Computers and Education",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032475969&doi=10.1016%2fj.compedu.2017.10.005&partnerID=40&md5=12d667409ba0698150d17f558c8a8563","The increased interaction with multimedia content has been recognized as a significant factor to improve learners’ learning outcomes. As a result, interactive video lectures are increasingly being adopted in digital learning contexts for increasing interactivity. However, conventional video lecture lacks interactive learning activities (ILAs) that are an indispensable component of interactivity. Interactive video lectures can provide learners opportunities to obtain timely constructive support to produce effective learning outcomes because of ILAs. In order to carefully design and create ILAs for effective learning, instructors need to invest substantial efforts for conceiving the content and interactions of ILAs. This study proposed an approach to design the content of ILAs by leveraging collective intelligence (CI) gathered from the discussion forums specifically related to the content of video lectures. When learners exercised ILAs, meaningful interactions by speaking and gesturing worked as learning support to improve comprehension of learning materials. To evaluate the effects of the CI-based ILAs, an experiment was conducted with 90 university students, who were randomly and equally assigned to three different groups (i.e., embodied interactive, non-embodied interactive, and conventional video lectures). The results show that learners who learned with the embodied interactive video lecture performed better in comprehension and retention of learning contents than the other two counter groups. The findings also revealed that this approach does not impose any additional cognitive load on learners. The design guidelines derived in this study can serve as reference for instructors to create interactive video lectures with CI-based ILAs in digital learning contexts. © 2017 Elsevier Ltd","Architectures for educational technology system; Human-computer interface; Interactive learning environments; Pedagogical issues; Teaching/learning strategies","Computer aided instruction; Computer graphics; E-learning; Educational technology; Human computer interaction; Learning systems; Teaching; Architectures for educational technology system; Human computer interfaces; Interactive learning environment; Pedagogical issues; Teaching/learning strategy; Education",2-s2.0-85032475969
"Karnath H.-O., Sperber C., Rorden C.","Mapping human brain lesions and their functional consequences",2018,"NeuroImage",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032203415&doi=10.1016%2fj.neuroimage.2017.10.028&partnerID=40&md5=a53644b5052d3059827a1e26dfc15398","Neuroscience has a long history of inferring brain function by examining the relationship between brain injury and subsequent behavioral impairments. The primary advantage of this method over correlative methods is that it can tell us if a certain brain region is necessary for a given cognitive function. In addition, lesion-based analyses provide unique insights into clinical deficits. In the last decade, statistical voxel-based lesion behavior mapping (VLBM) emerged as a powerful method for understanding the architecture of the human brain. This review illustrates how VLBM improves our knowledge of functional brain architecture, as well as how it is inherently limited by its mass-univariate approach. A wide array of recently developed methods appear to supplement traditional VLBM. This paper provides an overview of these new methods, including the use of specialized imaging modalities, the combination of structural imaging with normative connectome data, as well as multivariate analyses of structural imaging data. We see these new methods as complementing rather than replacing traditional VLBM, providing synergistic tools to answer related questions. Finally, we discuss the potential for these methods to become established in cognitive neuroscience and in clinical applications. © 2017 Elsevier Inc.","Cognitive neurology; Human; Lesion analysis; Machine learning; Mass-univariate; MLBM; Multivariate lesion behavior mapping; Network; Neuroanatomy; Neuropsychology; Non-parametric mapping; Stroke; VLBM; VLSM; Voxel-based lesion symptom mapping","gadolinium; BOLD signal; brain blood flow; brain mapping; cerebrovascular accident; cognition; connectome; diagnostic accuracy; diffusion weighted imaging; emotion; episodic memory; functional magnetic resonance imaging; glioblastoma; human; machine learning; perfusion weighted imaging; population research; priority journal; Review; temporal lobe epilepsy; voxel based lesion behavior mapping; voxel based morphometry",2-s2.0-85032203415
"Consoli A.","Enhancing tactical information assessment using an agent-based cognitive architecture",2018,"Smart Innovation, Systems and Technologies",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020379371&doi=10.1007%2f978-3-319-59394-4_4&partnerID=40&md5=3ccfd7eb1c5d600860323939b5ab284c","The actualisation of an information-rich, expansive and complex battlespace have rendered current Tactical Information Assessment (TIA) within tactical systems as non-effective. Existing TIA techniques and algorithms perform limited cognitive processing because they lack fundamental characteristics of Situation Management (SM). In consequence, a dramatic reduction of situation awareness, information and decision superiority of the operators and the overall tactical system has emerged. Considerable attention in applying computational cognitive architectures and processing and SM within TIA has been gaining momentum. This paper discusses the Cognitive Architecture for Tactical Information Assessment (CATIA), a proposed Multi-Agent System (MAS)-based cognitive architecture. CATIA employs cognitive architecture design principles and the Belief, Desire and Intention (BDI) framework to facilitate recognition and reasoning to deliberate in tactical situations and events. CATIA will be implemented within the Future Integrated Mission System (FIMS) to illustrate how superior TIA methodologies can dramatically improve information assessment, situation awareness and information and decision superiority within tactical systems. © Springer International Publishing AG 2018.","Belief; Cognitive architectures; Desire and intention; Multi-agent systems; Situation awareness; Situation management; Tactical information assessment","Cognitive systems; Computer architecture; Information management; Belief; Cognitive architectures; Desire and intention; Situation awareness; Situation management; Tactical information; Multi agent systems",2-s2.0-85020379371
"Gudwin R.R.","A hands-on laboratory tutorial on using CST to build a cognitive architecture",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028338815&doi=10.1007%2f978-3-319-63940-6_9&partnerID=40&md5=9c13027cfe608928bfb6b0b7bce83a88","In this tutorial laboratory, we provide a step-by-step set of programming experiments illustrating the main foundations of the CST Cognitive Systems Toolkit in building a cognitive architecture to work as an artificial mind for controlling an NPC (non-player character) in a 3D virtual environment computer game. We start by understanding the sensors and actuators available in the NPC and how to control it inside the game. Then, we introduce the main foundations of CST: Codelets and Memories, and how they should be used to integrate a cognitive architecture. Then, we start building specific codelets and memories for a simple instance of the CST Reference Cognitive Architecture and start using it to control the NPC. The lab is a hands-on programming lab, using Java and Netbeans as language/tool. © Springer International Publishing AG 2018.","Cognitive architecture; CST; Tutorial; Virtual environment",,2-s2.0-85028338815
"Fechner H.B., Schooler L.J., Pachur T.","Cognitive costs of decision-making strategies: A resource demand decomposition analysis with a cognitive architecture",2018,"Cognition",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030460927&doi=10.1016%2fj.cognition.2017.09.003&partnerID=40&md5=c0e98a404096c65c4da932a1a0be6085","Several theories of cognition distinguish between strategies that differ in the mental effort that their use requires. But how can the effort—or cognitive costs—associated with a strategy be conceptualized and measured? We propose an approach that decomposes the effort a strategy requires into the time costs associated with the demands for using specific cognitive resources. We refer to this approach as resource demand decomposition analysis (RDDA) and instantiate it in the cognitive architecture Adaptive Control of Thought–Rational (ACT-R). ACT-R provides the means to develop computer simulations of the strategies. These simulations take into account how strategies interact with quantitative implementations of cognitive resources and incorporate the possibility of parallel processing. Using this approach, we quantified, decomposed, and compared the time costs of two prominent strategies for decision making, take-the-best and tallying. Because take-the-best often ignores information and foregoes information integration, it has been considered simpler than strategies like tallying. However, in both ACT-R simulations and an empirical study we found that under increasing cognitive demands the response times (i.e., time costs) of take-the-best sometimes exceeded those of tallying. The RDDA suggested that this pattern is driven by greater requirements for working memory updates, memory retrievals, and the coordination of mental actions when using take-the-best compared to tallying. The results illustrate that assessing the relative simplicity of strategies requires consideration of the overall cognitive system in which the strategies are embedded. © 2017 Elsevier B.V.","ACT-R; Cognitive costs; Computational modeling; Decision making; Strategy; Working memory","accuracy; adult; Article; cognition; controlled study; coordination; cost; decision making; decomposition; empiricism; female; hearing; human; human experiment; male; motor performance; normal human; priority journal; response time; simulation; vision; working memory",2-s2.0-85030460927
"Liu Y., Tian Z., Liu Y., Li J., Fu F., Bian J.","Cognitive modeling for robotic assembly/maintenance task in space exploration",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021796066&doi=10.1007%2f978-3-319-60642-2_13&partnerID=40&md5=9e13dcb5ae637266970084610c7fe6d2","A cognitive control model for space assembly/maintenance task is proposed based on a double-arm robot in this paper. The two arms are designed to implement fixing assemble component and to execute assembling operations respectively. There is one hand and connecting rods articulated by three knots for each arm. The connecting knot retains the rod rotating in one plane. The arm is installed on fixed device which allow arm move with a 2 degree of freedom. By analyzing specific task, the procedural knowledge for cognitive modeling is constructed. Based on ACT-R architecture, a cognitive model for space assembly/maintenance task is constructed, and cognitive control simulation for space assembly is implemented. As an example, to replace solar panel maintenance task is chosen to investigate model’s validation and cognitive procedure’s rationality. The result shows that both the model’s simulating cognitive process and model’s running result satisfy human’s cognitive characteristic. © Springer International Publishing AG 2018.","Cognitive architecture; Cognitive modelling; Cognitive robot; Space assembly/maintenance task; Space exploration","Degrees of freedom (mechanics); Space research; Cognitive architectures; Cognitive modelling; Cognitive robots; Space assembly/maintenance task; Space explorations; Cognitive systems",2-s2.0-85021796066
"Augello A., Città G., Gentile M., Infantino I., La Guardia D., Manfré A., Maniscalco U., Ottaviano S., Pilato G., Vella F., Allegra M.","Improving spatial reasoning by interacting with a humanoid robot",2018,"Smart Innovation, Systems and Technologies",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020433155&doi=10.1007%2f978-3-319-59480-4_16&partnerID=40&md5=3829c4d87a47b0fddbbfc3e8f487edf1","This paper analyzes the connection between spatial reasoning and STEM education from the point of view of embodied theories of cognition. A new learning model based on the use of a humanoid robot is presented with the aim of teaching and learning basic STEM concepts in a fruitful and engaging fashion. © Springer International Publishing AG 2018.","Cognitive architecture; Embodied cognition; Humanoid robots; Mental rotation; Spatial reasoning; STEM","Anthropomorphic robots; Cognitive systems; Interactive computer systems; Multimedia services; Multimedia systems; Robots; Cognitive architectures; Embodied cognition; Humanoid robot; Mental rotation; Spatial reasoning; STEM (science, technology, engineering and mathematics)",2-s2.0-85020433155
"Città G., Arnab S., Augello A., Gentile M., Zielonka S.I., Ifenthaler D., Infantino I., La Guardia D., Manfrè A., Allegra M.","Move your mind: Creative dancing humanoids as support to STEAM activities",2018,"Smart Innovation, Systems and Technologies",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020412823&doi=10.1007%2f978-3-319-59480-4_20&partnerID=40&md5=0dd3a32d07a98214b8c275b30f2ca49f","Educational activities based on dance can support interest in comprehension of concepts from maths, geometry, physics, bio-mechanics and computational thinking. In this work, we discuss a possible use of a dancing humanoid robot as an innovative technology to support and enhance STEAM learning activities. © Springer International Publishing AG 2018.","Cognitive architecture; Computational creativity; Embodied Cognition; Enactivism; Humanoid robots; STEAM","Anthropomorphic robots; Cognitive systems; Computational geometry; Interactive computer systems; Multimedia services; Steam; Cognitive architectures; Computational creativities; Embodied cognition; Enactivism; Humanoid robot; Multimedia systems",2-s2.0-85020412823
"Zdzisław K., Michał C.","Embodying intelligence in autonomous and robotic systems with the use of cognitive psychology and motivation theories",2018,"Studies in Computational Intelligence",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030123266&doi=10.1007%2f978-3-319-67946-4_15&partnerID=40&md5=3393034e1eb5925bb063320abefcfaa5","The article discusses, on a certain level of abstraction and generalization, a coherent anthropological approach to the issue of controlling autonomous robots or agents. A contemporary idea can be based on appropriate modeling of the human mind using the available psychological knowledge. One of the main reasons for developing such projects is the lack of available and effective top-down approaches resulting from the known research on autonomous robotics. On the other hand, there is no system that models human psychology sufficiently well for the purpose of constructing autonomous systems. Nevertheless, to combat this lack, several ideas have been proposed for embodying human intelligence. We review recent progress in our understanding of the mechanisms of cognitive computations underlying decision-making and discuss some of the pertinent challenges identified and implemented in several systemic solutions founded on cognitive ideas (like LIDA, CLARION, SOAR, MANIC, DUAL, OpenCog). In particular, we highlight the idea of an Intelligent System of Decision-making (ISD) based on the achievements of cognitive psychology (using the aspect of ‘information path’), motivation theory (where the needs and emotions serve as the main drives, or motivations, in the mechanism of governing autonomous systems), and several other detailed theories, which concern memory, categorization, perception, and decision-making. In the ISD system, in particular, an xEmotion subsystem covers the psychological theories on emotions, including the appraisal, evolutionary and somatic theories. © Springer International Publishing AG 2018.","Cognitive architecture; Cognitive development; Decision-making; Human-computer interaction; Intelligent agents; Perception",,2-s2.0-85030123266
"Kumar T., Kher V., Jain P.","Cognitive radio: A network structure perspective",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031721294&doi=10.1007%2f978-981-10-5508-9_22&partnerID=40&md5=7950df39705ae8be8ed538652d969f42","The ideal utilization of radio spectra is a major issue of concern in the field of wireless communication. Increasing demand for wireless radio services has led to the issue of frequency scarcity. Therefore, in order to accommodate more and more users, cognitive radio technology came into existence. The adaptive nature of cognitive radio helps them enhance the spectral efficiency, thereby utilizing the available spectra without causing any interference for the licensed users. The primary task of cognitive radio lies in the spectrum sensing and identification of holes. But the presence of a single CR and multiple secondary users in the network can lead to delay and collision. Therefore, the algorithm named “multiple CRs single-hop (MCSH) secondary user cognitive radio network architecture” has been formulated and proposed in which multiple CRs can coordinate with each other via single hop as well as with unlicensed users in order to diminish the delay, jitter, and packet loss. © Springer Nature Singapore Pte Ltd. 2018.","Cognitive radio; Multi-hop; Multiple CRs; Secondary user; Sensing","Network architecture; Radio systems; Wireless telecommunication systems; Cognitive radio network; Cognitive radio technologies; Multihop; Network structures; Secondary users; Sensing; Spectral efficiencies; Wireless communications; Cognitive radio",2-s2.0-85031721294
