Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Feng Z., Tomimatsu K.","A study of digital media art utilizing 2D animation: Digital video expression using projection mapping and multi screen techniques",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021392491&doi=10.1007%2f978-3-319-60591-3_40&partnerID=40&md5=dffbe67218a2f2039e5bec9344f36bba","This paper is about the research of the combination of PM technique with traditional animation. It can help designers create a more authentic experience exceeding to traditional animation technique. In PM concrete practicing, designers can shadow movie on an object on regular and irregular surfaces. In recent years, PM technology is applied by more and more film productions, and prevails in many advertisement and art festivals. In the concrete design steps, firstly, makes a cube, two of these cubes’ corner has been cut off to create the irregular projection. Two regular projection cubes represent spring and summer, using the bamboo and Lotus character as projected content. The other two irregular cubes represent autumn and winter, using the chrysanthemum and plum character as projected content. And then the second step, the production of projected content, author applied ink painting style to make these four plants animation. © Springer International Publishing AG 2018.","Animation; Information; Multi screen techniques; Projection mapping (PM); Special vision","Animation; Concretes; Digital storage; Geometry; Human engineering; Mapping; Multimedia systems; Concrete design; Digital videos; Film production; Information; Irregular surface; Multi screens; Projection mapping (PM); Traditional animations; Computer graphics",2-s2.0-85021392491
"Lin E.C.-H.","A research on multi-attribute sequence query processing techniques for motion databases",2018,"Lecture Notes in Electrical Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031425192&doi=10.1007%2f978-981-10-3187-8_67&partnerID=40&md5=ea368762cec4bc7eb2a2ac9ceb79724d","Due to the development of computer technology and the mature development of motion capture technology, the applications of motion databases become more and more important. How to analysis the huge data stored in the database and efficiently retrieved the matched data is an important research issue. 3D animation design is one of the important applications of motion databases. Based on our teaching experience, the bottleneck of the students’ learning of animation is the motion animation of the 3D characters. Therefore, the motion database can be used to assist the design of the motions for 3D characters. However, it is still a difficult problem because of the high complexity of the matching mechanism and the difficult of user interface design. In this paper, the motion data can be represented as multi-attribute multi-dimensional sequences while the corresponding index structures and query processing mechanism are proposed for efficiently processing the motion queries. Moreover, Microsoft Kinect is used in this paper as the user interface. The captured data can be used as the user query and the further comparison will be performed to find the matched motion data. © Springer Nature Singapore Pte Ltd. 2018.","Index structure; Kinect; Motion database; Query processing","Animation; Database systems; Education; User interfaces; Computer technology; Index structure; Kinect; Matching mechanisms; Motion database; Multi dimensional; Teaching experience; User interface designs; Query processing",2-s2.0-85031425192
"Yong B., Shen J., Sun H., Xu Z., Liu J., Zhou Q.","GPU based simulation of collision detection of irregular vessel walls",2018,"Lecture Notes in Electrical Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031406424&doi=10.1007%2f978-981-10-3187-8_42&partnerID=40&md5=be1c729e77a98e20b5a5748f03cf0f8c","Collision detection is a commonly used technique in the fields of computer games, physical simulation, virtual technology, computing and animation. When simulating the process of particle collision of ADS (Accelerator Driven Sub-Critical) system, complex and irregular vessel walls need to be considered. Generally, an irregular vessel wall is a curve surface, which cannot be defined as an exact mathematical function, and it is difficult to calculate the distance between particles and the wall directly. In this paper, we present an algorithm to perform collision detection between particles and irregular wall. When the number of particles reaches the level of 106, our algorithm implements a considerable improvement in performance if running on GPU, nearly 10 times faster than running on CPU. Results have demonstrated that our algorithm is promising. © Springer Nature Singapore Pte Ltd. 2018.","Collision detection; GPU; Irregular vessel; Physical simulating","Animation; Computation theory; Functions; Graphics processing unit; Collision detection; Curve surface; Irregular vessel; Mathematical functions; Particle collision; Physical simulating; Physical simulation; Virtual technology; Computer games",2-s2.0-85031406424
"Abu-Nabah B.A., ElSoussi A.O., Al Alami A.E.K.","Virtual laser vision sensor environment assessment for surface profiling applications",2018,"Measurement: Journal of the International Measurement Confederation",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028995161&doi=10.1016%2fj.measurement.2017.08.052&partnerID=40&md5=3dd3caa3d5f3ed8a5c2a2afeaf5791f9","Due to its potential accuracy and speed, the use of laser vision sensor (LVS) surface profiling systems has been rising at original equipment manufacturer levels in the Oil and Gas industry. The assessment of large structures mandates the deviation from commercially available LVS systems, and the implementation of custom-designed surface profiling capabilities. This effort assesses the use of 3ds Max, a three dimensional (3D) animation software, as a virtual environment to evaluate potential capabilities and limitations of any custom-designed LVS systems. An LVS experimental setup is simulated using the proposed virtual environment. A combination of two known calibration techniques is implemented virtually and experimentally to deliver a calibrated LVS system in both environments. Imported CAD model and its 3D-printed sample as known input profiles are scanned virtually and experimentally, respectively. Scanned data is inverted and compared with the input CAD model to validate the virtual environment for LVS surface profiling applications and preliminarily assess the measurement technique for weld profiling applications. More importantly, this effort facilitates the assessment of custom-designed LVS systems and brings 3D scanning capabilities a step closer towards robust quality control applications in the Oil and Gas industry. © 2017 Elsevier Ltd","Laser vision sensor; Surface profiling; Virtual scanning; Visual testing","3D printers; Calibration; Gas industry; Quality control; Virtual reality; Environment assessments; Laser vision sensors; Original equipment manufacturers; Quality control applications; Surface profiling; Three dimensional (3D) animation; Virtual scanning; Visual testing; Computer aided design",2-s2.0-85028995161
"Peng X., Chen H., Wang L., Wang H.","Evaluating a 3-D virtual talking head on pronunciation learning",2018,"International Journal of Human Computer Studies",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027848470&doi=10.1016%2fj.ijhcs.2017.08.001&partnerID=40&md5=b10c8073400ccce976a525e3add5222f","We evaluate a 3-D virtual talking head on non-native Mandarin speaker pronunciation learning under three language presentation conditions – audio only (AU), human face video (HF) and audio-visual animation of a three-dimensional talking head (3-D). An auto language tutor (ALT) configured with AU, HF and 3-D is developed as the computer-aided pronunciation training system. We apply both subjective and objective methods to study user acceptance of the 3-D talking head, user comparative impressions and pronunciation performance under different conditions. The subjective ratings show that the 3-D talking head achieved a high level of user acceptance, and both 3-D and HF were preferred to AU. The objective pronunciation learning improvements show that 3-D was more beneficial than AU with respect to blade-alveolar, blade-palatal, lingua-palatal, open-mouth, open-mouth(-i) and round-mouth. Learning with 3-D was better than learning with HF with respect to blade-alveolar, lingua-palatal and round-mouth, and the tones of falling-rising and falling. Learning with AU was better than learning with HF with respect to the falling-rising tone. Neither HF nor AU was superior to 3-D with respect to any of the initials, finals and tones. © 2017 Elsevier Ltd","3-D talking head; Computer-aided pronunciation training; Evaluation","E-learning; Virtual reality; Audio-visual; Computer-aided pronunciation trainings; Evaluation; Mandarin speakers; Objective methods; Subjective rating; Talking heads; User acceptance; Visual languages",2-s2.0-85027848470
"Larsen L.B., Jensen S.S., Baunstrup M.","Directing untrained users’ attention using simple sound patterns",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029489259&doi=10.1007%2f978-3-319-60477-0_2&partnerID=40&md5=1f672efc0b0159712925aeb917b43904","In this work, we show how simple sound patterns can be used to direct a person’s attention towards specific locations, when the sound is emitted from a single, fixed position. In interaction design, this is an effect most often achieved using visual ques, such as animations or flashing lights. Using sound instead is useful in situations where visual ques are undesirable or unfeasible. We designed two experiments with a total of n = 45 respondents. 10 different sound patterns were composed with inspiration from previous studies and used as stimuli. The results showed significant differences (p = 0.05) for directing the gaze upwards and downwards and trends for left-right. The composed sounds require no prior training, or knowledge of cultural references (contrary to e.g. earcons and auditory icons) by the respondents and can thus be regarded as universal in nature. © Springer International Publishing AG 2018.","Auditory displays; Directing attention; Human factors; Interaction design; Sound design","Computer programming; Computer science; Auditory display; Directing attention; Earcons; Flashing lights; Interaction design; Sound designs; Specific location; Human engineering",2-s2.0-85029489259
"Jadhav S., Pawar J.","Bharatanatyam dance classification with rough set tools",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031404857&doi=10.1007%2f978-981-10-6602-3_8&partnerID=40&md5=c493823784505319408b66262b17f37b","BharataNatyam (BN) Choreography is known to be an intuitive domain. We have attempted to aid the choreographer for this creative domain of choreography for pure dance movements (used for aesthetics) called Nritta with our ArtToSMart (System Modeled art) system. Various automated techniques have been used for Western dance notations, its animation as well as for choreographic skills; but we have not been able to find enough on BN. We have used rough set tools to build a classifier for the dance poses, since manual methods are subjective and time-consuming. Thirty attributes have been used to define the human body. We obtained eight reducts from among these 30, and also decision rules which frame the grammar of a BN pose. The results are promising and have higher accuracy for about 500 instances. A comparative study has been done with two different tools namely WEKA (Waikato Environment for Knowledge Analysis) 3.6.11 and RSES (Rough Set Exploration System) 2.2.2 which has given 87.42% and about 76.8% classifier accuracy, respectively. © 2018, Springer Nature Singapore Pte Ltd.","BharataNatyam; Classification; Dance choreography; Dimension reduction; Grammar; Rough set theory","Classification (of information); Computer programming; Computer science; Automated techniques; BharataNatyam; Comparative studies; Dance choreography; Dimension reduction; Exploration systems; Grammar; Knowledge analysis; Rough set theory",2-s2.0-85031404857
"Baskar A., Gireesh Kumar T.","Facial expression classification using machine learning approach: A review",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021196620&doi=10.1007%2f978-981-10-3223-3_32&partnerID=40&md5=727dc17b597d349e1c68b6485f0bcce1","Automatic Facial Expression analysis has enthralled increasing attention in the research community in excess of two decades and its expedient in many application like, face animation, customer satisfaction studies, human-computer interaction and video conferencing. The precisely classifying different emotion is an essential problem in facial expression recognition research. There are several machine learning algorithms applied to facial expression recognition expedition. In this paper, we surveyed three different machine learning algorithms such as Bayesian Network, Hidden Markov Model and Support Vector machine and we attempt to answer following questions: How classification algorithm used its characteristics for emotion recognition? How various parameters in learning algorithm is devoted for better classification? What are the robust features used for training? Finally, we examined how advances in machine learning technique used for facial expression recognition?. © Springer Nature Singapore Pte Ltd. 2018.","Bayesian network; Deep belief network; Facial expression; Hidden markov model; Machine learning; Support vector machine","Artificial intelligence; Bayesian networks; Customer satisfaction; Deep learning; Education; Face recognition; Hidden Markov models; Human computer interaction; Intelligent computing; Learning systems; Markov processes; Support vector machines; Video conferencing; Automatic facial expression analysis; Classification algorithm; Deep belief networks; Facial expression classification; Facial expression recognition; Facial Expressions; Machine learning approaches; Machine learning techniques; Learning algorithms",2-s2.0-85021196620
"Castro-Alonso J.C., Ayres P., Wong M., Paas F.","Learning symbols from permanent and transient visual presentations: Don't overplay the hand",2018,"Computers and Education",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028988076&doi=10.1016%2fj.compedu.2017.08.011&partnerID=40&md5=ee10ff13675c49b677c671be05728a3e","Instructional dynamic pictures (animations and videos) contain transient visual information. Consequently, when learning from dynamic pictures, students must process in working memory the current images while trying to remember the images that left the screen. This additional activity in working memory may lead dynamic pictures to be less suitable instructional materials than comparable static pictures, which are more permanent. In order to directly show the influence of transient visual information on dynamic learning environments, we designed a well-matched comparison between a permanent and a transient presentation of an abstract-symbol memory task on the computer. In the task, 104 university students (50% females) had to memorize the type, color, and position of the symbols in a rectangular configuration. In addition, an embodied cognition factor was included where the symbols in the task were either shown with a precision grasping static hand or not. We also assessed how individual characteristics (spatial ability, spatial memory span, and gender) influenced performance. Results showed that (a) permanent outperformed transient presentations, (b) observing hands hindered learning, and (c) high spatial ability and high spatial memory span were beneficial, but gender did not affect performance. © 2017 Elsevier Ltd","Applications in subject areas; Gender studies; Interactive learning environments; Media in education; Multimedia/hypermedia systems","Computer aided instruction; Applications in subject areas; Gender studies; Interactive learning environment; Media in education; Multimedia/hypermedia systems; Education",2-s2.0-85028988076
"Kovács Z.","Real-time Animated Dynamic Geometry in the Classrooms by Using Fast Gröbner Basis Computations",2017,"Mathematics in Computer Science",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018829687&doi=10.1007%2fs11786-017-0308-2&partnerID=40&md5=8e0342edbaf7a99581a09f075f827dce","Real-time animation of loci and envelopes in dynamic geometry software may be challenging because of the high amount of heavy symbolic computations being performed continuously. This paper reports on reaching 30 frames per second (FPS) in the desktop application GeoGebra for non-trivial examples for immediate use in classrooms—also 13 FPS is reached in a modern web browser. © 2017, Springer International Publishing.","Animation; Computer graphics; Envelope; Gröbner bases; Locus; Mathematics education",,2-s2.0-85018829687
