Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Jiang X., Ma Y., Chen Y., Li Y., Ma Q., Zhang Z., Wang C., Yang Y.","Raman analysis of cobalt blue pigment in blue and white porcelain: A reassessment",2018,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029105108&doi=10.1016%2fj.saa.2017.08.076&partnerID=40&md5=4667ec034c5090c327cad9543f3e61bb","Cobalt blue is a famous pigment in human history. In the past decade it is widely reported that the cobalt aluminate has been detected in ancient ceramics as blue colorant in glaze, yet the acquired Raman spectra are incredibly different from that of synthesised references, necessitating a reassessment of such contradictory scenario with more accurate analytic strategies. In this study, micro-Raman spectroscopy (MRS) and scanning electron microscopy (SEM) in association with energy dispersive spectrometry (EDS) were performed on under-glaze cobalt pigments from one submerged blue and white porcelain shard dated from Wanli reign (1573–1620 CE) of Ming dynasty (1365–1644 CE) excavated at Nan'ao I shipwreck off the southern coast of China. The micro-structural inspection reveals that the pigment particles have characteristics of small account, tiny size, heterogeneously distribution, and more importantly, been completely enwrapped by well-developed anorthite crystals in the glaze, indicating that the signals recorded in previous publications are probably not from cobalt pigments themselves but from outside thickset anorthite shell. The further spectromicroscopic analyses confirm this presumption when the accurate spectra of cobalt aluminate pigment and surrounding anorthite were obtained separately with precise optical positioning. Accordingly, we reassess and clarify the previous Raman studies dedicated to cobalt blue pigment in ancient ceramics, e.g. cobalt blue in celadon glaze, and in turn demonstrate the superiority and necessity of coupling spectroscopic analysis with corresponding structure observation, especially in the characterization of pigments from complicated physico-chemical environment like antiquities. Thus, this study promotes a better understanding of Raman spectroscopy study of cobalt blue pigments in art and archaeology field. © 2017 Elsevier B.V.","Anorthite (CaAl2Si2O8); Blue and white porcelain; Cobalt blue (CoAl2O4); Under-glaze decoration; μ-Raman","Ceramic materials; Chemical analysis; Cobalt; Glazes; Raman spectroscopy; Scanning electron microscopy; Spectroscopic analysis; Anorthite (CaAl2Si2O8); Blue and white porcelains; Cobalt blue; Energy dispersive spectrometry; Micro Raman Spectroscopy; Micro-structural; Physico-chemicals; Pigment particles; Porcelain",2-s2.0-85029105108
"Carpio G.G.","Racial projections: cyberspace, public space, and the digital divide",2018,"Information Communication and Society",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008230306&doi=10.1080%2f1369118X.2016.1271899&partnerID=40&md5=bf83196ba89fd841f9071268d28257f1","Scholars of critical race studies, urban history, and information and communications technologies (ICTs) share an interest in the relationship between spatial and racial disparities, including the quality of basic infrastructure, degrees of connectivity, and participatory culture. However, contemporary research on the digital divide struggles to link historical legacies of uneven development, as well as social justice strategies, with digital participation in urban spaces. By examining contemporary digital art that critiques the spatial inequalities encountered by U.S. racial minorities, this article illustrates how public intellectuals use ICTs in ways that draw upon past strategies to territorialize space for political ends. It focuses on digital pop-ups, open-air installations that cast images onto public space using projectors. Historicizing these new efforts illustrates a continuity of tactics engaged by communities of color in response to socio-spatial inequalities in the urban United States, such as the 1970s mural movement’s efforts to re-politicize spaces of exclusion. While existing literature finds that digital inequality results in differential digital human capital, this research indicates that place-based claims, such as digital pop-ups, are important sites for combatting racial injustice and creating more inclusionary spaces, especially among youth adults. © 2017 Informa UK Limited, trading as Taylor & Francis Group.","digital arts; Digital divide; race; urban studies; young people",,2-s2.0-85008230306
"Morley I.","Manila",2018,"Cities",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027380994&doi=10.1016%2fj.cities.2017.07.022&partnerID=40&md5=374e4f13b7ff4ee2dbd291e84af798cb","Manila is a city that has been indelibly marked by phases of colonial and post-colonial urban development. As the capital city of the Philippines its significance economically, culturally, and politically to the evolution of the nation has been, and still is, unquestionable. Today as the chief port in a country that has one of Asia's fastest growing economies, and as the nucleus of Philippine commerce, banking, media, tourism, legal services, fashion and the arts, Manila's influence upon domestic affairs is unrivalled. Moreover as the site of a historic Chinatown, and as the hub of a bygone transpacific economic system borne in the late-1500s that connected Southeast Asia to the Americas, the city has long been its country's access point to regional and globalized mercantile activities. Yet as a city with a contemporary image grounded in it being largely unplanned, dense in terms of its built fabric, and blighted by slums, traffic jams, and polluted waterways, it is easy to neglect that Manila was once known as the ‘Pearl of the Orient’. © 2017 Elsevier Ltd","Colonial; Culture; Governance; Post-colonial; Urban history; Urbanization",,2-s2.0-85027380994
"Kamal M., Rahman M.M.","Advances in fatigue life modeling: A review",2018,"Renewable and Sustainable Energy Reviews",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030700984&doi=10.1016%2fj.rser.2017.09.047&partnerID=40&md5=fe1384548ec1e5075745bb05bf14ec58","The purpose of this paper is to examine the state-of-the-art research efforts linked with the development of fatigue life estimation models. The main objective is to identify new concepts for fatigue life estimation other than the classical models and their hybrids. Various techniques to estimate fatigue life have been identified, such as critical plane deviation, 5D deviatoric space enclosed surface, modified Wholer curve. However, the most notable one to be found is the application of evolutionary optimization algorithms for, e.g., genetic algorithms, artificial neural networking, and differential ant-stigmergy algorithms. Initially, a brief history of fatigue life estimation and modeling is presented. In subsequent sections, some familiar classical models are discussed, and then various innovative approaches to fatigue life prediction are reviewed. The survey is fairly detailed, and best efforts have been made to the net in as many new methodologies as possible. The review is organized to offer insight on how past research efforts have provided the groundwork for subsequent studies. © 2017 Elsevier Ltd","Classical fatigue models; Critical plane; Fatigue; Hybrid models; Optimization algorithm",,2-s2.0-85030700984
"Viktorin A., Senkerik R., Pluhacek M., Kadavy T.","Towards better population sizing for differential evolution through active population analysis with complex network",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026313361&doi=10.1007%2f978-3-319-61566-0_22&partnerID=40&md5=4463788f96fa80545318c47c171583ee","This research paper presents an analysis of the population activity in Differential Evolution algorithm (DE) during the optimization process. A state-of-art DE variant – Success-History based Adaptive DE (SHADE) is used and the population activity is analyzed through Complex Network (CN) created from mutation, crossover and selection steps. The analysis is done on the CEC2015 benchmark set and possible future research directions for the population sizing are suggested. © Springer International Publishing AG 2018.",,"Arts computing; Evolutionary algorithms; Optimization; Differential Evolution; Differential evolution algorithms; Population activities; Population analysis; Population sizing; Possible futures; Research papers; Complex networks",2-s2.0-85026313361
"Lesan A., Ehsan Eshraghi S., Bahroudi A., Reza Rasaei M., Rahami H.","State-of-the-Art Solution of Capacitance Resistance Model by Considering Dynamic Time Constants as a Realistic Assumption",2018,"Journal of Energy Resources Technology, Transactions of the ASME",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029568126&doi=10.1115%2f1.4037368&partnerID=40&md5=b5a8ff843f63b9ebd46f683b9f146e64","To have an acceptable accuracy for water flooding projects, proper history matching is an important tool. Capacitance resistance model (CRM) simulates water flooding performance based on two tuning parameters of time constant and connectivity. Main advantages of CRM are its simplicity and fastness; furthermore, it needs only some field-available inputs like injection and production flow rates. CRM is reliable if producers receive the injection rate signal; in other words, duration of history matching must be enough so that the rate signal of injection is sensed in producers. It is a shortcoming of CRM that the results might not be accurate as a result of short history. In the common CRM, time constant is considered to be a static parameter (constant number) during the history of simulation. However, time constant is a time-dependent function that depends on the reservoir nature. In this paper, a new model has been developed as it decreases model dependency on the history matching length by shifting time axis. This new definition adds a rate shift constant to the model mathematics. Moreover, a new model is considering dynamic time constants. This new model is called dynamic capacitance resistance model (DCRM). Two reservoir models have been simulated to analyze the performance of DCRM, and, as a result, it is found that the static time constant is an erroneous assumption. Finally, the accuracy of the results has been improved since the degree-of-freedom of the CRM increased in the new version. Copyright © 2018 by ASME.","capacitance resistance model (CRM); dynamic time constant; history match; reservoir characterization; water flooding","Capacitance; Degrees of freedom (mechanics); Floods; Oil well flooding; Petroleum reservoirs; Capacitance resistances; Degree of freedom; Dynamic time; History match; Model dependencies; Performance based; Reservoir characterization; Time-dependent functions; Reservoirs (water)",2-s2.0-85029568126
"Kuo L.-W., Lai C.-C.","The style of imagery: A color study of landscape paintings",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029488688&doi=10.1007%2f978-3-319-60477-0_8&partnerID=40&md5=4d1b2d5e5d8980f62c48120fcf003bbb","The use of color is a crucial element in painting, since any particular color would be affected by its surrounding colors in order to produce a different visual hue. This study focused on the study of landscape paintings and color, based on the study of art history, and investigates approaches via analysis of colors adopted by impressionist painters in western paintings. This study explores the elements of hues, brightness, saturation, complementary colors, and cold/warm tones in contrasting colors, as well as corroborating these elements in actual artwork. Landscape paintings primarily depicts local geographical and cultural features, while colors convey emotions and feelings. A work of depth exhibits a strong sense of emotions, integrates scenery and features to produce a theme with space for imagination and innovation. © Springer International Publishing AG 2018.","Color; Painting; Research","Human engineering; Painting; Research; Art history; Complementary colors; Color",2-s2.0-85029488688
"Christoph A.","On the ‘de-measuring’ of time and space in the models of the world of the eighteenth and nineteenth centuries",2018,"Lecture Notes in Geoinformation and Cartography",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031296714&doi=10.1007%2f978-3-319-61515-8_15&partnerID=40&md5=907f00c6c5d566b3f13d69367faa2a2a","Terrestrial and celestial globes as well as planetaria, telluria and lunaria are representative models of the cosmos with high cultural and scientific importance. At a time when a global point of view is increasingly adopted by historians, the importance of these ‘chronotopical’ objects in the fields of history of science, cultural history, history of geography and arts necessitates the appreciation of the variety of globes, the involved protagonists, the history of manufacturing methods and technical innovations in globe production. Moreover, new technologies for visualizing old globes, will allow these physical objects to be transferred into virtual reality. © Springer International Publishing AG 2018.",,"Maps; Software packages; Virtual reality; History of science; Manufacturing methods; Physical objects; Technical innovation; History",2-s2.0-85031296714
"Szady B., Ławrynowicz A.","Considering identification of locality in time: Theoretical and practical approach",2018,"Lecture Notes in Geoinformation and Cartography",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031292718&doi=10.1007%2f978-3-319-63946-8_45&partnerID=40&md5=3031753b26354499b3fa70902e16faf4","In this paper, we tackle the problem of determining an identity of a locality evolving with time. Firstly, we discuss origins of this problem, namely how it arises in the everyday research practice of historical geographers. Secondly, we present two contexts of emergence of identities: identities embedded in sources and identities constructed in history. Finally, we discuss how such identities may be captured in information systems with the help of state-of-art technologies regarding ontological modeling and reasoning. © Springer International Publishing AG 2018.","Historical GIS; Identity relation; Ontology; Settlement unit","Ontology; Identity relation; Ontological modeling; Settlement unit; State-of-art technology; Information theory",2-s2.0-85031292718
"Nuccio M.L.","A brief history of promoter development for use in transgenic maize applications",2018,"Methods in Molecular Biology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030754464&doi=10.1007%2f978-1-4939-7315-6_4&partnerID=40&md5=544080f7367ddb3126bac525c9d284f1","Promoters regulate gene expression, and are essential biotechnology tools. Since its introduction in the mid-1990s, biotechnology has greatly enhanced maize productivity primarily through the development of insect control and herbicide tolerance traits. Additional biotechnology applications include improving seed nutrient composition, industrial protein production, therapeutic production, disease resistance, abiotic stress resistance, and yield enhancement. Biotechnology has also greatly expanded basic research into important mechanisms that govern plant growth and reproduction. Many novel promoters have been developed to facilitate this work, but only a few are widely used. Transgene optimization includes a variety of strategies some of which effect promoter structure. Recent reviews examine the state of the art with respect to transgene design for biotechnology applications. This chapter examines the use of transgene technology in maize, focusing on the way promoters are selected and used. The impact of new developments in genomic technology on promoter structure is also discussed. © Springer Science+Business Media LLC 2018.","Expression control; Genetic engineering; Maize promoter; Transgenes",,2-s2.0-85030754464
