Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Shin K.-W., Lim D.-J.","Model-based automatic test case generation for automotive embedded software testing",2018,"International Journal of Automotive Technology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030321599&doi=10.1007%2fs12239-018-0011-6&partnerID=40&md5=7234bfd7596be935c327f327ff321bf6","We propose a method to automatically generate software and hardware test cases from a UML model developed through a model-based development process. Where languages such as source-code languages are used within the model, input and expected values for each test case are generated using a custom parser. As a next step, unit test cases are combined to generate integration test cases using a bottom-up approach. Then these cases are converted into hardware test cases for approval testing of embedded systems, using XQuery and hardware mapping tables. We demonstrate this process by applying it to the power window switch module of a Hyundai Santa Fe vehicle. Our approach provides an automatic testing procedure for embedded systems developed by model-based methods, and generates test cases efficiently using a recombination of signals. In conclusion, our proposed method could help reduce the resources needed for test case generation from software to hardware. © 2018, The Korean Society of Automotive Engineers and Springer-Verlag GmbH Germany.","Approval testing; Hardware testing; Integration testing; Model-based development; Power window switch module; Software testing; Test case generation; Unified Modeling Language (UML)","Automatic testing; Embedded systems; Hardware; Integration testing; Modeling languages; Unified Modeling Language; Automatic test-case generations; Bottom up approach; Expected values; Model based development; Model-based method; Software and hardwares; Switch modules; Test case generation; Software testing",2-s2.0-85030321599
"Cuzzocrea A., Mumolo E., Tessarotto M., Grasso G.M., Amendola D.","XML-VM: An XML-based grid computing middleware",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026313010&doi=10.1007%2f978-3-319-61566-0_32&partnerID=40&md5=edcc5b8b7bd72a07b2e3627981b4c596","This paper describes a novel distributing computing middleware named XML-VM. Its architecture is inspired by the ‘Grid Computing’ paradigm. The proposed system improves many characteristics of previous Grid systems, in particular the description of the distributed computation, the distribution of the code and the execution times. XML is a markup language commonly used to interchange arbitrary data over the Internet. The idea behind this work is to use XML to describe algorithms; XML documents are distributed by means of XML-RPC, interpreted and executed using virtual machines. XML-VM is an assembly-like language, coded in XML. Parsing of XML-VM programs is performed with a fast SAX parser for JAVA. XML-VM interpreter is coded in JAVA. Several algorithms are written in XML-VM and executed in a distributed environment. Representative experimental results are reported. © Springer International Publishing AG 2018.",,"Computer software; Distributed computer systems; Hypertext systems; Java programming language; Middleware; Virtual machine; XML; Distributed computations; Distributed environments; Distributing computing; Grid computing middleware; Grid systems; ITS architecture; XML-RPC; Grid computing",2-s2.0-85026313010
"Karan M., Šnajder J.","Paraphrase-focused learning to rank for domain-specific frequently asked questions retrieval",2018,"Expert Systems with Applications",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029527329&doi=10.1016%2fj.eswa.2017.09.031&partnerID=40&md5=d57abf557426716e0a665d97d155e8c8","A frequently asked questions (FAQ) retrieval system improves the access to information by allowing users to pose natural language queries over an FAQ collection. From an information retrieval perspective, FAQ retrieval is a challenging task, mainly because of the lexical gap that exists between a query and an FAQ pair, both of which are typically very short. In this work, we explore the use of supervised learning to rank to improve the performance of domain-specific FAQ retrieval. While supervised learning-to-rank models have been shown to yield effective retrieval performance, they require costly human-labeled training data in the form of document relevance judgments or question paraphrases. We investigate how this labeling effort can be reduced using a labeling strategy geared toward the manual creation of query paraphrases rather than the more time-consuming relevance judgments. In particular, we investigate two such strategies, and test them by applying supervised ranking models to two domain-specific FAQ retrieval data sets, showcasing typical FAQ retrieval scenarios. Our experiments show that supervised ranking models can yield significant improvements in the precision-at-rank-5 measure compared to unsupervised baselines. Furthermore, we show that a supervised model trained using data labeled via a low-effort paraphrase-focused strategy has the same performance as that of the same model trained using fully labeled data, indicating that the strategy is effective at reducing the labeling effort while retaining the performance gains of the supervised approach. To encourage further research on FAQ retrieval we make our FAQ retrieval data set publicly available. © 2017 Elsevier Ltd","Convolutional neural network; FAQ retrieval; LambdaMART; Learning to rank; ListNET; Question answering","Human form models; Information retrieval; Natural language processing systems; Neural networks; Supervised learning; Convolutional neural network; FAQ retrieval; LambdaMART; Learning to rank; ListNET; Question Answering; Search engines",2-s2.0-85029527329
"Zhang L., Wen M., Ashuri B.","BIM Log Mining: Measuring Design Productivity",2018,"Journal of Computing in Civil Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032629269&doi=10.1061%2f%28ASCE%29CP.1943-5487.0000721&partnerID=40&md5=11205660a5d20cd767e7cea104417f96","There has been a long debate on how to measure design productivity. Compared to construction productivity, design productivity is much more difficult to measure because design is an iterative and innovative process. Today, with rapid extension of building information modeling (BIM) applications, tremendous volumes of design logs have been generated by design software systems, such as Autodesk Revit. A systematic approach composed of a detailed step-by-step procedure is developed to deeply mine design logs in order to monitor and measure the productivity of the design process. A pattern retrieval algorithm is proposed to identify the most frequent design sequential patterns in building design projects. A novel metric for measuring design productivity based on the discovered sequential patterns is put forward. A large data set of design logs, provided by a large international design firm, is used as a case study to demonstrate the feasibility and applicability of the developed approach. Results indicate that: (1) typically, each designer executes specific commands more than any other commands; for instance, it is shown for a designer that the accumulative frequency of three commands can reach up to 56.15% of the entire number of commands executed by the designer; (2) a particular sequential pattern of design commands (\""pick lines →\""trim/extend two lines or walls to make a corner→ \""finish sketch"") has been executed 2,219 times, accounting for 46.75% of instances associated with the top five discovered sequential patterns of design commands; (3) the identified sequential patterns can be used as a project control mean to detect outlier performers that may require additional attention from project leaders; and (4) productivity performance within the discovered sequential patterns varies significantly among different designers; for instance, one of the designers (designer #6 in the case study) is identified as the most productive designer in executing both Patterns I and II, whereas another designer (Designer #1) is found to be the most productive designer in executing both Patterns III and IV. It is also uncovered that designers, on average, spend less time running the most observed sequential patterns of design commands as they gain more experience. This research contributes: (1) to the body of knowledge by providing a novel approach to monitoring, measuring, and analyzing design productivity; and (2) to the state of practice by providing new insights into what additional design process information can be retrieved from Revit journal files. © 2017 American Society of Civil Engineers.","Building information modeling (BIM); Log data; Pattern discovery; Process mining; Productivity measurement","Application programs; Design; Edge detection; Information theory; Iterative methods; Productivity; Project management; Building Information Model - BIM; Log data; Pattern discovery; Process mining; Productivity measurements; Architectural design",2-s2.0-85032629269
"Fu Z., Wu X., Wang Q., Ren K.","Enabling Central Keyword-Based Semantic Extension Search over Encrypted Outsourced Data",2017,"IEEE Transactions on Information Forensics and Security",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028942136&doi=10.1109%2fTIFS.2017.2730365&partnerID=40&md5=f7abddedd5eae8b555ced4b84853c89a","In practice, search keywords have quite different importance when users take search operations. In addition, such keywords may have a certain grammatical relationship among them, which reflect the importance of keywords from the user's perspective intuitively. However, the existing search techniques regard the search keywords as independent and unrelated. In this paper, for the first time, we take the relation among query keywords into consideration and design a keyword weighting algorithm to show the importance of the distinction among them. By introducing the keyword weight to the search protocol design, the search results will be more in line with the user's demand. On top of this, we further design a novel central keyword semantic extension ranked scheme. By extending the central query keyword instead of all keywords, our scheme makes a good tradeoff between the search functionality and efficiency. To better express the relevance between queries and files, we further introduce the TF-IDF rule when building trapdoors and the index. In particular, our scheme supports both data set and keywords updates by using the sub-matrix technique. Our work first gives a basic idea for the design of the central keyword semantic extension ranked scheme, and then presents two secure searchable encryption schemes to meet different privacy requirements under two different threat models. Experiments on the real-world data set show that our proposed schemes are efficient, effective, and secure. © 2017 IEEE.","cloud computing; privacy protection; search; semantic search","Cloud computing; Cryptography; Search engines; Semantics; Servers; Algorithm design and analysis; Indexes; Keyword search; Privacy protection; Semantic search; Semantic Web",2-s2.0-85028942136
"Alves M., Carreira P., Costa A.A.","BIMSL: A generic approach to the integration of building information models with real-time sensor data",2017,"Automation in Construction",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030102878&doi=10.1016%2fj.autcon.2017.09.005&partnerID=40&md5=40fc77784eed557de3abebda985fb121","The surge of interest in digital building models combined with increasing sensorization of spaces is prompting an integration of Building Information Modelling (BIM) with real-time sensor data. However, current approaches reported in literature either remain theoretical or target very specific application domains, showing that there is no generic approach to assist in the creation of service and application software that combines sensor data with BIM models. The solution presented in this article addresses the engineering complexity associated with integrating sensor data with BIM by leveraging an advanced software engineering technique known as a Domain-Specific Language (DSL). We demonstrate also that the language herein proposed, named Building Information Modeling Sensor Language(BIMSL) provides substantial gains of expressiveness and ease of use in developing queries that process sensor data with complex conditions over BIM models. BIMSL is validated with experienced software developers according to a consistent evaluation protocol for DSLs focused on effectiveness, efficiency, satisfaction, and usability attributes. The results outperform the standard existing alternatives, indicating that our proposal contributes to reducing the human effort associated with integrating BIM with sensor data. © 2017 Elsevier B.V.","BIM sensor language; Building information modeling; Domain-specific language; Internet of things; Real-time data; Sensors","Application programs; Buildings; Computer programming languages; Data integration; Digital subscriber lines; Information theory; Internet of things; Modeling languages; Modems; Problem oriented languages; Sensors; Software engineering; BIM sensor language; Building Information Model - BIM; Building Information Modelling; Digital building models; Domain specific languages; Engineering techniques; Real-time data; Usability attributes; Architectural design",2-s2.0-85030102878
"Kazmi M., Schüller P., Saygın Y.","Improving scalability of inductive logic programming via pruning and best-effort optimisation",2017,"Expert Systems with Applications",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021056454&doi=10.1016%2fj.eswa.2017.06.013&partnerID=40&md5=e412a6b9307af4cbfe10a79737fd105d","Inductive Logic Programming (ILP) combines rule-based and statistical artificial intelligence methods, by learning a hypothesis comprising a set of rules given background knowledge and constraints for the search space. We focus on extending the XHAIL algorithm for ILP which is based on Answer Set Programming and we evaluate our extensions using the Natural Language Processing application of sentence chunking. With respect to processing natural language, ILP can cater for the constant change in how we use language on a daily basis. At the same time, ILP does not require huge amounts of training examples such as other statistical methods and produces interpretable results, that means a set of rules, which can be analysed and tweaked if necessary. As contributions we extend XHAIL with (i) a pruning mechanism within the hypothesis generalisation algorithm which enables learning from larger datasets, (ii) a better usage of modern solver technology using recently developed optimisation methods, and (iii) a time budget that permits the usage of suboptimal results. We evaluate these improvements on the task of sentence chunking using three datasets from a recent SemEval competition. Results show that our improvements allow for learning on bigger datasets with results that are of similar quality to state-of-the-art systems on the same task. Moreover, we compare the hypotheses obtained on datasets to gain insights on the structure of each dataset. © 2017 Elsevier Ltd","Answer Set Programming; Chunking; Inductive logic programming; Natural Language Processing","Budget control; Computer circuits; Computer programming; Education; Logic programming; Natural language processing systems; Optimization; Answer set programming; Artificial intelligence methods; Back-ground knowledge; Chunking; Natural languages; Optimisation method; State-of-the-art system; Training example; Inductive logic programming (ILP)",2-s2.0-85021056454
"Lavbič D., Matek T., Zrnec A.","Recommender system for learning SQL using hints",2017,"Interactive Learning Environments",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991457687&doi=10.1080%2f10494820.2016.1244084&partnerID=40&md5=63b7aac9e00739d289520c8fc9ab67d9","Today’s software industry requires individuals who are proficient in as many programming languages as possible. Structured query language (SQL), as an adopted standard, is no exception, as it is the most widely used query language to retrieve and manipulate data. However, the process of learning SQL turns out to be challenging. The need for a computer-aided solution to help users learn SQL and improve their proficiency is vital. In this study, we present a new approach to help users conceptualize basic building blocks of the language faster and more efficiently. The adaptive design of the proposed approach aids users in learning SQL by supporting their own path to the solution and employing successful previous attempts, while not enforcing the ideal solution provided by the instructor. Furthermore, we perform an empirical evaluation with 93 participants and demonstrate that the employment of hints is successful, being especially beneficial for users with lower prior knowledge. © 2016 Informa UK Limited, trading as Taylor & Francis Group.","improving classroom teaching; Intelligent Tutoring Systems; interactive learning environments; programming and programming languages; recommender system; SQL learning",,2-s2.0-84991457687
"Luo L., Tong L., Zhou X., Mejino J.L.V., Jr, Ouyang C., Liu Y.","Evaluating the granularity balance of hierarchical relationships within large biomedical terminologies towards quality improvement",2017,"Journal of Biomedical Informatics",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032490258&doi=10.1016%2fj.jbi.2017.10.001&partnerID=40&md5=1ed10741ab1e1a0f7d8a91814e2561ae","Organizing the descendants of a concept under a particular semantic relationship may be rather arbitrarily carried out during the manual creation processes of large biomedical terminologies, resulting in imbalances in relationship granularity. This work aims to propose scalable models towards systematically evaluating the granularity balance of semantic relationships. We first utilize “parallel concepts set (PCS)” and two features (the length and the strength) of the paths between PCSs to design the general evaluation models, based on which we propose eight concrete evaluation models generated by two specific types of PCSs: single concept set and symmetric concepts set. We then apply those concrete models to the IS-A relationship in FMA and SNOMED CT's Body Structure subset, as well as to the Part-Of relationship in FMA. Moreover, without loss of generality, we conduct two additional rounds of applications on the Part-Of relationship after removing length redundancies and strength redundancies sequentially. At last, we perform automatic evaluation on the imbalances detected after the final round for identifying missing concepts, misaligned relations and inconsistencies. For the IS-A relationship, 34 missing concepts, 80 misalignments and 18 redundancies in FMA as well as 28 missing concepts, 114 misalignments and 1 redundancy in SNOMED CT were uncovered. In addition, 6,801 instances of imbalances for the Part-Of relationship in FMA were also identified, including 3,246 redundancies. After removing those redundancies from FMA, the total number of Part-Of imbalances was dramatically reduced to 327, including 51 missing concepts, 294 misaligned relations, and 36 inconsistencies. Manual curation performed by the FMA project leader confirmed the effectiveness of our method in identifying curation errors. In conclusion, the granularity balance of hierarchical semantic relationship is a valuable property to check for ontology quality assurance, and the scalable evaluation models proposed in this study are effective in fulfilling this task, especially in auditing relationships with sub-hierarchies, such as the seldom evaluated Part-Of relationship. © 2017 Elsevier Inc.","Biomedical terminology; FMA; Granularity balance; Quality assurance; SNOMED CT","Alignment; Concretes; Quality assurance; Redundancy; Semantics; Terminology; Automatic evaluation; Concrete evaluation; Creation process; Evaluation models; Project leaders; Quality improvement; Semantic relationships; SNOMED-CT; Quality control",2-s2.0-85032490258
"Yao J.-G., Wan X., Xiao J.","Recent advances in document summarization",2017,"Knowledge and Information Systems",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016111879&doi=10.1007%2fs10115-017-1042-4&partnerID=40&md5=4c7f0ae434d81f374699372660b04315","The task of automatic document summarization aims at generating short summaries for originally long documents. A good summary should cover the most important information of the original document or a cluster of documents, while being coherent, non-redundant and grammatically readable. Numerous approaches for automatic summarization have been developed to date. In this paper we give a self-contained, broad overview of recent progress made for document summarization within the last 5 years. Specifically, we emphasize on significant contributions made in recent years that represent the state-of-the-art of document summarization, including progress on modern sentence extraction approaches that improve concept coverage, information diversity and content coherence, as well as attempts from summarization frameworks that integrate sentence compression, and more abstractive systems that are able to produce completely new sentences. In addition, we review progress made for document summarization in domains, genres and applications that are different from traditional settings. We also point out some of the latest trends and highlight a few possible future directions. © 2017, Springer-Verlag London.","Document summarization; Natural language generation; Natural language processing; Text mining",,2-s2.0-85016111879
