Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Nuñez J., Renslow R., Cliff J.B., Anderton C.R.","NanoSIMS for biological applications: Current practices and analyses",2018,"Biointerphases",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030214297&doi=10.1116%2f1.4993628&partnerID=40&md5=38e90a7e6a87661a0e2393b2b3dd2d86","Secondary ion mass spectrometry (SIMS) has become an increasingly utilized tool in biologically relevant studies. Of these, high lateral resolution methodologies using the NanoSIMS 50/50L have been especially powerful within many biological fields over the past decade. Here, the authors provide a review of this technology, sample preparation and analysis considerations, examples of recent biological studies, data analyses, and current outlooks. Specifically, the authors offer an overview of SIMS and development of the NanoSIMS. The authors describe the major experimental factors that should be considered prior to NanoSIMS analysis and then provide information on best practices for data analysis and image generation, which includes an in-depth discussion of appropriate colormaps. Additionally, the authors provide an open-source method for data representation that allows simultaneous visualization of secondary electron and ion information within a single image. Finally, the authors present a perspective on the future of this technology and where they think it will have the greatest impact in near future. © 2017 Author(s).",,,2-s2.0-85030214297
"Kumar D.P., Park H., Kim E.H., Hong S., Gopannagari M., Reddy D.A., Kim T.K.","Noble metal-free metal-organic framework-derived onion slice-type hollow cobalt sulfide nanostructures: Enhanced activity of CdS for improving photocatalytic hydrogen production",2018,"Applied Catalysis B: Environmental",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032678839&doi=10.1016%2fj.apcatb.2017.10.051&partnerID=40&md5=a11991fa830474b84cbc73f693200760","The hollow materials have played a significant role in cutting-edge innovations for energy conversion due to their peculiar properties and their wide range of potential applications. These materials show great promise for the development of cleaner power sources to address growing environmental concerns at a time of increasing global demand for energy. Noble metal-free MOF-derived onion slice-type hollow structured Co4S3 was developed and embedded with CdS nanoparticles for photocatalytic hydrogen production. The incorporation of Co4S3 with the CdS particles effectively accelerated charge separation and transfer in photocatalytic reactions due to the low density, hollow interior, and shell permeability of the onion-type composite. The optimized Co4S3/CdS photocatalyst led to an enhanced rate of H2 production of 12,360 μmol h−1 g−1 under simulated solar light irradiation; this value is 26-fold greater than that of the pristine CdS nanoparticles. The Co4S3/CdS composite exhibited remarkably stable photocatalytic performance for up to 65 h and could be reused in five successive cycles. Furthermore, to the best of our knowledge, this is the highest H2 production rate achieved with cobalt sulfide-based CdS nanoparticle photocatalysts in the photocatalysis of water under simulated solar light irradiation. Owing to its low cost and high efficiency, this photocatalytic system should hold great potential for the development of highly efficient photocatalytic materials for use in various fields. © 2017 Elsevier B.V.","Co4S3/CdS; Hollow nanostructures; Hydrogen; Metal-organic framework; Photocatalysis","Cadmium compounds; Cadmium sulfide; Catalysis; Cobalt; Cobalt compounds; Crystalline materials; Energy conversion; Hydrogen; Irradiation; Metal nanoparticles; Metals; Nanoparticles; Nanostructures; Organometallics; Photocatalysis; Photocatalysts; Precious metals; Sulfur compounds; Co4S3/CdS; Cutting edge innovation; Hollow nanostructures; Metal organic framework; Photocatalytic hydrogen production; Photocatalytic materials; Photocatalytic performance; Photocatalytic reactions; Hydrogen production",2-s2.0-85032678839
"Zhang Y., Li Q., Liu C., Shan X., Chen X., Dai W., Fu X.","The promoted effect of a metal-organic frameworks (ZIF-8) on Au/TiO2 for CO oxidation at room temperature both in dark and under visible light irradiation",2018,"Applied Catalysis B: Environmental",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032663130&doi=10.1016%2fj.apcatb.2017.10.027&partnerID=40&md5=a0476374a851032266ebfee280dfe324","A gold nanoparticle catalyst supported on the ZIF-8 (a metal-organic frameworks) modified TiO2 (Au/ZIF-8-TiO2) was prepared by self-assembly together with solvothermal and deposition-precipitation methods, which its performance of catalytic oxidizing CO was evaluated and compared with that of Au/TiO2 and Au/ZIF-8, respectively. It was found that the incorporation of ZIF-8 into Au/TiO2 could remarkably enhance the catalytic activity of Au/TiO2 both in dark and under visible light irradiation. The characterization result of Au/ZIF-8-TiO2 showed that the sheet of ZIF-8 was distributed on the surface of TiO2 microspheres to enhance the surface roughness of TiO2, which could effectively limit the migration and aggregation of Au nanoparticles (i.e., enhancing the dispersion of Au nanoparticles at support) due to its large surface area and porousness. Moreover, Au/ZIF-8-TiO2 owned a higher surface electron density of both Au nanoparticles and TiO2 as compared to Au/TiO2. It is proposed that ZIF-8 with abundant delocalized electrons of π bond could act as an electron donor for TiO2 and Au in the structure of Au/ZIF-8-TiO2, but it act as an electron transfer mediator to promote the electron transfer between Au and TiO2 induced by the localized surface plasmon resonance of Au nanoparticles under visible light irradiation. These behaviors would promote the adsorption and activation of CO and O2 at Au or TiO2 sites, resulting in the enhanced CO oxidation. © 2017 Elsevier B.V.","Electron transfer; Localized surface plasmon resonance of Au nanoparticles; Metal-organic frameworks; Oxidation of carbon monoxide; TiO2 supported Au catalyst","Carbon; Carbon monoxide; Catalyst activity; Catalysts; Crystalline materials; Electron transitions; Electrons; Gold; Irradiation; Light; Metal nanoparticles; Nanoparticles; Organometallics; Oxidation; Plasmons; Precipitation (chemical); Self assembly; Surface plasmon resonance; Surface roughness; Titanium dioxide; Au nanoparticle; Deposition precipitation methods; Electron transfer; Electron transfer mediators; Localized surface plasmon resonance; Metal organic framework; Supported Au; Visible-light irradiation; Titanium compounds",2-s2.0-85032663130
"Zhao R., He J., Su X., Wang Y., Sun X., Nie H., Zhang B., Yang K.","Tunable High-Power Q-Switched Fiber Laser Based on BP-PVA Saturable Absorber",2018,"IEEE Journal of Selected Topics in Quantum Electronics",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021827961&doi=10.1109%2fJSTQE.2017.2714864&partnerID=40&md5=ce9cbb50de37b627c8ca4cb289e067ae","Black phosphors (BP) nano-materials have been extensively investigated in the past years. However, the character of easily oxidizable limits BP's stability. Here a long-term-stable tunable Q-switched fiber laser with BP polymer composite (polyvinyl alcohol, PVA) as saturable absorber is realized. The modulation depth and the saturation power intensity of the BP-PVA film are 8.3% and 7.9 MW/cm2, respectively. A high average output power of 12.03 mW is obtained under the pump power of 400 mW. The shortest pulse width and maximum single pulse energy are 1.365 μs and 148.63 nJ, respectively. Meanwhile, the output spectra have a 2.5-nm blue shift when the pump power increases. The results prove that as a Q-switcher, BP polymer composite has a good performance on high power and excellent stability pulsed laser. © 2017 IEEE.","optical fiber laser; Q-switched lasers; ring lasers","Cavity resonators; Composite materials; Fiber lasers; Fibers; Laser mode locking; Locks (fasteners); Optical fibers; Pumping (laser); Q switched lasers; Q switching; Ring lasers; Saturable absorbers; Average output power; Modulation depth; Polymer composite; Power lasers; Pump laser; Q-switched fiber lasers; Saturation power; Single pulse energy; Pulsed lasers",2-s2.0-85021827961
"Dama S., Ghodke S.R., Bobade R., Gurav H.R., Chilukuri S.","Active and durable alkaline earth metal substituted perovskite catalysts for dry reforming of methane",2018,"Applied Catalysis B: Environmental",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032690863&doi=10.1016%2fj.apcatb.2017.10.048&partnerID=40&md5=f79d9c6da59c87678b3f021fe78b23aa","Dry reforming of methane is an important process for the utilization of CO2 and to get valuable synthesis gas. Alkaline earth metal substituted MZr1-xNixO3-δ perovskites were synthesized by citrate gel method, characterized and evaluated for dry reforming methane. Characterization results show that the type of alkaline earth substituted at the A site of the perovskite oxide plays an important role in terms of structure, basicity, oxygen deficiency and Ni dispersion. Calcium substituted CaZr0.8Ni0.2O3-δ catalyst shows superior activity in terms of high CH4 and CO2 conversion, while maintaining the activity even after 500 h of reaction. Mechanistic investigations were carried out using transient pulse experiments and insitu FTIR-diffuse reflectance spectroscopy. These experiments reveal that redox property and basicity play important role in activation and sustaining the reforming reaction. Insitu FTIR measurements show that surface hydroxyl groups of the support are vital for high activity and durability of CaZr0.8Ni0.2O3-δ catalyst. XRD and TGA analysis of catalysts after reaction show the structures are retained, but peaks pertaining to coke were observed on SrZr0.8Ni0.2O3-δ and BaZr0.8Ni0.2O3-δ catalysts. On the otherhand, CaZr0.8Ni0.2O3-δ catalyst had only amorphous carbon even after 500 h of reaction. HRTEM studies revealed that SrZr0.8Ni0.2O3-δ and BaZr0.8Ni0.2O3-δ catalysts deactivated mostly due to the formation of carbon nanotubes with Ni embedded in them. Raman and XPS analysis helped in identifying types of coke precursors present on the catalysts. The investigation also illustrate that type of carbon formed depends on the basicity of perovskite oxide, metal to support interaction, Ni crystallite size, surface hydroxyl groups and oxygen defects. This study clearly demonstrated that CaZr0.8Ni0.2O3-δ is an excellent catalyst for dry reforming reaction with long life. © 2017 Elsevier B.V.","Carbon deposition; Citrate gel method; Dry reforming; Nickel; Perovskites","Alkaline earth metals; Amorphous carbon; Barium compounds; Calcium compounds; Carbon dioxide; Catalyst activity; Catalysts; Coke; Crystallite size; Fourier transform infrared spectroscopy; Methane; Nickel; Perovskite; Surface defects; Yarn; Carbon deposition; Citrate gel method; Diffuse reflectance spectroscopy; Dry reforming; Dry reforming-of-methane; Perovskite catalysts; Support interaction; Surface hydroxyl groups; Zirconium compounds",2-s2.0-85032690863
"Phan T.S., Sane A.R., Rêgo de Vasconcelos B., Nzihou A., Sharrock P., Grouset D., Pham Minh D.","Hydroxyapatite supported bimetallic cobalt and nickel catalysts for syngas production from dry reforming of methane",2018,"Applied Catalysis B: Environmental",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032739753&doi=10.1016%2fj.apcatb.2017.10.063&partnerID=40&md5=5278b28f3b8a75f9235bb71ed3208f4a","Hydroxyapatite (HAP, Ca10(PO4)6(OH)2) has all the criteria of a catalyst support, in particular its high thermal stability. However it is still less studied in the heterogeneous catalysis. For the first time, hydroxyapatite supported bimetallic Co-Ni catalysts were prepared and evaluated in the dry reforming of methane (DRM) process. Nanoparticles containing both nickel and cobalt were well formed on the surface of HAP by conventional impregnation methods. No modification of HAP structure was observed after metals deposition. DRM reaction was carried out at 700–750 °C and around 1.6 bar, using a fixed-bed reactor which was fed with a mixture of 20%vol CH4, 20%vol CO2 and 60%vol N2. CH4 and CO2 conversion reached up to 60 and 68% at 700 °C, respectively, and 73 and 79% at 750 °C, respectively during long reaction times of 50–160 h. Water as a by-product could be quantified along the catalytic reaction indicating the implication of reverse water-gas-shift reaction. TEM-EDX analysis of the used catalysts recovered after catalytic tests showed that coke deposition was limited and there was slight modification of metals particle size. The results obtained were very promising for the design of an efficient catalytic system for DRM process. © 2017 Elsevier B.V.","Bimetallic catalyst; Cobalt; Dry reforming of methane; Hydroxyapatite; Nickel","Binary alloys; Carbon dioxide; Catalysis; Catalyst activity; Catalysts; Chemical reactors; Chemical shift; Cobalt; Cobalt alloys; Deposition; Hydroxyapatite; Metal recovery; Methane; Nickel; Nickel alloys; Particle size; Particle size analysis; Stability criteria; Water gas shift; Bimetallic catalysts; Catalytic reactions; Cobalt and nickels; Dry reforming-of-methane; High thermal stability; Impregnation methods; Nickel and cobalts; Reverse water-gas shift reaction; Catalyst supports",2-s2.0-85032739753
"Winter L.R., Gomez E., Yan B., Yao S., Chen J.G.","Tuning Ni-catalyzed CO2 hydrogenation selectivity via Ni-ceria support interactions and Ni-Fe bimetallic formation",2018,"Applied Catalysis B: Environmental",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032787759&doi=10.1016%2fj.apcatb.2017.10.036&partnerID=40&md5=89148f10eef7ea10e076202c9ea87cf5","CO2 hydrogenation over Fe-modified Ni/CeO2 catalysts was investigated in a batch reactor using time-resolved in situ FTIR spectroscopy. Low loading of Ni/CeO2 was associated with high selectivity to CO over CH4, while higher Ni loading improved CO2 hydrogenation activity with a reduced CO selectivity. X-ray absorption near-edge structure (XANES) analysis revealed Ni to be metallic for all catalysts including the CO-selective low loading 0.5% Ni catalyst, suggesting that the selectivity trend is due to structural rather than oxidation state effects. The loading amount of 1.5% Ni was selected for co-impregnation with Fe, based on the significant shift in product selectivity towards CH4 for that loading amount, in order to shift the selectivity towards CO while maintaining high activity. Temperature programmed reduction (TPR) results indicated bimetallic interactions between Ni and Fe, and XANES analysis showed that about 70% of Fe in the bimetallic catalysts was oxidized. The Ni-Fe catalysts demonstrated improved selectivity towards CO without significantly compromising activity, coupling the high activity of Ni catalysts and the high CO selectivity of Fe. The general trends in Ni loading and bimetallic modification should guide efforts to develop non-precious metal catalysts for the selective production of CO by CO2 hydrogenation. © 2017 Elsevier B.V.","CO2 reduction; Metal oxide; Ni loading; Ni-Fe bimetallic catalysts; XANES",,2-s2.0-85032787759
"Jing S., Zhang L., Luo L., Lu J., Yin S., Shen P.K., Tsiakaras P.","N-Doped Porous Molybdenum Carbide Nanobelts as Efficient Catalysts for Hydrogen Evolution Reaction",2018,"Applied Catalysis B: Environmental",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032802559&doi=10.1016%2fj.apcatb.2017.10.025&partnerID=40&md5=c8932ab8357e883e20fd5abca3e30a39","Electrochemical water splitting has been highly valued as a clean and sustainable method to produce hydrogen with high purity and large quantity. Platinum (Pt) possesses excellent performance for hydrogen evolution reaction (HER), however, the expensiveness and rareness still restricts its broad application. Here, an environmentally-friendly and template-free method is developed to synthesize N-doped molybdenum carbide in three different forms: nanobelts, nanorods and nanoparticles. During the synthesis, no additional acid or alkali aqueous solution is used and the morphology is controlled by adjusting water content and treatment time. The corresponding physicohemical and electrochemical results display that the nanobelts with porous nanostructure exhibit excellent activity and good stability for HER both in acidic and alkaline electrolytes. In the latter case (1.0 M KOH aqueous solution), nanobelts show a small onset potential value (–52 mV), yield a current density of 10 mA cm−2 at a relatively low overpotential (110 mV) and exhibit a low Tafel slope (49.7 mV dec−1). From the obtained results is deduced that this is a facile way to prepare cost-effective molybdenum carbide with high efficiency for hydrogen evolution. © 2017 Elsevier B.V.","hydrogen evolution reaction; molybdenum carbide; noble-metal-free catalysts; water splitting",,2-s2.0-85032802559
"Yue X., Yi S., Wang R., Zhang Z., Qiu S.","Synergistic effect based NixCo1-x architected Zn0.75Cd0.25S nanocrystals: An ultrahigh and stable photocatalysts for hydrogen evolution from water splitting",2018,"Applied Catalysis B: Environmental",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032676885&doi=10.1016%2fj.apcatb.2017.10.010&partnerID=40&md5=ecb11e98523e4c77108f8ae1ffb1930a","Construction of functional photocatalysts with ultrahigh photocatalytic hydrogen evolution using solar energy is still a serious challenge for scientific researchers. Here, recently, a facile chemical reduction method is developed to synthesize NixCo1-x/Zn0.75Cd0.25S nanohybrid photocatalysts, a kind of promising smart material with optimizing H2 evolution rate being 0.21 mol h−1 g−1 under simulated solar light irradiation with an apparent quantum efficiency (AQE) of 13.3% at 365 nm, an ultrahigh H2 evolution rate among almost all the semiconductor-based photocatalysts. More importantly, the NixCo1-x/Zn0.75Cd0.25S photocatalyst shows a sufficient stability property for &gt;20 h. The pronounced synergistic effect between non-noble-metals of Ni and Co boosts the transfer and separation of photo-generated electron-hole pairs, and a synergistic catalytic mechanism has been proposed and studied in detail. © 2017 Elsevier B.V.","H2; Hybrid; NixCo1-x; Photocatalytic; Zn0.75Cd0.25S","Binary alloys; Cadmium alloys; Cobalt alloys; Photocatalysts; Solar energy; Solar power generation; Stability; Zinc alloys; Chemical reduction methods; Hybrid; NixCo1-x; Photo-catalytic; Photocatalytic hydrogen evolution; Photogenerated electrons; Simulated solar light; Zn0.75Cd0.25S; Nickel alloys",2-s2.0-85032676885
"de Brito J.F., Tavella F., Genovese C., Ampelli C., Zanoni M.V.B., Centi G., Perathoner S.","Role of CuO in the modification of the photocatalytic water splitting behavior of TiO2 nanotube thin films",2018,"Applied Catalysis B: Environmental",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032660417&doi=10.1016%2fj.apcatb.2017.09.071&partnerID=40&md5=1f99330700b090e201b4453295ad5851","The role of CuO nanoparticles decorating TiO2 nanotubes (TNT) thin film photoanodes in the behavior of photo-electrocatalytic (PEC) cells for water splitting reaction is investigated. CuO is present mainly as small nanoparticles of few nanometer decorating the internal walls of the TiO2 nanotubes. Their presence improves i) the photocurrent behavior, ii) the H2 generation rate by water splitting in a full PEC device (without application of a bias) and iii) the solar-to-hydrogen (STH) efficiency. The increase is about 20% with respect to parent TNT photoanodes using open spectrum light from a solar simulator and about 50% increase using AM 1.5G filtered light from a solar simulator. An STH efficiency over 2% in the full PEC cell is observed in the best conditions. IPCE (incident photon to current conversion efficiency) measurements clearly evidence that the presence of CuO nanoparticles induce an enhanced IPCE in the 300–340 nm region. The increase in the performances in water splitting is mainly associated to the transient generation of a p–n junction between the CuxO nanoparticles and TNT upon illumination, which enhances photocurrent density by promoting charge separation. © 2017 Elsevier B.V.","CuO nanoparticles; H2 production; Photocatalysis; TiO2 nanotubes; Water splitting","Copper oxides; Efficiency; Hydrogen production; Nanoparticles; Nanotubes; Photocatalysis; Solar power generation; Thin films; Titanium compounds; Titanium dioxide; Yarn; CuO nanoparticles; H2 production; Incident photon-to-current conversion efficiencies; Photocatalytic water splitting; Photocurrent density; TiO2 nanotubes; Water splitting; Water splitting reactions; Copper compounds",2-s2.0-85032660417
