Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Čegovnik T., Stojmenova K., Jakus G., Sodnik J.","An analysis of the suitability of a low-cost eye tracker for assessing the cognitive load of drivers",2018,"Applied Ergonomics",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032328854&doi=10.1016%2fj.apergo.2017.10.011&partnerID=40&md5=a56e1971a7378ffbc477854dc29e0069","This paper presents a driving simulator study in which we investigated whether the Eye Tribe eye tracker (ET) is capable of assessing changes in the cognitive load of drivers through oculography and pupillometry. In the study, participants were asked to drive a simulated vehicle and simultaneously perform a set of secondary tasks with different cognitive complexity levels. We measured changes in eye properties, such as the pupil size, blink rate and fixation time. We also performed a measurement with a Detection Response Task (DRT) to validate the results and to prove a steady increase of cognitive load with increasing secondary task difficulty. The results showed that the ET precisely recognizes an increasing pupil diameter with increasing secondary task difficulty. In addition, the ET shows increasing blink rates, decreasing fixation time and narrowing of the attention field with increasing secondary task difficulty. The results were validated with the DRT method and the secondary task performance. We conclude that the Eye Tribe ET is a suitable device for assessing a driver's cognitive load. © 2017 Elsevier Ltd","Cognitive load; Driver; Driving simulator; Eye tracking; Eye Tribe; Pupillometry","Ergonomics; Physical therapy; Cognitive loads; Driver; Driving simulator; Eye Tribe; Eye-tracking; Pupillometry; Automobile simulators; adult; Article; blink rate; car driving; clinical assessment; controlled study; driver; eye tracking; female; fixation time; human; human experiment; male; mental performance; pupil; pupillometry; response time; tactile stimulation; task performance; visual attention; visual system parameters",2-s2.0-85032328854
"Chao X., Qi L., Tian W., Hou X., Ma W., Li H.","Numerical evaluation of the influence of porosity on bending properties of 2D carbon/carbon composites",2018,"Composites Part B: Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032294128&doi=10.1016%2fj.compositesb.2017.10.027&partnerID=40&md5=f50188913e9eb5004524cdefa84570d7","Numerical simulation with progressive damage criterion is implemented to investigate the effect of porosity on the bending properties of 2D cross-ply carbon/carbon (C/C) composites. The mechanical properties of Pyrocarbon matrix regarding the change of porosity are calculated by using Mori-Tanaka approach. Combining with the stiffness degradation scheme, the ultimate bending strengths are calculated in Abaqus though a user-defined subroutine (USDFLD). Delamination is modelled by inserting cohesive elements between two adjacent plies. A good agreement is obtained when the FEM results are compared to three-point bending experiments. The FEM results show that the bending strength decreases greatly with the increase of porosity. When the porosity reaches up to 18%, the bending strength is decreased by 57%. The major fracture behaviors are interlamination delamination and continuous crack damage in 90° plies. With the increase of porosity, more severe interlamination delamination will be slightly aggravated. In addition, the increase of porosity will also accelerate the damage in 90° plies. © 2017 Elsevier Ltd","2D C/C composites; Flexural properties; Numerical simulation; Progressive damage","Carbon carbon composites; Computer simulation; Delamination; Failure (mechanical); Nanocomposites; Numerical models; Porosity; 2d-c/c composites; Bending properties; Flexural properties; Mori-Tanaka approaches; Progressive damage; Stiffness degradation; Three-point-bending experiments; Ultimate bending strengths; Bending strength",2-s2.0-85032294128
"Hashemi F., Rastegarzadeh S., Pourreza N.","Response surface methodology optimized dispersive liquid–liquid microextraction coupled with surface plasmon resonance of silver nanoparticles as colorimetric probe for determination of captopril",2018,"Sensors and Actuators, B: Chemical",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032027524&doi=10.1016%2fj.snb.2017.09.178&partnerID=40&md5=d5767c1d7ea4f6cd10b4713c21f97ef6","A response surface methodology (RSM) based on central composite design was developed to optimize a novel method for the determination of trace levels of captopril by combination of dispersive liquid–liquid microextraction (DLLME) and surface plasmon resonance of silver nanoparticles (AgNPs). In this study AgNPs as a colorimetric sensor were synthesized in situ and used in a versatile DLLME method using carbon tetrachloride as extraction solvent and ethanol as disperser. The presence of captopril affected the production of AgNPs in the organic phase, thereby resulting in an increase of plasmon absorbance intensity of nanoparticles. The effect of different variables such as CTAB, sodium hydroxide and ascorbic acid concentration and also volume of extraction and disperser solvent was investigated and optimized by RSM at two steps. The calibration curve was linear in the range of 0.77–22.50 nmol L−1 of captopril, limit of detection was 0.51 nmol L−1 and the relative standard deviation for 11.54 and 19.23 nmol L−1 of captopril was 2.12 and 0.72%, respectively. The developed method was applied to the determination of the analyte in pharmaceutical, human serum and urine samples with good accuracy and excellent precision. © 2017","Captopril; Dispersive liquid–liquid microextraction; Response surface modeling; Silver nanoparticles; Surface plasmon resonance","Ascorbic acid; Body fluids; Carbon; Colorimetry; Liquids; Metal nanoparticles; Nanoparticles; Organic solvents; Plasmons; Resonance; Silver; Solvent extraction; Surface plasmon resonance; Surface properties; Captopril; Human serum and urine samples; Microextraction; Relative standard deviations; Response surface methodology; Response surface modeling; Silver nanoparticles; Silver nanoparticles (AgNps); Extraction",2-s2.0-85032027524
"Kruse A.M., Darrow M.M., Akagawa S.","Improvements in measuring unfrozen water in frozen soils using the pulsed nuclear magnetic resonance method",2018,"Journal of Cold Regions Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026425074&doi=10.1061%2f%28ASCE%29CR.1943-5495.0000141&partnerID=40&md5=838827726b607bab47a4898de6c640e4","The pulsed nuclear magnetic resonance (P-NMR) method is commonly used to determine unfrozen water content in frozen soils. Traditionally, unfrozen water content is calculated using first return data from the free induction decay (FID) signal intensity (SI); however, these data may contain both ice and liquid water responses, thus overestimating unfrozen water. To address this, the authors used the normalization method for calculating unfrozen water. First, the authors refined a P-NMR testing system for greater temperature control. Next, testing using two P-NMR instruments at different facilities yielded repeatable unfrozen water measurements to within 2.6% of each other. Results from a desorption test indicated excellent agreement (with an average difference of 0.33%) between P-NMR-derived unfrozen water and physical gravimetric water content data. Finally, comparing results from the normalization method to the first return data indicated that calculated unfrozen water in a frozen soil is up to 3.3 times greater for a given temperature using the first return data versus the normalization method. Because this difference is significant, the authors recommend further investigation using an independent method to confirm the results. © 2017 American Society of Civil Engineers.","Free induction decay (FID); Frozen soil; Pulsed nuclear magnetic resonance (P-NMR); Unfrozen water","Instrument testing; Magnetism; Nuclear magnetic resonance; Resonance; Soils; Average difference; Desorption tests; Free induction decay; Free induction decay signals (FID); Normalization methods; Pulsed nuclear magnetic resonance; Unfrozen water; Unfrozen water contents; Frozen soils; desorption; frozen ground; nuclear magnetic resonance; soil water; temperature profile; water content",2-s2.0-85026425074
"Nakisa B., Rastgoo M.N., Tjondronegoro D., Chandran V.","Evolutionary computation algorithms for feature selection of EEG-based emotion recognition using mobile sensors",2018,"Expert Systems with Applications",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031494000&doi=10.1016%2fj.eswa.2017.09.062&partnerID=40&md5=fe84140c13a8891a193cc7c4b2442830","There is currently no standard or widely accepted subset of features to effectively classify different emotions based on electroencephalogram (EEG) signals. While combining all possible EEG features may improve the classification performance, it can lead to high dimensionality and worse performance due to redundancy and inefficiency. To solve the high-dimensionality problem, this paper proposes a new framework to automatically search for the optimal subset of EEG features using evolutionary computation (EC) algorithms. The proposed framework has been extensively evaluated using two public datasets (MAHNOB, DEAP) and a new dataset acquired with a mobile EEG sensor. The results confirm that EC algorithms can effectively support feature selection to identify the best EEG features and the best channels to maximize performance over a four-quadrant emotion classification problem. These findings are significant for informing future development of EEG-based emotion classification because low-cost mobile EEG sensors with fewer electrodes are becoming popular for many new applications. © 2017","EEG signals; Emotion classification; Evolutionary computation algorithms; Feature selection","Calculations; Electroencephalography; Evolutionary algorithms; Feature extraction; Classification performance; EEG signals; Electroencephalogram signals; Emotion classification; Emotion recognition; High dimensionality; New applications; Optimal subsets; Classification (of information)",2-s2.0-85031494000
"Weng J.-H., Chen L.-C.","Confocal epifluorescence sensor with an arc-shaped aperture for slide-based PCR quantification",2018,"Biosensors and Bioelectronics",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028386270&doi=10.1016%2fj.bios.2017.08.052&partnerID=40&md5=75f4320b6816c70fca09f9baf7d108e8","The increasing needs of point-of-care diagnostics, quarantine of epidemic pathogens, and prevention of terrorism's bio-attacks have promised the future of portable real-time quantitative polymerase chain reaction (qPCR) sensors. This work aims at developing a highly sensitive and low-cost light emitting diode (LED)-based epifluorescence sensor module for qPCR sensor development and relevant bioassay applications. Inspired by the light stop design and dark-field detection of microscopes, this paper first reports a compact confocal LED epifluorescence sensor using a light stop with an arc-shaped aperture for enhancing the flexibility of quick DNA and PCR detection. The sensor features the advantages of the dichroic mirror-free and confocal (shared-focus) characteristics, which benefits size reduction and minimal optics used. It also allows extension to integrate with in situ real-time PCR thermal cycling since the sample slide is placed apart from the epi-sensing module. The epifluorescence sensor can detect as low as sub-ng/μL standard DNA and 101 copies of Salmonella typhimurium InvA gene sequences (cloned in E. coli and after 30-cycle PCR) with SYBR® Green I from non-purified culture samples, having highly sensitive and specific signal responses comparable with that of a commercial qPCR instrument. © 2017 Elsevier B.V.","Dark-field optics; Epifluorescence; Light-emitting diode (LED); Quantitative polymerase chain reaction (qPCR); Salmonella InvA gene","Bioassay; Chains; Cloning; DNA sequences; Escherichia coli; Genes; Light; Light emitting diodes; Salmonella; Dark field; Dichroic mirrors; Epifluorescences; Point of care diagnostic; Quantitative polymerase chain reaction; Salmonella typhimurium; Sensor development; Size reductions; Polymerase chain reaction",2-s2.0-85028386270
"Zhao K., Li D.","Manipulation and separation of oil droplets by using asymmetric nano-orifice induced DC dielectrophoretic method",2018,"Journal of Colloid and Interface Science",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032201568&doi=10.1016%2fj.jcis.2017.10.073&partnerID=40&md5=c267e69fb416104eee2e6d94af7b0c78","Hypothesis Emulsion droplets are versatile tools in chemical and biological fields and the separation of emulsion droplets is one of the most crucial steps in research and industry. Experiments This work developed a nano-orifice based DC dielectrophoretic (DEP) system for the sorting of oil-in-water emulsion droplets by size and content in a microchannel. Then, the size-dependent separation of oil droplets was conducted and verified by the prediction of theoretical simulation. In addition, by selecting the suspending solution with a specific electrical conductivity, the oil droplets with similar sizes but different contents were separated based on their opposite DEP behaviors. Findings The size-dependent separation of smaller silicone oil droplets (7.5 and 11 µm in diameter) with a high separation resolution, i.e., size difference of only 3.5 µm was achieved and showed good agreement with the simulation results. The positive and negative DEP behaviors of the droplets varying with the electrical conductivity of the suspending solution were discussed and different types of droplets of similar sizes but different contents were separated. This paper presents the DC-DEP method based sorting of emulsion droplets by size and content in nanofluidic chip for the first time, providing a platform to manipulate individual emulsion droplet. © 2017 Elsevier Inc.","Dielectrophoretic separation; Electrokinetics; Nano-orifice; Oil-in-water emulsion droplets","Dielectric devices; Electric conductivity; Electrohydrodynamics; Electromagnetic fields; Emulsification; Emulsions; Industrial research; Orifices; Separation; Silicones; Size separation; Chemical and biologicals; Dielectrophoretic; Dielectrophoretic separation; Electrical conductivity; Electrokinetics; Oil-in-water emulsion droplets; Specific electrical conductivity; Theoretical simulation; Drops; carbon plus silver grease; dimeticone; industrial chemical; nanochannel; silicone oil; unclassified drug; water oil cream; aqueous solution; Article; calibration; controlled study; direct current electrophoresis; electric conductivity; electric field; electric potential; electrophoresis; mathematical analysis; nanoemulsion; nanofabrication; nanofluidics; particle size; physical chemistry; prediction; priority journal; separation technique; simulation; suspension",2-s2.0-85032201568
"Haidari A.H., Heijman S.G.J., van der Meer W.G.J.","Optimal design of spacers in reverse osmosis",2018,"Separation and Purification Technology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032193419&doi=10.1016%2fj.seppur.2017.10.042&partnerID=40&md5=2d6fef497f8f88fa5f22e845d442249c","Spiral-wound membrane (SWM) modules are the most common membrane configuration utilized in reverse osmosis (RO) and nanofiltration. The enhancement of SWM module design, particularly in the geometric design of the feed spacer, can play a crucial role in the cost and the potential for wider application of these modules. The feed spacer influences the flux, pressure losses and fouling in the membrane process and consequently the product water unit cost. Despite the shift in the application of SWM modules of RO toward low salinity sources and the resulting higher sensitivity performance using these waters, the configuration and orientation of feed spacers have not significantly changed since the original design. A wider use of SWM modules, therefore, requires the adaptation of geometric parameters of the feed spacer to the water source. Improving the feed spacer's design according to the feed water type requires the knowledge of previous studies conducted in spacer-filled channels as well as further needed investigations in future. This paper reviews the role of the feed spacer in SWM modules and provides an overview of studies conducted in narrow spacer-filled channels to determine the effect of different geometric characteristics of the feed spacer on hydraulic conditions. © 2017 Elsevier B.V.","Membrane; Reverse osmosis; Spacers; Spiral-wound membrane modules; Visualization","Flow visualization; Geometry; Membrane technology; Reverse osmosis; Storm sewers; Geometric characteristics; Geometric design; Hydraulic conditions; Membrane process; Sensitivity performance; Spacer-filled channels; Spacers; Spiral wound membranes; Membranes",2-s2.0-85032193419
"Li Y.-J., Luo Y.-H., Wang J.-W., Chen C., Sun B.-W.","The length of ankyl chain tuning the structure and properties of organic assemblies composed of triazole and organic acids",2018,"Journal of Molecular Structure",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030722400&doi=10.1016%2fj.molstruc.2017.09.122&partnerID=40&md5=fa2760837bb8aa89aef87eaac7e62159","Three salts: 3-amino-1,2,4-triazolinium (1+) hydrogen oxalate (1), 3-amino-1,2, 4-triazolinium (1+) hydrogen malonate (2), 3-amino-1,2,4-triazolinium (1+) hydrogen succinate (3) and one co-crystal: 3-amino-1,2,4-triazole-adipic acid (4) have been prepared and characterized by differential scanning calorimetry (DSC), thermogravimetric analyses (TGA), IR, Raman, and single-crystal X-ray diffraction. Wherein, supramolecular motif in salts 1, 3 and co-crystal 4 were dominant by triazole-acid and amino-acid heterosynthon, while salt 2 dominant by amino-triazole homosynthon in addition to triazole-acid heterosynthon, which attribute to the intermolecular hydrogen interactions within hydrogen malonate anion. These results have a close relationship with the ΔpKa between 3-ATZ and alkyl acids, we found that the ΔpKa is grate than 6.9, the formation of salt will be expected, while the formation of co-crystal usually with the ΔpKa less than 6.75. It is interesting that salts 2 and 3 show the phenomenon of proton transfer after melt, which lead to the stepwise sublimation of the two components. The differences between salts and co-crystal were also revealed by the solid-state vibrational spectroscopy (IR and Raman), Hirshfeld surface analysis and UV spectra. © 2017","2; 3-Amino-1H-1; 4-Triazole; Alkyl dicarboxylic acids; Organic assemblies","Differential scanning calorimetry; Nitrogen compounds; Salts; Single crystals; Surface analysis; Thermogravimetric analysis; Ultraviolet spectroscopy; X ray diffraction; 3-Amino-1H-1; 4-Triazole; Dicarboxylic acid; Intermolecular hydrogen; Organic assemblies; Single crystal x-ray diffraction; Structure and properties; Supramolecular motifs; Hydrogen",2-s2.0-85030722400
"Rocha T., Bessa M., Bastardo R., Magalhães L.","Image-type representation: A preliminary study on preferences of users with intellectual disabilities",2018,"International Journal of Human Computer Studies",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031762899&doi=10.1016%2fj.ijhcs.2017.09.003&partnerID=40&md5=a2811c5fa2fa1a8b1825c836c540a543","Previous findings have shown that users with intellectual disabilities navigate the Web more easily and with greater interest when images are used to represent hyperlinks (Rocha, 2008; 2014; Rocha et al., 2012). Although images can be better for navigation purposes, there is a need to understand how these images should be designed to enhance users’ interaction with digital content for this particular group of people. The purpose of this study is to measure the user's preference for image-type representation (Object, Action and Universe), within four different categories (music, movies, sports, games). The sample consisted of 20 individuals with intellectual disabilities, their ages ranging from 22 to 49 years old. The results showed that they preferred less complex images, namely object representative images, and that categories had no effect. © 2017 Elsevier Ltd","Digital content; Image-type representation; People with intellectual disabilities; User-centered design","Hypertext systems; User centered design; Complex image; Digital contents; Hyperlinks; Image-type representation; Intellectual disability; User's preferences; Image enhancement",2-s2.0-85031762899
