Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Bandodkar A.J., Imani S., Nuñez-Flores R., Kumar R., Wang C., Mohan A.M.V., Wang J., Mercier P.P.","Re-usable electrochemical glucose sensors integrated into a smartphone platform",2018,"Biosensors and Bioelectronics",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031930766&doi=10.1016%2fj.bios.2017.10.019&partnerID=40&md5=ceb08cad7eb14811e1d12f7a21688d56","This article demonstrates a new smartphone-based reusable glucose meter. The glucose meter includes a custom-built smartphone case that houses a permanent bare sensor strip, a stylus that is loaded with enzyme-carbon composite pellets, and sensor instrumentation circuits. A custom-designed Android-based software application was developed to enable easy and clear display of measured glucose concentration. A typical test involves the user loading the software, using the stylus to dispense an enzymatic pellet on top of the bare sensor strip affixed to the case, and then introducing the sample. The electronic module then acquires and wirelessly transmits the data to the application software to be displayed on the screen. The deployed pellet is then discarded to regain the fresh bare sensor surface. Such a unique working principle allows the system to overcome challenges faced by previously reported reusable sensors, such as enzyme degradation, leaching, and hysteresis effects. Studies reveal that the enzyme loaded in the pellets are stable for up to 8 months at ambient conditions, and generate reproducible sensor signals. The work illustrates the significance of the pellet-based sensing system towards realizing a reusable, point-of-care sensor that snugly fits around a smartphone and which does not face issues usually common to reusable sensors. The versatility of this system allows it to be easily modified to detect other analytes for application in a wide range of healthcare, environmental and defense domains. © 2017 Elsevier B.V.","Electrochemical biosensors; Glucometer; Glucose; Smartphone","Application programs; Carbon; Carbon carbon composites; Computer software reusability; Enzyme sensors; Enzymes; Glucose; mHealth; Pelletizing; Smartphones; Software testing; Ambient conditions; Carbon composite pellets; Electrochemical biosensor; Electrochemical glucose sensors; Electronic modules; Glucometer; Glucose concentration; Software applications; Glucose sensors; glucose; Article; chemical composition; controlled study; electrochemical analysis; enzyme degradation; equipment design; hysteresis; leaching; mobile application; reproducibility; wireless communication",2-s2.0-85031930766
"Li L., Liu Z., Zhang H., Yue W., Li C.-W., Yi C.","A point-of-need enzyme linked aptamer assay for Mycobacterium tuberculosis detection using a smartphone",2018,"Sensors and Actuators, B: Chemical",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025149531&doi=10.1016%2fj.snb.2017.07.074&partnerID=40&md5=c7458e94b0b405afe5464ec0f1aef6a5","Due to the poor sensitivities and specificities of antibody based point of need devices, we have developed a low-cost and reliable latent tuberculosis infection (LTBI) screening system based on enzyme linked aptamers which are cost effective and chemically stable. Specific recognition of mannose-capped lipoarabinomannan on the surface of Mycobacterium tuberculosis has been achieved for the development of direct and indirect dot-blot approaches which are designed for simultaneous quantitative analysis of multiple samples and identification of mycobacterial strains, respectively. Compared with traditional acid-fast staining assay used for LTBI screening, our direct dot-blot system has offered a lower limit of quantitation at 104 CFU/mL and higher accuracy. In contrast to traditional bacterial culture approach which takes 3–5 weeks, our assay can be completed within 5 h, which is a remarkable increase in assay efficiency. To maximize the portability and fulfill the needs for LTBI screening in developing countries, an Android application has been developed to carry out colorimetric analysis of images captured by a smartphone camera, followed by generating and sharing of diagnostic reports through internet connectivity. Upon promotion, we believe this low-cost and effective LTBI screening system will control the outspread of tuberculosis and save many lives, particularly in developing countries. © 2017 Elsevier B.V.","Android application; Dot-blot assays; Enzyme linked aptamer assay; Mycobacterium tuberculosis; Smartphone","Antibodies; Assays; Colorimetric analysis; Costs; Developing countries; Electronic document exchange; Enzymes; Signal encoding; Smartphones; Tubes (components); Android applications; Aptamer assay; Dot-blot assays; Internet connectivity; Lower limit of quantitations; Mycobacterium tuberculosis; Mycobacterium tuberculosis detections; Tuberculosis infection; Android (operating system)",2-s2.0-85025149531
"Juma M., Monem A.A., Shaalan K.","Development of an Arabic questions answering app for android smartphones",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029514988&doi=10.1007%2f978-3-319-64861-3_48&partnerID=40&md5=58617a80ab2df720302ae60521328943","In the context of the smartphones booming in the Arab world over the last decade with more than one hundred million Android users, depend on these devices on a daily basis to search and retrieve available information in Arabic language from the various online sources. This research demonstrates the developing of the first, novel and unique tool for Arabic Question Answering App (AQA App). The proposed solution enables the Arabic users to find the accurate, direct and quick answers for a large variety of questions in Arabic language at anywhere and anytime through their Android smartphones. The architecture framework of AQA App is implemented, deployed and tested based on Android Studio Platform. The results of performance evaluation for AQA App reveals precise to be 76% on average of almost correct answers for different types of questions with recall being 88%. The response time of retrieved answers for AQA App was ranging as per the type of question between 93 and 114 ns. Moreover, the performance of proposed AQA App when compared with other Question and Answering Apps in English language such as “Quora” and “Answers” Apps showed that the performance of Answers App and AQA App were approximately equal, but the performance for both of them was lower than performance of “Quora” App. With the very lack in availability of any Q&A app in Arabic, the results where compared with English Apps. © 2018, Springer International Publishing AG.","Android smartphone apps; Arabic; NLP; Question answering",,2-s2.0-85029514988
"Mishra R.K., Pandey R., Choudhury S., Chaki N.","Device fragmentation: A case study using “NeSen”",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026769411&doi=10.1007%2f978-981-10-3373-5_41&partnerID=40&md5=ab63a3d423f4b24284e91bf912cfc499","Remote and eHealthcare Systems are designed to provide healthcare solutions catering to wide variety of requirements ranging from highly personalized to domain-specific systems. Often, a smartphone is used as an aid to port data from embedded or external sensors to remote repository. A majority of smartphones are equipped with multiple network interfaces including provisions for dual subscriber identity modules (SIMs) and a variant of Android as the operating system. Android being an open source system allows customization by the vendor or chipset manufacturer. This raises a serious concern in terms of fragmentation—a form of portability issue with application deployment. For example, App developed on API 16 from MediaTek behaves or crashes over a phone of API 16 from QualComm. We have developed a mobile App called “NeSen” to assess the parameters of all prevalent networks in an area. NeSen uses only the standardized telephony framework and is tried over various smartphones from vendors including Samsung, HTC, LG, iBall, Lava, Micromax, Karbonn, Xiaomi, and Gionee having chipset from MediaTek, QualComm, SpreadTrum, and BroadComm. In this paper, using NeSen, we have conducted first ever evaluation of fragmentation in Android’s basic framework. During experimental trails, several issues concerning device fragmentation are noted. © Springer Nature Singapore Pte Ltd. 2018.","Android; Fragmentation; NeSen; Network parameters; RHM systems","Computation theory; Intelligent computing; mHealth; Open systems; Smartphones; Android; Application deployment; Fragmentation; NeSen; Network parameters; Open source system; Remote repositories; Subscriber identity module; Android (operating system)",2-s2.0-85026769411
"Grzybowski W., Minkowski A., Olszewski J.","Research methods of utility of smartphones in mobile telecare",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021737227&doi=10.1007%2f978-3-319-60828-0_9&partnerID=40&md5=7a014cefccccb575a2850289c168705c","Promotion of the activity of elderly people with the telecare which uses smartphones is an author’s proposal to increase accessibilities long term care outside their habitation. The article is a reply to the deficit of ergonomic methods appraisal of the usability smartphones for elderly people in the mobile telecare. Methods of estimation of the usability of mobile phones can’t directly be applied to smartphones which interaction of users is with the help of the touch screen. In the first empirically verified research applied method of assessment utility smartphone HS in comparing with Nielsen’s heuristics demonstrated more effective searching for problems with the service of the interface of operating system Android. Then was developed new method of indicator assessment of the usability smartphones based on heuristics HS, checklists and the environment of the evaluation of the usability of mobile phones. Method has an application potential, because it enables effective comparing smartphones with different operating systems in the aspect of their usefulness for elderly people. © Springer International Publishing AG 2018.","Ageing society; Gerontechnology; Heuristics Ergonomics; Long-term care; Smartphone; Telecare; Usability","Cellular telephones; Heuristic methods; Mobile devices; Mobile phones; Signal encoding; Smartphones; Telephone sets; Touch screens; Usability engineering; Ageing society; Gerontechnology; Long term care; Telecare; Usability; Ergonomics",2-s2.0-85021737227
"Tommy R., Vinesh Raja V., Jose A., Jose H.","Intelligent locker system",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031736065&doi=10.1007%2f978-981-10-5508-9_15&partnerID=40&md5=381ae809a1cce9869311a74b3133d35d","The Smart locker is a security device that helps you to protect your locker. Mounted to a drawer in a table or to the door, the Smart locker provides the current status of the system to your smartphone. The Smart locker is capable of opening and closing in scheduled interval of time and storing the history of the locker activity in smartphone. The user receives alert notification when the locker is forcefully tried to open. The locker can be opened/closed via Internet. It has Bluetooth sense feature that opens the locker automatically when the user’s phone is near the locker. The locker is enabled with motion detector and also sensors to understand burglary activity. The system is intelligent enough to identify the users. If any unauthorized access is detected, the system will throw indication/message to the admin. © Springer Nature Singapore Pte Ltd. 2018.","Android; Bluetooth; GSM; Image processing; Intelligent; IoT; Locker; Smart","Bluetooth; Global system for mobile communications; Image processing; Smartphones; Android; Current status; Intelligent; Locker; Motion detectors; Security devices; Smart; Unauthorized access; Locks (fasteners)",2-s2.0-85031736065
"Thanakodi S., Nazar N.S.M., Tzen B.S.P., Roslan M.M.M.","Survivor tracking system based on heart beats",2018,"Lecture Notes in Electrical Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022187676&doi=10.1007%2f978-981-10-5281-1_61&partnerID=40&md5=39a8bdf35ab4de68ca84c2417d4c3c0f","Survivor tracking system is a device that detects a human heartbeat by using pulse sensor and sends the information to a smartphone via Bluetooth. Apart from muscle sensor and accelerometer sensor that has difficulty in monitoring the condition of users, pulse sensor is one of the alternatives that can provide high portability and require a small surface area for analysis. In this paper, a wireless system was implemented. The design is achieved by utilizing a smartphone with Android Operating System, Peripheral Interface Controller (PIC) Microcontroller and Bluetooth. The objectives of the system are to monitor user heartbeat rate, durability and effectively SMS to obtain medical help for the user. © Springer Science+Business Media Singapore 2018.","Bluetooth and PIC; Survivor tracking system","Bluetooth; mHealth; Signal encoding; Smartphones; Wireless telecommunication systems; Accelerometer sensor; Heart beat rates; Heart beats; Human heartbeat; Peripheral interface controllers; Surface area; Tracking system; Wireless systems; Tracking (position)",2-s2.0-85022187676
"Cerqueira D., Carvalho F., Melo R.B.","Is it smart to use smartphones to measure illuminance for occupational health and safety purposes?",2018,"Advances in Intelligent Systems and Computing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022181569&doi=10.1007%2f978-3-319-60525-8_27&partnerID=40&md5=a8c98b72e176e6836b95f567dcb02e75","This study reports on the accuracy of smartphone-based illuminance measurement applications and whether they may be employed for occupational lighting measurements. A sample of nine mobile phones on three platforms (Android, iOS and Windows) was assembled and 14 apps were selected for testing. Testing conditions comprised four pre-specified illuminance levels (300 lx, 500 lx, 750 lx and 1000 lx) accomplished with three light sources presenting different Correlated Color Temperatures (2700 K; 4000 K; 6500 K). The results reveal extremely variable and sometimes large deviations from the reference levels and suggest smartphones are not appropriate for use in occupational lighting assessments. © Springer International Publishing AG 2018.","Accuracy; Applications; Light; Measurement; Mobile phones","Applications; Cellular telephones; Human engineering; Industrial hygiene; Light; Light sources; Measurements; Mobile devices; Mobile phones; Smartphones; Telephone sets; Accuracy; Correlated color temperature; Illuminance measurement; Large deviations; Occupational health and safety; Reference levels; Testing conditions; Lighting",2-s2.0-85022181569
"Dim N.K., Kim K., Ren X.","Designing motion marking menus for people with visual impairments",2018,"International Journal of Human Computer Studies",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029319137&doi=10.1016%2fj.ijhcs.2017.09.002&partnerID=40&md5=6826b485e3c4a35d0ba458f2e61ecbed","Current smartphone accessibility for people with visual impairments relies largely on screen readers and voice commands. However, voice commands and screen readers are often not ideal because users with visual impairments rely mostly on hearing ambient sound from the environment for their safety in mobile situations. Recent research has shown that marking menus in mobile devices provide fast and eyes-free access for sighted users Francone et al., 2010; Oakley and Park, 2007, 2009. However, the literature is lacking design implications and adaptations that meet the needs of users with visual impairments. This paper investigates the capabilities of visually impaired people to invoke smartphone functions using marking menus via 3D motions. We explore and present the optimal numbers of menu items (breadth) and menu levels (depth) for marking menus that people with visual impairments can successfully adopt. We also compared a marking menu prototype to TalkBack™ which is an accessibility menu system in Android smartphones. The experimental results show that our participants could perform menu selections using marking menus faster than when using TalkBack. Based on the study results, we provide implications and guidelines for designing marking menus and motion gesture interfaces for people with visual impairments. © 2017","Accessibility; Marking menus; Motion gestures; People with visual impairments","Audition; Transportation; Accessibility; Design implications; Marking Menu; Motion gestures; Optimal number; Recent researches; Visual impairment; Visually impaired people; Smartphones",2-s2.0-85029319137
"Sharafeddine S., Jahed K., Fawaz M.","Optimized device centric aggregation mechanisms for mobile devices with multiple wireless interfaces",2017,"Computer Networks",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029065643&doi=10.1016%2fj.comnet.2017.08.026&partnerID=40&md5=2013986b4bb64a0556ba947303b7961e","Wireless broadband technologies and services are witnessing exponential growth to meet the demands of mobile users. State-of-the-art wireless networks are evolving with enhancements spanning all protocol layers and all network components from radio access to core network nodes. This has been coupled with a tremendous transformation of end user mobile devices towards multi-purpose smartphones and tablets with multi-core processing power, extendable memory storage, large battery capacity, and support for a wide range of wireless connectivity options. A standard smartphone currently can support short range Bluetooth and WiFi-Direct connectivity, local area WiFi connectivity, and long range 2G/3G/4G mobile connectivity. This naturally provides opportunities for data aggregation utilizing multiple wireless interfaces simultaneously to enhance device and network performance. In this work, we present the design, implementation, and testing of optimized device-centric data aggregation mechanisms for both file downloading and video streaming applications. The main novelty of the proposed mechanisms is their device-centric design, which makes them practical and feasible without any changes to wireless standards; moreover, they are scalable to support any number of wireless interfaces whereas previous related work has dealt with devices having two interfaces only. To demonstrate the effectiveness of the proposed mechanisms in terms of performance gains and practical feasibility, we develop an experimental testbed using Android devices and perform extensive testing for several network scenarios. © 2017 Elsevier B.V.","Bandwidth aggregation; Heterogeneous networks; Multi-homed devices; Traffic offloading; WiFi-cellular inter-operation; WiFi/cellular inter-operation","Digital storage; Heterogeneous networks; Mobile telecommunication systems; Network layers; Smartphones; Video streaming; Wireless local area networks (WLAN); Aggregation mechanism; Bandwidth aggregations; Experimental testbed; Multi-core processing; Multi-homed devices; Video Streaming Applications; Wireless connectivities; Wireless interfaces; Wi-Fi",2-s2.0-85029065643
