Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Zhao T., Song G., He X.","Inferring diffusion networks with life stage heterogeneity",2018,"Science China Information Sciences",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032840274&doi=10.1007%2fs11432-016-9122-x&partnerID=40&md5=afcf1d9cbb7f4f8149eaaa425e80859e","A network inference problem focuses on discovering the structure of a diffusion network from observed cascades. This problem is significantly more challenging in several settings in which this type of an inference is desirable or necessary because of heterogeneity in the diffusion process. The heterogeneity of the diffusion process in different life stages results in the inaccuracy of a common assumption of constant influence strength. In this study, a Life Stage Heuristic (LSH) method is proposed to model life stage heterogeneity by decoupling the popularity level of an item under propagation from a true strength of social ties to improve inference accuracy. The proposed LSH is incorporated into almost all existing state-of-the-art network inference algorithms to improve estimation accuracy with only minimal changes in the implementation and maintaining the same running time. Additionally, NetRate, NetInf, and ConNIe are used as three examples to demonstrate the power of the proposed method. Furthermore, clustering of cascades prior to the LSH is proposed to eliminate noise, and the optimized method is termed as Clustered Life Stage Heuristic (CLSH). Extensive experiments on synthetic and real world datasets indicate that both LSH and CLSH methods significantly improve the accuracy of network inference. © 2017, Science China Press and Springer-Verlag GmbH Germany, part of Springer Nature.","clustering cascade; information diffusion; life stage heterogeneity; network inference; social influence","Inference engines; Diffusion networks; Diffusion process; Information diffusion; Life stages; Network inference; Real-world datasets; Social influence; State of the art; Heuristic methods",2-s2.0-85032840274
"Houtsma C., Butterworth S.E., Anestis M.D.","Firearm suicide: pathways to risk and methods of prevention",2018,"Current Opinion in Psychology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026237504&doi=10.1016%2fj.copsyc.2017.07.002&partnerID=40&md5=d14466a764d54042788f17d13b906fd3","Firearms are utilized in approximately half of all US suicides, making them a serious public health concern and a target of suicide prevention efforts. Practical capability influences the transition from suicidal ideation to action and is particularly relevant to firearm suicide. Firearm ownership, experience using firearms, unsafe firearm storage, and high cultural acceptability of firearms increase risk for death by firearm suicide. Means safety strategies, which emphasize the reduction of practical capability for suicide through the limitation of access to and safe storage of firearms, are effective in preventing suicide and include interventions such as lethal means counseling, firearm legislation, and promoting safe storage practices. Public health interventions aimed at reducing firearm suicide are critical topics for continued research. © 2017 Elsevier Ltd",,,2-s2.0-85026237504
"McCloskey M.S., Ammerman B.A.","Suicidal behavior and aggression-related disorders",2018,"Current Opinion in Psychology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027555855&doi=10.1016%2fj.copsyc.2017.08.010&partnerID=40&md5=093d99558d070265cb0b51c2f33152ff","Studies of suicidal behavior among those with aggression-related disorders (i.e. intermittent explosive disorder, borderline personality disorder, antisocial personality disorder, and conduct disorder) were examined. The presence of an aggressive disorder generally increased the risk of suicide attempts and mortality, with this effect (when examined) usually existing independent of other psychopathology. However, this may not be the case for antisocial personality disorder. Furthermore, with the exception of intermittent explosive disorder, the extant research suggests severity of aggression was associated with suicide attempt risk in aggression-related disorders. Future research is needed to better understand what mechanisms may influence the suicide–aggression relationship. © 2017 Elsevier Ltd",,,2-s2.0-85027555855
"Khazem L.R.","Physical disability and suicide: recent advancements in understanding and future directions for consideration",2018,"Current Opinion in Psychology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026758205&doi=10.1016%2fj.copsyc.2017.07.018&partnerID=40&md5=be3504e84630d81a12889153165ba6a6","Recent research indicates a heightened risk of suicide in this population, a concern given that suicide may be more accepted for those with physical disabilities than for those without such disabilities. The relationship between physical disability and suicide has begun to be examined within empirically supported frameworks of suicide and indicates that interpersonal factors (e.g. perceived burdensomeness) and pain are mechanisms contributing to this heightened risk of suicide. The suicide rate after acquiring a physical disability, such as a spinal cord injury, and the greater odds of suicide after reporting having a disability further support the association between physical disability and suicide. The multifaceted nature of physical disability is reflected in its relationship with suicidal ideation and behaviors. © 2017 Elsevier Ltd",,,2-s2.0-85026758205
"Titus C.E., Speed K.J., Cartwright P.M., Drapeau C.W., Heo Y., Nadorff M.R.","What role do nightmares play in suicide? A brief exploration",2018,"Current Opinion in Psychology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028333551&doi=10.1016%2fj.copsyc.2017.08.022&partnerID=40&md5=7cf56bdb1d7cd3f9c102630c2b56e187","The suicide rate in the United States has climbed each year for more than a decade, highlighting the need for greater understanding of, and prevention strategies for suicidal behavior. Nightmares have been shown to be associated with suicidal behavior independent of several psychiatric risk factors for suicide, such as symptoms of depression, anxiety, and posttraumatic stress disorder (PTSD). The specific role of nightmares in contributing to suicide remains unclear due to the difficulty in delineating causal factors. However, the reporting, screening and treatment of nightmares continues to remain rare making progress difficult. Research is beginning to make some progress in uncovering the mechanisms by which nightmares increase suicide risk providing opportunities for intervention and prediction of suicidal behaviors. © 2017 Elsevier Ltd",,,2-s2.0-85028333551
"May A.M., Victor S.E.","From ideation to action: recent advances in understanding suicide capability",2018,"Current Opinion in Psychology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025094803&doi=10.1016%2fj.copsyc.2017.07.007&partnerID=40&md5=28f1b5b4ceaa216d85c00fb9f7306db0","Suicide capability is one of few risk factors associated with suicide attempts among ideators. In the decade since the Interpersonal Psychological Theory of Suicide introduced the concept of acquired capability (i.e. the ability to face the fear and pain associated with death), understanding of the capability to attempt suicide has grown. Acquired (e.g. NSSI), dispositional (e.g. genetic), and practical contributors (e.g. access to firearms) appear to influence suicide capability via mechanisms such as the fear of death, persistence through pain, and familiarity with suicide methods. Self-report methods have shown mixed results, highlighting the importance of developing behavioral measures of suicide capability. © 2017 Elsevier Ltd",,,2-s2.0-85025094803
"King C.A., Arango A., Ewell Foster C.","Emerging trends in adolescent suicide prevention research",2018,"Current Opinion in Psychology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029911517&doi=10.1016%2fj.copsyc.2017.08.037&partnerID=40&md5=aea4117282304e39b6e4d20586d8b385","A comprehensive public health strategy for adolescent suicide prevention includes upstream prevention strategies, strategies for risk recognition, and services for those at risk. Interpersonal trauma and substance use are important prevention targets as each is associated with risk for suicide attempts. Multiple prevention programs target these factors; however, the Family Check-Up, designed to reduce substance use and behavioral problems, also has been associated with reduced suicide risk. Several youth screening instruments have shown utility, and a large-scale trial is underway to develop a computerized adaptive screen. Similarly, several types of psychotherapy have shown promise, and sufficiently powered studies are underway to provide more definitive results. The climbing youth suicide rate warrants an urgent, concerted effort to develop and implement effective prevention strategies. © 2017 Elsevier Ltd",,,2-s2.0-85029911517
"Pérez-Fernández R., Sader M., De Baets B.","Joint consensus evaluation of multiple objects on an ordinal scale: An approach driven by monotonicity",2018,"Information Fusion",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032230518&doi=10.1016%2fj.inffus.2017.09.009&partnerID=40&md5=d065031bd465c006e341d60f08bde92e","In this paper, we consider the problem of obtaining the consensus evaluation of multiple objects based on the evaluations expressed by several experts. This problem is of relevance to several fields, in particular to the field of sensory evaluation, such as in food quality appraisal, and to the field of recommender systems, such as in movie recommendation and online dating systems. Unlike existing methods for obtaining a consensus evaluation, which strongly rely on a chosen distance function, we adhere to the natural property of monotonicity, resulting in an intuitively appealing consensus evaluation method in which the labels expressed for all objects are considered simultaneously. Three real-life and three synthetic examples illustrate the search for such consensus evaluation. © 2017 Elsevier B.V.","Consensus evaluation; Monometric; Monotonicity; Ordinal scale","Online systems; Consensus evaluation; Distance functions; Monometric; Monotonicity; Movie recommendations; Multiple objects; Natural properties; Ordinal scale; Quality control",2-s2.0-85032230518
"Ivannikova E., Park H., Hämäläinen T., Lee K.","Revealing community structures by ensemble clustering using group diffusion",2018,"Information Fusion",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030688626&doi=10.1016%2fj.inffus.2017.09.013&partnerID=40&md5=9cb830381b9ce0bb7de884a461030e66","We propose an ensemble clustering approach using group diffusion to reveal community structures in data. We represent data points as a directed graph and assume each data point belong to single cluster membership instead of multiple memberships. The method is based on the concept of ensemble group diffusion with a parameter to represent diffusion depth in clustering. The ability to modulate the diffusion-depth parameter by varying it within a certain interval allows for more accurate construction of clusters. Depending on the value of the diffusion-depth parameter, the presented approach can determine very well both local clusters and global structure of data. At the same time, the ability to combine single outcomes of the method results in better cluster segmentation. Due to this property, the proposed method performs well on data sets where other conventional clustering methods fail. We test the method with both simulated and real-world data sets. The results support our theoretical conjectures on improved accuracy compared to other selected methods. © 2017 Elsevier B.V.","Clustering; Community structure; Diffusion; Markov chain; Social network","Directed graphs; Markov processes; Social networking (online); Social sciences; Cluster memberships; Clustering; Community structures; Conventional clustering; Diffusion depth; Ensemble clustering; Global structure; Local cluster; Diffusion",2-s2.0-85030688626
"Xie Y., Zhang J., Xia Y., Fulham M., Zhang Y.","Fusing texture, shape and deep model-learned information at decision level for automated classification of lung nodules on chest CT",2018,"Information Fusion",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032367648&doi=10.1016%2fj.inffus.2017.10.005&partnerID=40&md5=ba1b9dbb6b5dff54e9335ae8e4f0c90e","The separation of malignant from benign lung nodules on chest computed tomography (CT) is important for the early detection of lung cancer, since early detection and management offer the best chance for cure. Although deep learning methods have recently produced a marked improvement in image classification there are still challenges as these methods contain myriad parameters and require large-scale training sets that are not usually available for most routine medical imaging studies. In this paper, we propose an algorithm for lung nodule classification that fuses the texture, shape and deep model-learned information (Fuse-TSD) at the decision level. This algorithm employs a gray level co-occurrence matrix (GLCM)-based texture descriptor, a Fourier shape descriptor to characterize the heterogeneity of nodules and a deep convolutional neural network (DCNN) to automatically learn the feature representation of nodules on a slice-by-slice basis. It trains an AdaBoosted back propagation neural network (BPNN) using each feature type and fuses the decisions made by three classifiers to differentiate nodules. We evaluated this algorithm against three approaches on the LIDC-IDRI dataset. When the nodules with a composite malignancy rate 3 were discarded, regarded as benign or regarded as malignant, our Fuse-TSD algorithm achieved an AUC of 96.65%, 94.45% and 81.24%, respectively, which was substantially higher than the AUC obtained by other approaches. © 2017 Elsevier B.V.","AdaBoost, information fusion; Back propagation neural network (BPNN); Chest CT; Deep convolutional neural network (DCNN); Lung nodule classification","Adaptive boosting; Backpropagation; Biological organs; Classification (of information); Computerized tomography; Convolution; Image enhancement; Learning systems; Medical imaging; Neural networks; Torsional stress; Automated classification; Back-propagation neural networks; Chest CT; Convolutional neural network; Feature representation; Gray level co occurrence matrix(GLCM); Large-scale training sets; Lung nodule; Deep neural networks",2-s2.0-85032367648
